id,type,text1,text2,text3,notes,
dpl_matcha,RESOURCE,"A finely ground powder made from small fresh tea leaves. It's a very traditional treat, and can only be hand-crafted. The flavor is said to be exotic and gorgeous.",,,,
,,,,,,
dpl_gamma_blaster,WEAPON,"Gamma Blaster is the first portable weapon system developped by the phase lab. It's an improved version of the antimatter blaster. The phase lab adds a small phase coil that creates a small phase bubble inside the blaster chamber, and uses the phase bubble as a reaction cavity for matter-antimatter annihilation. This improvement achieves 100% energy usage efficiency, and creates intense gamma ray to deal energy damage.",,,,
dpl_tremolo,WEAPON,"Tremolo is an integrated experimental weapon system developped as an improvement of gamma blaster. The phase lab discovers that positronium (a hydrogen atom-like structure formed by an electron and its anti particle, positron, rotating around each other) could exist in the form of crystals in the phase space, and such positronium crystal can be made by putting organized positrunium particles into the phase space. And when the phase space fades, and an external laser hits this positrunium crystal, intense gamma ray could be produced. So Tremolo is the result, a gamma blaster with no ammo limit, but slightly slower to reload.",,,,
dpl_graviton_lance,WEAPON,"Graviton lance is a portable weapon system developped by the phase lab. It's an alternation of the graviton beam. The phase lab adds a small phase coil that creates a small phase bubble inside the graviton beam, and uses the phase bubble as a trapping cavity to concentrate gravitons. This improvement makes the weapon fire bursts of gravitons instead of a continuous flow, also deal more damage at cost of higher flux.",,,,
dpl_plasma_lance,WEAPON,"Plasma lance is a portable weapon system developped by the phase lab. It's a innovative weapon that's some what similar to combination of phase lance and plasma cannon. The phase lab uses a small phase coil that creates a small phase bubble inside the weapon cavity, and uses the phase bubble as a trapping cavity to concentrate plasmas. It turns out that plasmas don't like to stay together if you just simply pile them together in a phase bubble, and so this phenomena makes the weapon fire bursts of plasma beams instead of concentrated plasma clusters. There are rumors saying that the phase lab is trying to solve this problem by doing more careful studies on plasma flow structure, but all related information is classified.",,,,
dpl_bugle,SHIP,"Bugle is a commercial warship designed by the phase lab. The phase lab makes heavy modifications to the existing blueprint of wolf, gives it a high quality millitary grade shield, and replaces the phase skimmer system and the bulk energy weapon slot with the high energy focus system.

There are rumors saying that the high energy focus system on this ship has a disabled output port that can inject energy into phase space by phase resonance, and the phase lab uses it as ingredient of some powerful weaponary technologies.

Nonetheless, the rumors doesn't affect the fact that it's a good ship, and it indeed is a successful frigate flying in the sector.",,,,
dpl_ophicleide,SHIP,"Ophicleide is a commercial warship designed by the phase lab. The phase lab finds that manuverbility is important for frigates after developping bugle, so they developped a new class of frigate.

The phase lab engineers replaced the high energy focus system with manuvering jets, and added the medium weapon slot back to strenthen the fire power. Ophicleide is the result, and fortunately it's even more successful than bugle.",,,,
dpl_harmonica,SHIP,"Harmonica is the first experimental product of the phase lab, she is a test platform for the weapon system called 'trebel'. After the experiment was successfully performed, the phase lab decided to put harmonica on the market, as she can be mass-produced, and she is a powerful ship",,,,
dpl_trebel,WEAPON,"Trebel is an integrated experimental weapon system inspired by the concept 'Energy Torpedo'. The phase space has property of flux-insulation, and the phase lab sees opportunity inside: If one can maintain a bubble in phase space, and squeeze as much energy as possible into that bubble, when the bubble destabilizes, the insulated energy released could be as deadly as a reaper torpedo. Such idea leads to the technology called 'phase compression', and Trebel is the resulting weapon system, a deadly and reproducible energy torpedo with short range.",,,,
dpl_piccolo,SHIP,"Piccolo is an early experimental product of the phase lab, she is designed to test the integrated phase cloak system technology. The whole ship is designed as a large phase coil, such design improves the phase efficiency by hundreds of times, but it makes her much more vulnerable since merely no armor can be added for the phase performance.",,,,
dpl_phonograph,WEAPON,"Phonograph torpedo is the successor of trebel. With help of special phase coil containers, the phase compression technology can be greatly enhanced. So with the physical pressence of a missile body, the phase lab can now compress ridiculously high energy into a single shot, giving it potential to hunt down capitals in 2 or 3 hits. However, the phase lab soon discovers that compressed energy is highly unstable, resulting in very vulnerable torpedo body, slow speed, and invoidable flux to fire such a torpedo.",,,,
dpl_phonographair,WEAPON,"Phonograph torpedo is the successor of trebel. With help of special phase coil containers, the phase compression technology can be greatly enhanced. So with the physical pressence of a missile body, the phase lab can now compress ridiculously high energy into a single shot, giving it potential to hunt down capitals in 2 or 3 hits. However, the phase lab soon discovers that compressed energy is highly unstable, resulting in very vulnerable torpedo body, slow speed, and invoidable flux to fire such a torpedo. This version of the launcher is modified to install on fighters.",,,,
dpl_flute,SHIP,"Flute is the successor of Piccolo. she gets rid of the integrated phase cloak system, and gets more armor in return. The phase lab also adds a special torpedo reserve modifiction using the available space. Then the phase lab puts this ship on market, and it turns out to be a success.",,,,
dpl_gramophone,WEAPON,"Gramophone torpedo is the successor of Phonograph torpedo. After many trial and error's, the engineers of the phase lab finally had a brilliant plan: to compress less energy into Phonograph torpedo! Though such change will reduce the fire power of the torpedo, the benefit is significant: faster speed; stronger torpedo body; less energy needed to fire it; and higher stability. Such difference enables Gramophone to be stored in piles, and so larger Gramophone launchers are no longer empty dreams.",,,,
dpl_gramophoneair,WEAPON,"Gramophone torpedo is the successor of Phonograph torpedo. After many trial and error's, the engineers of the phase lab finally had a brilliant plan: to compress less energy into Phonograph torpedo! Though such change will reduce the fire power of the torpedo, the benefit is significant: faster speed; stronger torpedo body; less energy needed to fire it; and higher stability. Such difference enables Gramophone to be stored in piles, and so larger Gramophone launchers are no longer empty dreams. This version of the launcher is modified to install on fighters.",,,,
dpl_stdgramophone,WEAPON,"The standard launcher of Gramophone torpedo, and the standard weapon for oboe phase submarine.",,,,
dpl_hvygramophone,WEAPON,"The heavier launcher of Gramophone torpedo, this dangerous beast is almost the ultimate torpedo launcher.",,,,
dpl_longinus,WEAPON,"Latest studies on plasma flow structures leads to even more new possibilities in phase compression technology. The phase lab discovers that all the energy compressed into the phase glube can be replaced by plasma flows. By fine tuning the substructure of the plasma cluster, the plasma ball and the phase glube can both be stablized. This idea means Gungnir can be further improved. The result of such improvement is Longinus, an integrated energy torpedo system that is even more deadly than Gungnir, its phase-compressed plasma shots deals pure energy damage, but when it hits armor, as the phase glube destabilizes, rapid expansion of the compressed plasma would cause extra explosion. It takes so much energy and generates so much heat to fire, that a new ship is needed just to operate this weapon system.",,,,
dpl_gungnir,WEAPON,"Latest studies on subatomic structures leads to new possibilities in phase compression technology. The phase lab discovers that if some plasma were put into the phase glube at first, then it is possible for the compressed energy to form shell like structure around the plasma kernel, making the plasma cluster denser and hotter. When the phase glube destablizes, the plasma cluster will greatly expand, causing huge explosions. So Trebel can be greatly improved with help of this idea. The result of such improvement is Gungnir, an integrated energy torpedo weapon that literally fires the drops of stars (or simply super dense and hot explosive plasma balls).",,,,
dpl_phase_pd,WEAPON,"Phase Lightning Cannon is a portable weapon system developped by the phase lab. It's an upgrade to the phase lightning ship system, and it's a cutting-edge portable weapon that uses phase lightning as its fire power. It consists of a phase cavity set that traps huge amount of charge and three electric barrels firing lightning arcs alternatively to maximize rate of fire. The most amazing ability of this weapon comes with the repeling nature of electrons: it contains so much charge that the lightning arcs generates secondary and tertiary arcs when hitting targets, and the generated arcs does the same amount of damage, within shorter range. Afterall, it's a fantastic point defence weapon against aircrafts.",,,,
dpl_phase_pdair,WEAPON,"Phase Lightning Emitter is a special weapon system developped by the phase lab. It's a miniaturized version of the phase lightning cannon. Though it sacrificed the battery modules so it could only fire one lightning after a single reload, its lightning arcs are just as deadly as the phase lightning cannon.",,,,
dpl_heavy_phase_pd,WEAPON,"Heavy Lightning Cannon is an upgraded version of the phase lightning cannon. By fine tuning the charge distributions in each lightning arcs, the arc generation behavior could be changed, making this weapon serve its role better. However, such fine tuning is very complicated, and so only a very limited amount of this weapon is produced.",,,,
dpl_heavy_pdair,WEAPON,"Heavy Lightning Emitter is a special weapon system developped by the phase lab. It's a miniaturized version of the heavy lightning cannon. Though it sacrificed the battery modules so it could only fire one lightning after a single reload, its lightning arcs are just as deadly as the heavy lightning cannon.",,,,
dpl_tpl,WEAPON,"The thermal pulse lance is the result of the recovery efforts made by the phase lab engineers when they were trying to recover the half-lost data of onslaught blueprint when they arrived in the sector. The phase lab engineers believed that the built-in thermal pulse cannon was a 'damaged version' of some more advanced weapon system from data loss, and so they 'recovered' the thermal pulse lance according to what they believed the 'original' more advanced weapon should be: a concentrated laser lance that uses the shots of thermal pulse cannon to recharge.",,,,
dpl_hdpl,WEAPON,"The high density plasma lance is a portable weapon system developped by the phase lab. It's the mature product developped from the prototype gungnir. By rapidly firing a sequence of phase glubes containing compressed energy-plasma complex, this weapon is ablt to produce a beam of dense plasmas in short time, but it takes time to charge. Same as gungnir, the compressed energy-plasma complex still causes explosion when it hits armor, but the beam nature of the shots makes the overall damage behavior of the weapon closer to a beam of plsama, i.e. it mainly deals energy damage for now.",,,,
dpl_lightning_lance,WEAPON,"A burst beam of charges that delivers a devastating amount of damage with a cascading EMP component. When it hits shields, some EMP arcs will be generated inside of the shield, and would directly hit the hull. Though the damages of the EMP arcs would be greatly reduced.

The Phase Charge Lance uses core technology based on the principles of an experimental interstellar electricity transport system developped by the phase lab. The system uses a phase cavity as a gate to connect the physical universe and the phase space. Then by using phase resonance phenomenon, it creates charged beams that travel in phase space for a certain range. The beam would destabilize once it hits objects in the physical universe or it reaches its maximum range. When it destablizes, the charges would be released from the phase space, and travel to the objects nearby creating arcs.

Due to cost reasons, this experimental interstellar electricity transport system did not get widely used in the domain sectors. But the destablization process gives this weapon a very interesting 'shield penetrating' property. Since if the beam hits shields, the charges would be released in front of the hitting point, and so the arcs would be generated inside the shield, hitting the hull as if the shield does not block the charge arcs. And so this property makes the electricity transport system into a good weapon.",,,,
dpl_chants,WEAPON,"A perfect example of the combination of hyper-physics theory with graviton weapon technologies. The Phase Lab discovered that by concentrating the gravitons near the target, a local graviton density well could exist, and all objects would be attracted toward the stationary point of this density well. This phenomenon could only be explained by the combination of hyper-physics and relativity effects of gravitons.",,,,
dpl_trio,WEAPON,"A perfect example of the combination of hyper-physics theory with graviton weapon technologies. The Phase Lab discovered that by concentrating the gravitons near the target, a local graviton density well could exist, and all objects would be attracted toward the stationary point of this density well. This weapon exploits the power of such phenomenon, but it requires so much gravitons to fire that it cannot be made into a portable weapon system.",,,,
dpl_plasma_hammer,WEAPON,"The plasma hammer is a portable weapon system developped by the phase lab. It's the mature product developped from the prototype longinus. By compressing less plasma into each phase glube, the total amount of plasma needed to generate a shot is greatly reduced, and the preparation time is shorter. But its principle to work is the same as longinus, and so the shots still causes explosion when they hit on armor.",,,,
dpl_hymn,WEAPON,"Hymn is a mature integrated weapon system developped by the phase lab. It was one of the first works of the phase lab, made in the early days far before the persean sector was colonized. Its working principle is simple: use great amount of energy to run pair production process, separate the electrons and positrons using a magnetic field. Then store those particles in phase cavities to build up the density. When firing, the particles will be released, the cyclotrons will accelerate them, and a linac will direct all those particles at enemy ship. When this ray of positrons and electrons hit target, the positroniums will undergo annihilation, and surviving electrons could build up charge gradient to disturb shields. It can't be made into a portable weapon system, because it requires 70% of the energy generated by a capital ship reactor to power up, and so it's only mounted on battleships specially designed to carry this weapon.",,,,
dpl_symphony,WEAPON,"Symphony is an integrated weapon system developped by the phase lab. It was an enlarged version of the hymn weapo system, and even the size of its ray emitter is comparable to a station module. Its working principle is simple: use great amount of energy to run pair production process, separate the electrons and positrons using a magnetic field. Then store those particles in phase cavities to build up the density. When firing, the particles will be released, the cyclotrons will accelerate them, and a linac will direct all those particles at enemy ship. When this ray of positrons and electrons hit target, the positroniums will undergo annihilation, and surviving electrons could build up charge gradient to disturb shields. Its size is simply too large to be installed on any existing class of ships, and only the Phase Lab super flagship orchestra could carry this weapon.",,,,
dpl_anthem,WEAPON,"Anthem is the special built-in weapon system developped by the Lion's Guard for the Lion Anthem class battleship. But even the Lion's Guard has no idea about how this weapon is developped or how it could be installed on any ship. Shipyard workers describe the process of forging this built-in weapon system as ""a sacred ritual for the Executor"", every step has to be exactly the same as on the instructions, and even the smallest deviation would cause system malfunctions. Some rumors say that the Grand Executor designed this weapon system himself, and gives it to the Lion Guard as a gift, and other rumors say that Diktat spies stole this weapon from TriTachyon. Nonetheless, it's a extremely sophisticated system, and it fires extremely deadly Lion roars to the enemy.",,,,
dpl_hydraulis,SHIP,"Hydraulis is an experimental product of the phase lab, she is a test platform for the weapon system called 'Notes'. The Notes weapon system is so large that it takes a cruiser sized ship to carry, and a capital sized ship to power.

So Hydraulis is the answer from the lab: a cruiser sized moving reactor with Notes system. Phase cloak system is not applicable due to its energy cost, and merely no armor can be installed without severly slowing the ship down.

Thus a shield generator is used instead, with special modifications done to further protect this vulnerable ship, and a fighter bay is installed to provide additional protection and support.

After vice admiral Lovelace proved her combat ability in the great battle above the planet called Research Site V nowadays, she is now a part of the phase lab naval force.",,,,
dpl_hydraulis_notes,WEAPON,"Notes is a miracle of the phase technology. The phase lab discovered that given high enough energy input, deep coupling between phase space and physical space can be triggered, and this process sometimes produces flying 'motes' that has certain affinity to physical objects. The phase lab seeks to couple these motes with phase compressed energy glubes, creating a guided energy torpedo system. It turns out that such further coupling is very unlikely to happen in the first place, and the energy in the phase glube can't be too large, or the 'motes' will be burned before the coupling. But when the 'motes' are coupled with phase glubes, the motes will absorb the energy, gain higher frequency and start burning, they are deadly shots until they burn out. Afterall, Notes is the result, a huge guided torpedo launcher with small number of slowly-reproducible shots, each has low damage, but long range.",,,,
dpl_calliope,SHIP,"Calliope is the commercial version of the hydraulis. The Notes system is replaced by weapon slots modified to support medium weapons, the fighter bay and modified shield generator are kept.",,,,
dpl_pioneer,SHIP,"Acumen is a classical mobile lab ship used by the Phase Lab Exploration fleets, it has some weapon mounts for defense, and it has a fighter bay to launch small number of wings for different purposes. Its original design could be chased all the way back to the time before the star gates were even a concept. The Phase Lab installed a special graviton device called 'trio' on this ship, to slow objects down so that they can be more carefully studied.",,,,
dpl_innovator,SHIP,"This ship has no information about its design, but it seems to be a modified version of Acumen. Though there is very limited information about how this ship was made, it certainly is a good unique support ship.",,,,
dpl_oboe,SHIP,"Oboe is the successor of Clarinet, she keeps the integral phase cloak system. And the Gungnir system is replaced by weapon slots modified to support medium energy and missile weapons.",,,,
dpl_trumpet,SHIP,"Trumpet is a commercial warship designed by the phase lab. The phase lab makes heavy modifications to the existing blueprint of shrike, gives it a high quality millitary grade shield, and replaces its ship system with the special 'phase lightning' system. The phase lab designs it as a destroyer cpable to cooperte with most fleet operations and it fulfills its duty nicely. 

There are rumors saying that the phase lightning system on this ship has an input port that can extract energy from energy sources in phase space by phase resonance, and the phase lab uses it as ingredient of some powerful weaponary technologies. 

But the rumors doesn't affect the fact that it's a good ship, and it indeed is a successful destroyer on market",,,,
dpl_flugelhorn,SHIP,"Flugelhorn is a special 'escort destroyer' designed by the phase lab. It has the plasma cores to fascilitate the charging process of all beam weapons, and it has a large energy slot to deliver deadly firepowers. Usually it is used in the phase lab navy to escort capital ships and provide long range firepower support.",,,,
dpl_flumpet,SHIP,"Flumpet is a commercial warship designed by the phase lab, it's an alternation of Trumpet. The phase lab removes the whole battle module on Trumpet, and replaced it with two fighter bays and defensive turrets. It's a fantastic light carrier that can cooperate with smaller ships, but it's very fragile when its shields are down.",,,,
dpl_cornet,SHIP,"Cornet is a special 'anti-submarine' destroyer developped by the phase lab. It has integrated tremolo weapon system, and it is equipped with the phase burst system to deal with phase ships effectively. The cost is that it only has very small spaces left for shield and armor, but the phase lab equipps it with the best millitary grade shield to alleviate this problem.",,,,
dpl_clarinet,SHIP,"Clarinet is an experimental product of the phase lab, she is a test platform for the energy torpedo system called 'Gungnir'. She has integrated phase coils for protection, but her armor is very limited as both Longinus weapon system and the integrated phase coils take the place of armor. Nonetheless, her excellant strike ability will cover and exceed such minor cost for sure.",,,,
dpl_baritone,SHIP,"Baritone is a commercial warship designed by the phase lab. The phase lab gives it the state of the art accelerated energy injection system to make it provide good fire support. Its primary role is to cooperate with the fast destroyers in the fleet to capture strategically important locations, and then provide fire support to defend these locations.",,,,
dpl_trombone,SHIP,"Trombone is a commercial warship designed by the phase lab. She has four medium fighter bays, but only has very limited point defence weapon slots. She is a fantastic fleet carrier as long as it stays behind the battle line, but if the enemy gets too close to her, she has the amazing ability to deploy all reserved wings in emergency situation to give a fight.",,,,
dpl_mellophone,SHIP,"Mellophone is a commercial warship designed by the phase lab. She is a complete alternation to the phase lab's domain-issued lab transport. The phase lab installs mega positronium linac (linear accelerator) and advanced optic systems using the secured cargo space. 

These equipments takes up surprisingly large space, and the reward is great: mellophone becomes the platform that could unleash the full power of tremolo weapon system.",,,,
dpl_tuba,SHIP,"The tuba is a commercial warship designed by the phase lab. The phase lab noticed the success in the Tri-Tachyon's aurora class cruiser, and tuba is their product to compete with aurora. Though she sacrificed missile weapon slots, she has more energy slots to support her performance in longer battles.",,,,
dpl_persean_express,SHIP,"Persean express is an armed freighter designed by the phase lab, and she is free from phase technologies (so her name has nothing to do with instruments). 

She was designed after research site V had been established, as the answer from the phase lab to the endless pirate raids on the mercenary convoys, and to fill in the empty spots of transport ships left by the dismantled lab transports. 

Though she carries less cargo, she is faster and better armed, and she is the main freighter used by the phase lab mercenary convoys these days.",,,,
dpl_euphonium,SHIP,"Euphonium is a special 'anti-air' heavy cruiser designed by the phase lab, and she uses the phase lightning cannon as her main weapon. She has a large charge generating module to support all the phase lightning cannons onboard, and as a draw back, her armor is quite compromised.",,,,
dpl_bassoon,SHIP,"Bassoon is an experimental product of the phase lab, she is a test platform for the weapon system called 'Longinus'. Due to the fact that Longinus system causes so much energy to power, fire, and cooldown, integrated phase coil is not applicble for her. So only ordinary phase coil and very little armor are installed, making her a quite vulnerable ship.",,,,
dpl_tenoroon,SHIP,"Tenoroon is the sccessor of bassoon, the Longinus system is removed, and her power supplies are used to support large energy weapons. The phase lab also installs the integrated phase coils on her to make her a deadly silent hunter. She is a highly sophisticated and expensive ship, and so only the most wealthy commanders could afford one in their fleets.",,,,
dpl_lab_transport,SHIP,"A huge transport ship with its design name classified by the domain of men navy, its recorded information suggests that it's referred to by the name 'lab transport'.

It contains a device that broadcasts a warning message issued by the domain of men navy: ""This ship is a domain of men naval force approved interstellar transport that ships classified research materials. Any violations to this ship's safety will be recognized as hostilities against the domain of men navy, and responded by appropriate millitary operations.""

Due to information restriction policies, this is the only transport ship that the domain phase lab has access to. Even though this warning probabily isn't useful at all after the collapse, this ship still has domain-taste heavy armor and burn drive to survive under enemy firepowers.",,,,
dpl_lion_anthem,SHIP,"The Lion Anthem is a new special modification of the Pegasus-class hull developped by the Lion's Guard, it is equipped with the experimental built-in weapon called 'anthem'. 

Even the Lion's Guard doesn't know the details about the development of this ship, and there are rumors saying that this ship is designed by the Grand Executor himself, and he finished it in one single month. 

Strangely, since this ship was delivered to the Lion's Guard, the Sindrian Diktat began to regularly import scientific equipments from the Phase Lab. Nonetheless, this ship makes another fine and terrifying sight in the skies of the Askonia system.",,,,
dpl_onslaught_alt,SHIP,"The Phase Lab Onslaught is the result of the recovery efforts made by the phase lab engineers when they were trying to recover the half-lost data of onslaught blueprint when they arrived in the sector. 

The engineers tried their best to recover the data in the blue print, but was only able to recover the designs of the ship hull, the armor, and the side weapon slots. The information about the weapon slots in the middle part was completely lost, together with designs of the engine and shield system.

The engineers of the phase lab then added the slots information back according to their cruiser school understanding of naval battles: this ship has to deal as much damage as possible before it blows up.

So the engineers adds many energy weapon slots back to make this belief work. The phase lab also adds the state of the art propulsion system back, together with more flux vents to make the ship more powerful.",,,,
dpl_sousaphone,SHIP,"The sousaphone is a new design made by the phase lab after the establishment of research site V. The Phase Lab navy needed a ship that is faster than saxophone but has stronger firepower than cruisers, to serve as the flagship in fast cruiser fleets. 

And so sousaphone is the result, she has better shields than saxophone, and she keeps the ion cores to strengthen her firepower. Her targeting core is also replaced by a more economical choice for mass production.",,,,
dpl_saxophone,SHIP,"The saxophone is one of the few early phase lab designs that were successfully recovered when the phase lab arrived in the sector. She was designed to be a battle cruiser, as the cruiser school was popular at that time.

The phase lab designed a magnificent built in weapon system that fires positrons and electrons, which could cause energy damage and disrupt shields, it ws called 'hymn'. The domain navy was highly interested in the military potential of such weapon, and ordered the phase lab to make a such a design.

The saxophone is the result: a battle cruiser that sacrificed defence, but equipped with the hymn system, most advanced targeting core in the domain navy at that time, and the plasma cores to facilitate pair productions.

As a byproduct, the plasma core onboard could couple with the beam weapons to disrupt the shields, causing hard flux build-up. But the hymn system and the plasma core also disrupts the ship'sown shield, resulting in bad flux/damage efficiency.",,,,
dpl_jazzophone,SHIP,"A large battle cruiser with its design name classified by the domain of men navy, its recorded information suggests that it's referred to by the name 'jazzophone'. 

According to the very limited available information about the ship, it is suggested that this ship is a modified version of some extremely old battlecruiser design. The ship design itself was probably as old as the gates, when the domain of men was still just a concept, and the old earth was still thriving.

The phase lab installed a device that could greatly influence the local time-space structure on the ship, with its working principles being classified. It is hypothesized that the phase coils were developped based on such a device.

And there are rumors that the phase lab was founded to do deeper studies about the working principles of this device, and to explore its full military potential.",,,,
dpl_sarrusophone,SHIP,"The sarrusophone is a new design made by the phase lab after the establishment of research site V. The Phase Lab navy needed a ship that has stronger firepower than saxophone but faster than aulochrome, to provide firepower supports in fast fleets. 

Such a role is critical when countering large scale pirate armadas and terrorism attacks. And so sarrusophone is the result, she has more concentrated frontal turrets, and a lot of defensive turrets to deal with fighter attacks.

The phase lab also installed a hymn weapon system to strengthen her assult power, at the cost of weakening her shield strength.",,,,
dpl_aulochrome,SHIP,"The aulochrome is one of the few early phase lab designs that were successfully recovered when the phase lab arrived in the sector.

She was designed at the same time as conquest when the cruiser school was a popular idea in the domain of men navy. Her role in the fleet is best described by the concept of a 'fast battleship', a capital ship that has stronger firepower than battle cruisers and higher speed than battleships.

At that time, the phase lab made a built in emergency forge system that stores nanoforge particles using the phase space, and this system allows battle ships to be reconstructed for once in the middle of space battles. The domain of men navy was highly interested in the military potential of such system, and started cooperation of designing this warship with the phase lab. 

Aulochrome is the result: a deadly and fast battleship equipped with the emergency forge system. Domain navy also installed the best targeting core and military shield they could offer at that time on the ship. She served as the flagship in the phase lab escort fleets during the deployment of the phase lab to the persean sector.",,,,
dpl_aulochrome_salazar,SHIP,"The aulochrome is one of the few early phase lab designs that were successfully recovered when the phase lab arrived in the sector. And this specific ship is modified to serve as a test platform for experimental weapons.

She was designed at the same time as conquest when the cruiser school was a popular idea in the domain of men navy. Her role in the fleet is best described by the concept of a 'fast battleship', a capital ship that has stronger firepower than battle cruisers and higher speed than battleships.

At that time, the phase lab made a built in emergency forge system that stores nanoforge particles using the phase space, and this system allows battle ships to be reconstructed for once in the middle of space battles. The domain of men navy was highly interested in the military potential of such system, and started cooperation of designing this warship with the phase lab. 

Aullochrome is the result: a deadly and fast battleship equipped with the emergency forge system. Domain navy also installed the best targeting core and military shield they could offer at that time on the ship. She served as the flagship in the phase lab escort fleets during the deployment of the phase lab to the persean sector.",,,,
dpl_cimbasso,SHIP,"The cimbasso is a a dreadnought-sized fortress carrier designed in the very early days of the phase lab. Her phase-enhanced shield system is very special: by disabling the weapons and directing all the fluxes generated by the shield system into a torus of phase cavities, the shield efficiency could be diminished. The cost is that the phase cavities would slowly generate hard flux. 

Unfortunately, after the ramming of the [REDACTED] drone ship, the blue print for the original design of cimbasso was partially lost, but its shield design was recovered. The the phase lab engineers took the chance to recover the blueprint as an opportunity to make improvements.

They came up with ideas to utilize the flux energy trapped in the phase cavity torus: to release the heat and generate thermal electricity, and use those electric charges to power phase lightning cannons mounted on the circuit. The result of this recovery, or improvement, is the cimbasso design nowadays.",,,,
