name,id,designation,tech/manufacturer,tags,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,,,,,,,hints,rarity,breakProb,minPieces,maxPieces,travel drive,number
Bergslag,prv_bergslag,Mining Ship,Rust Belt,prv_rb_bp,flarelauncher,14,11000,1100,8000,6333,380,130,3,35,25,15,10,10,2500,OMNI,,360,0.5,1.1,,,240,700,450,160,5,32,7,110000,3,10,540,0.25,20,20,,,,,,,FREIGHTER,,0.3,2,3,,8723
Dominator (RB),prv_dominator_rb,Heavy Cruiser,Rust Belt,prv_rb_bp,prv_plasmamanjets_rb,15,14000,1500,10000,10000,500,200,,30,20,10,12,12,2250,FRONT,,150,0.4,1,,,200,300,150,150,5,30,8,112500,4,12,540,0.25,25,25,,,,,,,,,0.4,2,3,,8724
Kvarts,prv_kvarts,Phase Cruiser,Rust Belt,"prv_rb_cap_bp, rare_bp",prv_gravity_pulse_shield,17,12000,1400,8000,13333,800,180,,70,50,40,8,12,1350,PHASE,phasecloak,,,,0.04,0.04,150,300,180,210,6,35,8,175000,3,25,510,0.25,25,25,,,,,,,,,0.45,2,4,,8730.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kakafoni (P),prv_kakafoni_p,Cruiser-Carrier,Pirate,prv_pirate_bp,prv_microburn_p,14,9000,750,7500,7000,450,150,2,60,30,20,17,25,1600,FRONT,,150,0.3,0.9,,,200,300,150,120,4,30,8,112000,3,12,480,0.25,18,18,,,,,,,COMBAT,,0.5,2,4,,8726.5
Kakafoni (RB),prv_kakafoni_rb,Cruiser-Carrier,Rust Belt,prv_rb_bp,forgevats,15,9000,750,7500,7000,450,170,2,60,30,20,17,25,1600,FRONT,,150,0.3,0.9,,,200,300,150,120,4,30,8,140000,3,12,480,0.25,22,22,,,,,,,COMBAT,,0.5,2,4,,8726.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rök (P),prv_rok_p,Battlecruiser,Pirate,"prv_rb_cap_bp, rare_bp",prv_microburn_p,23,10000,1400,13500,12500,600,230,,70,50,40,12,16,2000,OMNI,,150,0.45,0.9,,,350,600,400,420,7,60,8,240000,4,12,600,0.25,35,35,,,,,,,,,0.45,2,3,,8731.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andesit,prv_andesit,Carrier,Rust Belt,"prv_rb_cap_bp, rare_bp",prv_missilechaff,20,16000,1100,9000,8750,350,250,3,30,12,12,6,6,3200,FRONT,,210,0.5,1,,,350,700,200,700,12,58,7,250000,3,12,660,0.25,35,35,,,,,,,"CARRIER, COMBAT, NO_AUTO_ESCORT",,0.4,2,4,,8731.75
Bergtagen,prv_bergtagen,Battleship,Rust Belt,"prv_rb_cap_bp, rare_bp",prv_targetingpulse,22,25000,1500,21000,24375,750,340,,35,8,8,5,8,3750,OMNI,,150,0.4,1,,,800,1600,300,400,15,27,7,280000,3,12,720,0.25,35,35,,,,,,,SHIP_WITH_MODULES,,0.35,2,4,,8731.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damm,prv_damm,Shuttle,Rust Belt,prv_rb_bp,burndrive,2,900,100,1100,1000,80,20,,140,85,65,45,60,150,FRONT,,210,0.5,1.1,,,3,30,40,18,0.5,36,9,3500,5,20,210,0.25,2,2,,,,,,,"CIVILIAN, LINER, FREIGHTER",,0.4,2,3,,8733
Visent,prv_visent,Frontier Freighter,Rust Belt,prv_rb_bp,burndrive,4,4100,450,2400,1875,140,60,,105,40,30,25,25,400,OMNI,,180,0.5,1,,,30,65,170,60,2,30,9,21000,4,10,360,0.25,4,4,,,,,,,FREIGHTER,,0.45,2,3,,8734
Gabbro,prv_gabbro,Armed Transport,Rust Belt,prv_rb_bp,flarelauncher,8,9000,700,6000,5000,300,160,,45,20,10,10,10,1100,OMNI,,150,0.35,1,,,100,1500,300,120,3,40,7,80000,3,14,480,0.25,10,10,,,,,,,LINER,,0.55,2,3,,8735
Bitumen,prv_bitumen,Armored Tanker,Rust Belt,prv_rb_bp,prv_missilechaff,6,3000,600,3000,2500,150,40,,40,25,25,25,15,650,FRONT,,270,0.4,1.1,,,15,30,130,600,2,350,8,34000,4,15,360,0.25,6,6,,,,,,,TANKER,,0.3,2,4,,8735.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Rares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballebo (P),prv_ballebo_p,Heavy Destroyer,Pirate,"rare_bp, prv_lab_bp, hist2t, merc",prv_plasmamanjets_overtuned,13,6000,600,6500,6666,400,105,,75,50,35,35,30,400,OMNI,,120,0.45,1,,,55,110,70,50,2,25,9,54000,5,15,360,0.25,14,14,,,,,,,HIDE_IN_CODEX,,0.4,2,3,,8796.1
Venture (RB-Mod),prv_venture_rb_rare,Combat Freighter,Rust Belt,,highenergyfocus,12,10000,1250,7000,6000,300,115,,40,15,10,12,6,1800,FRONT,,240,0.3,1,,,80,300,800,270,3,90,7,220000,5,10,540,0.25,21,21,,,,,,,HIDE_IN_CODEX,,0.4,2,3,,8721.1
Gremlin-Apogee (RB-mod),prv_gremlin_rb_rare,Cruiser,Rust Belt,,flarelauncher,17,9000,750,12000,14000,700,155,,60,40,30,20,25,2200,FRONT,,360,0.6,0.7,,,150,450,400,200,2,100,8,280000,3,15,420,0.25,25,25,,,,,,,HIDE_IN_CODEX,,0.3,2,3,,8795
Gnejserhead,prv_gnejserhead,Light Destroyer,Rust Belt,"rare_bp, prv_rare_gnejserhead, merc",prv_plasmamanjets_overtuned,7,4000,400,3400,3333,200,85,,110,70,50,50,35,325,FRONT,,240,0.4,1,,,45,90,80,60,2,30,9,31000,6,12,360,0.25,7,7,,,,,,,HIDE_IN_CODEX,,0.4,2,3,,8794
Fågeljävel (P-mod),prv_flock_rare,Light Missile Cruiser,Pirate,rare_bp,prv_plasmamanjets_overtuned,13,6750,675,6750,6000,300,115,,70,45,35,20,20,1000,OMNI,,150,0.4,1.2,,,90,180,110,75,3,25,9,190000,4,15,420,0.25,17,17,,,,,,,HIDE_IN_CODEX,,0.3,2,4,,8793
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buddy,prv_buddy,,Rust Belt,,,,750,150,500,,80,0,,120,180,135,120,120,50,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,0,,,,87008
Skarn,prv_skarn,,Rust Belt,,,,400,100,100,,100,0,,175,200,100,150,180,30,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,,,,,,0,,,,87009
Grus,prv_grus,,Rust Belt,,flarelauncher_single,,350,50,300,,60,0,,275,300,200,125,200,20,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,0,,,,87010
Kalk,prv_kalk,,Rust Belt,,,,400,100,450,,100,0,,160,200,200,75,115,60,PHASE,prv_phasecloak_fighter_rb,,,,0.075,0.075,2,2,,,,,,,,,,,,,,,,,,,PHASE,,0,,,,87011
Karbid,prv_karbid,,Rust Belt,,,,800,200,50,,50,0,,300,300,450,190,380,30,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,0,,,,87012
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orbital Station,prv_station1_rb,Orbital Station,Rust Belt,,prv_station_drone_skans_light,100,40000,1600,1000,2500,100,0,,30,200,200,1.5,1.5,5000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,50,50,,,,,,,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,0,,,,87104.1
Battlestation,prv_station2_rb,Battlestation,Rust Belt,,prv_station_drone_skans_light,200,80000,2000,1000,2500,100,0,,30,200,200,1.5,1.5,5000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,75,50,,,,,,,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,0,,,,87104.2
Star Fortress,prv_station3_rb,Star Fortress,Rust Belt,,prv_station_drone_skans,400,160000,2400,1000,2500,100,0,,30,200,200,1.5,1.5,5000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,100,50,,,,,,,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,0,,,,87104.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skans,prv_station_drone_rb_skans,Scrap Drone,Rust Belt,no_dealer,canister_flak,,4000,500,2000,1875,150,60,,150,200,150,45,45,250,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,UNBOARDABLE,,0.3,2,3,,87105.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,prv_module_rb_battery3,Heavy Battery Module,Rust Belt,,forgevats_station,1,25000,2000,12000,25000,1000,1000,,0,0,0,10,10,3000,FRONT,,150,0.4,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, ALWAYS_PANIC",,1,2,4,,87120
,prv_module_rb_hangar3,Hangar Module,Rust Belt,,forgevats_station,1,15000,1500,8000,12500,500,1000,2,0,0,0,10,10,2250,FRONT,,150,0.4,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, ALWAYS_PANIC",,0.5,2,4,,87121
,prv_module_rb_freeport1,Freeport Module,Rust Belt,,,1,5000,750,1500,2500,100,1000,1,0,0,0,10,10,500,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,1,2,4,,87122
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,prv_module_armor_bergtagen_l,Armor Belt,Rust Belt,module_hull_bar_only,,,1000,750,0,2500,100,0,,0,0,0,10,10,300,NONE,,0,0,0,,,0,0,0,0,1,0,,0,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,1,2,3,,87111
,prv_module_armor_bergtagen_r,Armor Belt,Rust Belt,module_hull_bar_only,,,1000,750,0,2500,100,0,,0,0,0,10,10,300,NONE,,0,0,0,,,0,0,0,0,1,0,,0,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,1,2,3,,87111
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,prv_module_rb_armor,Station Armor,Rust Belt,module_hull_bar_only,,1,5000,1500,0,2500,0,0,,0,0,0,10,10,300,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, UNDER_PARENT",,1,2,3,,87113.2
,prv_module_rb_armor_light,Station Armor,Rust Belt,module_hull_bar_only,,1,5000,1500,0,2500,0,0,,0,0,0,10,10,300,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, UNDER_PARENT",,1,2,3,,87113.3
