name,id,tier,rarity,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,tech/manufacturer,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,sModDesc,short,sprite
Integrated Armor,mhmods_integratedarmor,3,,defensive,Defenses,15000,,,,MHM inc,5,10,15,25,data.hullmods.MHMods_IntegratedArmor,Increases minimum armor value by %s but reduces maximum armor by %s.,,,graphics/hullmods/MHMods_IntegratedArmor.png
Missile Prefabricator,MHMods_prefabricator,2,,"special, offensive",Weapons,10000,,,,MHM inc,3,6,9,15,data.hullmods.MHMods_prefabricator,"Replaces missile autoloader with prefabricated ammo stores. Increases ammo capacity of missile weapons by equivalent of %s/%s/%s/%s second of ammo reload but %s their ammo recharge.

Does not affect weapons without magazines and build-in weapons.",,,graphics/hullmods/MHMods_prefabricator.png
Particle Accelerator,mhmods_particleaccelerator,1,,"special, offensive",Weapons,5000,,,,MHM inc,3,6,9,15,data.hullmods.MHMods_ParticleAccelerator,Increases projectile travel speed of energy and ballistic weapons by %s.,,,graphics/hullmods/MHMods_ParticleAccelerator.png
Reloader,mhmods_reloader,1,,"special, offensive",Weapons,5000,,,,MHM inc,3,6,9,15,data.hullmods.mhmods_reloader,Increases ammo reload speed of energy and ballistic by %s.,,,graphics/hullmods/mhmods_reloader.png
Split Chamber,mhmods_splitChamber,2,,"special, offensive",Weapons,7500,,,,MHM inc,3,6,9,15,data.hullmods.MHMods_splitChamber,"Increases fire rate, ammo reload speed and ammo cappacity of energy and ballistic weapons by %s.
Reduces flux generation of energy and ballistic weapons by %s.
Reduces damage of energy and ballistic weapons by %s.",,,graphics/hullmods/MHMods_SplitChamber.png
Stiff mounts,mhmods_stiffMounts,2,,"special, offensive",Weapons,7500,,,,MHM inc,2,4,5,8,data.hullmods.MHMods_stiffMounts,Reduces weapon recoil by %s but also reduces weapon turn rate by %s.,,,graphics/hullmods/MHMods_stiffMounts.png
Torpedo Spec,mhmods_torpedospec,1,,"special, offensive",Weapons,5000,,,,MHM inc,3,6,9,15,data.hullmods.MHMods_TorpedoSpec,"Modify missiles propulsion system to be forward focused, increasing their speed by %s and hitpoints by %s, at the cost of reducing their maneuverability by %s.",,,graphics/hullmods/MHMods_torpedo speck.png
Unstable Shields,mhmods_unstableshields,3,,"special, shields, defensive",Shields,7500,,,,MHM inc,3,6,9,15,data.hullmods.MHMods_UnstableShields,"Overcharges shield projectors with energy, reducing shield damage taken by %s for %s seconds after it was deployed. Subsequently, shield starts taking more damage, up to maximum of %s after being deployed for %s seconds. Shield starts to gain charge after shield was disabled for %s second and returns to fully charged state after %s seconds.",,,graphics/hullmods/MHMods_Unstable Shields.png
Voltage Regulation System,mhmods_voltageregulationsystem,2,,"special, offensive",Weapons,5000,TRUE,,,MHM inc,2,4,6,10,data.hullmods.MHMods_VoltageRegulationSystem,"Reduces beam weapons flux cost by %s.
Reduces beam weapon range by %s.",,,graphics/hullmods/MHMods_Voltage Regulation System.png
Weapon Inhibitor,mhmods_weaponinhibitor,1,,"special, offensive",Weapons,5000,TRUE,,,MHM inc,2,4,6,10,data.hullmods.MHMods_WeaponInhibitor,"Reduces ballistic weapon flux generated by %s.
Reduces ballistic weapon damage by %s.
Reduces ballistic weapon rate of fire by %s.",,,graphics/hullmods/MHMods_weaponinhibitor.png
