Dove,filgap_dove,Scout,Low Tech,,2,750,150,1000,1000,100,15,,170,170,100,90,120,150,FRONT,,120,0.4,1,,,5,5,20,30,1,30,10,6000,6,10,240,0.25,4,4,,base_bp,,0.5,2,2
Chondrite,filgap_chondrite,Freighter,High Tech,flarelauncher_active,3,1200,200,1750,1750,75,25,,100,90,80,60,80,200,FRONT,,270,0.4,1,,,10,25,120,30,1,30,10,7000,5,15,180,0.25,4,4,CIVILIAN,hightech_bp,,0.4,2,2
Traverse,filgap_traverse,Freighter,Low Tech,maneuveringjets,3,1300,150,1000,1000,75,20,,80,80,50,30,60,200,FRONT,,120,0.4,1.2,,,15,25,170,30,1,30,10,5000,5,15,180,0.25,4,4,CIVILIAN,base_bp,,0.5,2,2
Pyrphoros,filgap_pyrphoros,Frigate,Pirate,flarelauncher,4,750,250,1500,1250,100,40,,110,60,40,30,50,225,FRONT,,180,0.5,1.2,,,35,50,10,100,1,100,9,8000,8,15,180,0.25,3,3,,pirate_bp,,0.7,2,4
Carcajou,filgap_carcajou,Heavy Frigate,High Tech,temporalshell,8,2000,250,2000,1875,150,50,,130,120,100,60,120,300,OMNI,,180,0.4,0.6,,,0,0,40,20,1,20,10,30000,7,20,360,0.25,8,8,"UNBOARDABLE, HIDE_IN_CODEX","remnant, auto_rec",,0.5,2,2,
Rosatom,filgap_rosatom,Support Frigate,High Tech,flarelauncher_active,5,2250,300,2500,1500,100,45,,110,100,60,40,70,300,OMNI,,150,0.5,0.7,,,30,40,100,50,1,50,10,12000,8,15,300,0.25,5,5,,base_bp,,0.4,2,2,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copernic,filgap_copernic,Science Vessel,Low Tech,flarelauncher,7,3500,400,2000,2000,150,60,1,65,30,20,25,15,400,OMNI,,90,0.5,1.2,,,30,70,150,120,2,60,9,32000,5,15,300,0.25,5,5,,base_bp,0.75,0.5,2,3
Templar,filgap_templar,Missile Destroyer,Luddic Church,fastmissileracks,10,6000,900,4000,3500,200,100,,60,40,20,30,20,500,FRONT,,150,0.4,1.2,,,60,100,90,90,3,30,9,38000,5,12,420,0.25,9,9,,"LC_bp, luddic_church",,0.5,2,3
Bogomil,filgap_bogomil,Destroyer,Luddic Church,ammofeed,10,5000,500,2750,3500,250,85,,60,30,25,20,10,400,FRONT,,120,0.5,1.1,,,90,150,40,30,2,15,9,35000,5,10,360,0.25,10,10,,"LC_bp, luddic_church",,0.6,2,3
Pyrrhocorax,filgap_pyrrhocorax,Light Carrier,High Tech,flarelauncher_active,10,2500,200,2500,2750,200,65,1,100,70,40,30,70,300,OMNI,,120,0.4,0.8,,,50,80,120,120,2,60,9,36000,8,15,360,0.25,9,9,,"tritachyon",,0.4,2,3
Herder,filgap_herder,Light Carrier,Midline,flarelauncher_active,11,4250,400,3000,2813,225,70,2,75,50,30,25,25,450,FRONT,,300,0.4,0.8,,,90,150,40,40,2,20,9,52000,5,15,360,0.25,15,15,CARRIER,midline_bp,,0.5,2,3
Ballista,filgap_ballista,Missile Destroyer,Low Tech,flarelauncher,9,3500,300,3250,2750,150,55,,70,40,25,30,20,400,FRONT,,120,0.4,1.2,,,70,90,80,50,2,25,9,22000,5,15,360,0.25,8,8,,pirate_bp,,0.5,2,3
Orthus,filgap_orthus,Destroyer,High Tech,fortressshield,11,4000,400,5000,5000,300,90,,85,60,40,25,30,400,FRONT,,270,0.3,0.8,,,40,60,80,50,2,25,9,42000,5,15,300,0.25,10,10,,filgap_archeohigh_bp,,0.6,2,3
Dragoon,filgap_dragoon,Light Destroyer,Low Tech,damper,10,3500,400,3500,3500,200,80,,80,50,30,30,30,400,FRONT,,200,0.4,1.2,,,50,70,80,50,2,25,9,41000,5,15,360,0.25,9,9,HIDE_IN_CODEX,filgap_archeolow_bp,,0.6,2,3
Cossack,filgap_cossack,Light Destroyer,Low Tech,reservewing,10,3500,400,3500,3000,125,85,1,80,50,30,30,30,400,FRONT,,200,0.4,1.2,,,70,90,80,50,2,25,9,45000,5,10,360,0.25,11,11,,filgap_archeolow_bp,,0.6,2,3
Chrysops,filgap_chrysops,Prototype Destroyer,Midline,temporalshell,14,3300,350,4000,8000,350,85,,90,60,40,35,30,350,FRONT,,120,0.4,0.8,,,30,40,60,60,2,30,9,95000,5,20,300,0.25,16,16,"HIDE_IN_CODEX",filgap_archeomid_bp,,0.5,2,3
Wardlaw,filgap_wardlaw,Q-Ship,Low Tech,burndrive,9,4250,400,3600,3600,175,75,,50,35,25,25,15,450,FRONT,,240,0.5,1.2,,,80,130,80,60,2,30,8,28000,5,12,360,0.25,8,8,,base_bp,,0.4,2,3
Nitassinan,filgap_nitassinan,Patrol Destroyer,Low Tech,flarelauncher,9,6000,600,3000,2500,150,80,,50,30,25,30,20,700,FRONT,,120,0.4,1.2,,,100,150,70,90,3,30,8,33000,5,10,420,0.25,8,8,,base_bp,,0.3,2,3,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formica,filgap_formica,Drone Tender,High Tech,targetingfeed,16,6500,700,12000,14000,600,125,2,80,40,25,20,20,1600,FRONT,,180,0.4,0.8,,,80,160,150,90,3,30,8,180000,4,20,420,0.25,30,30,,"rare_bp, hist2t",,0.6,2,3,,
Foundation,filgap_foundation,Mobile Dock,High Tech,flarelauncher_active,10,8000,600,8000,8000,500,120,2,55,35,15,20,25,2200,FRONT,,360,0.5,0.8,,,200,300,200,120,3,40,8,70000,4,12,360,0.25,15,15,,"rare_bp, merc",,0.5,2,3
Opportunity,filgap_opportunity,Heavy Cruiser,Pirate,canister_flak,14,11000,1100,8000,7500,400,150,,50,25,20,12,6,1500,FRONT,,240,0.4,1,,,200,350,250,120,3,40,7,100000,4,10,540,0.25,16,16,,rare_bp,,0.4,2,3
Adjudicator,filgap_adjudicator,Armored Cruiser,Low Tech,ammofeed,12,6000,900,6500,6000,300,125,,60,35,20,15,20,1000,OMNI,,100,0.4,1,,,150,220,120,100,3,33,8,115000,4,12,540,0.25,15,15,,"heg_aux_bp, LC_bp, luddic_church",,0.4,2,3
Wagner,filgap_wagner,Monitor,Midline,fastmissileracks,12,7000,750,6500,6500,300,140,,45,40,30,20,25,800,FRONT,,150,0.4,1,,,120,200,150,100,3,33,8,85000,5,12,480,0.25,16,16,,filgap_archeomid_bp,,0.4,2,2
Cathar,filgap_cathar,Heavy Cruiser,Luddic Church,flarelauncher,15,9000,1250,8500,8000,375,145,,40,25,15,12,9,1900,FRONT,,210,0.5,1,,,200,350,170,120,4,30,7,120000,5,12,540,0.25,20,20,,"LC_bp, luddic_church",,0.4,2,3
Starblazer,filgap_starblazer,Makeshift Carrier,Low Tech,reservewing,12,6000,400,3500,2500,200,100,2,40,20,10,10,10,1200,FRONT,,150,0.5,1,,,250,1000,300,120,3,40,7,75000,3,20,480,0.25,12,12,CARRIER,base_bp,,0.6,2,3,
Auspicious,filgap_auspicious,Cruiser,High Tech,flarelauncher_active,20,8000,750,10000,12000,600,125,2,60,40,30,20,25,2000,FRONT,,360,0.6,0.7,,,190,450,300,150,2,75,8,150000,4,15,480,0.25,20,20,,rare_bp,,0.6,2,3,
Contemptor,filgap_contemptor,Cruiser,Low Tech,flarelauncher,12,8000,1200,8000,7000,350,100,,50,20,10,12,12,2000,FRONT,,150,0.4,1,,,125,150,120,120,4,30,8,120000,5,12,540,0.25,25,25,"HIDE_IN_CODEX",filgap_archeolow_bp,,0.4,2,3
Era,filgap_era,Factory Ship,Midline,forgevats,12,7000,500,8000,8000,250,100,,45,15,10,10,10,1500,OMNI,,90,0.4,0.8,,,200,300,500,300,4,75,7,100000,4,15,420,0.25,15,15,,base_bp,,0.5,2,3
Redoubt,filgap_redoubt,Cruiser,Explorarium,flarelauncher,10,9000,1300,7000,6000,300,100,,45,20,10,12,12,2000,NONE,,0,0,0,,,0,0,110,60,4,15,8,120000,5,12,600,0.25,25,25,"UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec",,0.5,2,3
Era (LC),filgap_era_lc,Carrier,Luddic Church,fastmissileracks,12,7000,500,8000,8000,250,120,2,45,15,10,10,10,1500,OMNI,,90,0.4,0.8,,,260,350,300,150,4,37,8,125000,4,20,480,0.25,18,18,CARRIER,"LC_bp, LP_bp, luddic_church",,0.5,2,3,
Babel,filgap_babel,Mobile Dock,Low Tech,flarelauncher,10,8000,1250,3500,3500,200,90,2,45,20,10,10,10,2000,OMNI,,150,0.4,1,,,200,300,100,60,4,15,8,56000,4,12,420,0.25,20,20,CARRIER,base_bp,,0.4,2,3
Pharos,filgap_pharos,Tanker,Low Tech,flarelauncher,7,5000,700,4500,4000,200,75,,40,20,15,8,8,2000,OMNI,,120,0.5,1.2,,,30,130,300,1200,3,400,7,35000,4,20,420,0.25,6,6,"CIVILIAN, TANKER, FREIGHTER",base_bp,,0.75,2,4,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trajan,filgap_trajan,Battlecarrier,Midline,reservewing,23,11000,1000,15000,25000,1000,300,2,40,20,15,6,5,2200,FRONT,,150,0.4,1.2,,,550,850,350,350,10,35,8,330000,4,20,660,0.25,45,45,,rare_bp,,0.6,2,4
Charon,filgap_charon,Dropship,Midline,burndrive,10,9000,1000,8000,15000,400,165,,40,25,20,8,12,2000,FRONT,,150,0.5,1,,,200,2000,500,320,8,40,7,150000,4,15,600,0.25,30,30,TRANSPORT,rare_bp,,0.4,2,3,
Kuunlan,filgap_kuunlan,Deep Space Mining Ship,Low Tech,highenergyfocus,18,15000,1500,11000,440,500,210,4,40,15,15,10,10,3500,OMNI,,90,0.4,1,,,500,1200,1000,500,10,50,7,200000,4,20,660,0.25,30,30,,rare_bp,,0.4,2,4,,
Bahamut,filgap_bahamut,Armored freighter,Midline,burndrive,16,12000,1000,10000,10000,400,220,2,50,20,15,4,4,3000,FRONT,,220,0.5,1.2,,,320,550,1200,500,9,55,8,200000,3,18,660,0.25,30,30,,"rare_bp, req_military",,0.7,3,4,,
