name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
Semi-automated Ship,BT_Semi_Automated,,,Bultach Coalition,,,,,TRUE,,0,0,0,0,data.hullmods.BT_Semi_Automated,"This ship is semi-automated, only capable of taking on a small crew for maintenance and safety purposes.

Semi-automated ships require specialized equipment and expertise to maintain, resulting in a maximum combat readiness penalty of %s.",Much smaller crew capacity.,graphics/hullmods/automated.png
Bultach shield zaps,bt_shieldArching,0,,Bultach Coalition,defensive,0,,,TRUE,TRUE,0,0,0,0,data.hullmods.bt_shieldArching,,Shield Changer,graphics/hullmods/low_maintenance.png
Linked Hull,BT_linkedhull,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.BT_LinkedHull,Mirrors certain aspects between the parent and child hulls.,,graphics/hullmods/vast_bulk.png
HULLMOD CONFLICT,IncompatibleHullmodWarning,,,,,,,,TRUE,,0,0,0,0,data.hullmods.IncompatibleHullmodWarning,"%s, the hullmod you tried to install conflicts with this hull or another previously installed hullmod.","%s, the hullmod you tried to install conflicts with this hull or another previously installed hullmod.",graphics/icons/intel/investigation.png
Cramped Flight Deck,BT_CrampedFlightDeck,,,Bultach Coalition,,,,,TRUE,,0,0,0,0,data.hullmods.BT_CrampedFlightDeck,"The flight decks on this ship are exceptionally cramped due to the size of the vessel. Causes interfere with normal operation. Time to launch replacement fighters is increased by %s.
",,graphics/hullmods/converted_hangar.png
Linked Hull TWO,BT_linkedhull_two,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.BT_LinkedHull_two,Mirrors certain aspects between the parent and child hulls.,,graphics/hullmods/vast_bulk.png
Linked Hull THREE,BT_linkedhull_three,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.BT_LinkedHull_three,Mirrors certain aspects between the parent and child hulls.,,graphics/hullmods/vast_bulk.png
Nadhmòr Ballistic Suite,bt_nadhmor_suite,,,Bultach Coalition,,,,,TRUE,,0,0,0,0,data.hullmods.bt_nadhmor_suite,"The streamlined ballistic suite of the Nadhmor effortlessly integrates most ballistics quite well. However, the advanced hardware possesses a mere hint of modularity, and the wing hardpoints will accept missile weapons, with some fuss from the flux grid.

The following only applies to weapons in %s mounts.

%s Weapons:
The total spent ordinance points (%s) multiplied by 8 and added to flux dissipation.
Total dissipation: %s
",,graphics/icons/skills/ranged_specialization.png
,,,,,,,,,,,,,,,,,,
Bultach shields Changer TWO,BT_shieldsChanger_Gestalt,0,,Bultach Coalition,defensive,0,,,TRUE,TRUE,0,0,0,0,data.hullmods.BT_shieldsChanger_Gestalt,,Shield Changer,graphics/hullmods/low_maintenance.png
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
#Sathar weps,,,,,,,,,,,,,,,,,,
Sathar Weapon Swapper,bt_variable_sathar_mode,,,Bultach Coalition,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.BT_Sathar_Swapper,Allows you to change weapons on the Sathar.,Variable weapon selection. You shouldn't see this in-game.,graphics/hullmods/sgr_artillery.png
Furaidh Siege Laser,bt_sathar_mode_siege_laser,,,Bultach Coalition,no_build_in,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.combat.BaseHullMod,Installs an incredibly powerful energy blaster as the main armament. Removing this hullmod swaps the weapon to the next.,Energy Burst Laser.,graphics/hullmods/sgr_laser.png
Chaneilgin Artillery,bt_sathar_mode_gigashotgun,,,Bultach Coalition,no_build_in,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.combat.BaseHullMod,Installs a long range artillery cannon as the main armament. Removing this hullmod swaps the weapons to the next.,HE Artillery.,graphics/hullmods/sgr_artillery.png
Tonnas Motha Torpedo,bt_sathar_mode_emp_nuke,,,Bultach Coalition,no_build_in,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.combat.BaseHullMod,Installs a massive strike torpedo as the main armament. Removing this hullmod swaps the weapon to the next.,Nuclear Deterrent.,graphics/hullmods/sgr_nuke.png
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
