name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number
Hoshiko,anvil_hoshiko_civ,salvage Vessel,High Tech,flarelauncher_active,8,5000,400,4800,2833,250,45,1,65,25,25,40,35,350,FRONT,,240,0.5,0.8,,,50,90,160,50,1,50,9,44000,5,9,380,0.25,9,9,,hightech_bp,,0.5,2,3,305
Shrike (EX),anvil_shrike_ex,Light Destroyer,Exalted,microburn,9,3100,150,5500,5833,350,85,,90,100,80,35,80,250,OMNI,,160,0.3,0.7,,,25,50,40,60,2,30,10,23000,5,15,300,0.25,8,8,,exalted_bp,,0.7,2,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faint,anvil_faint,Light Frigate,Exalted,anvil_possession,4,800,80,2200,1875,120,40,,150,130,80,160,360,200,OMNI,,360,0.3,0.4,,,6,12,20,10,1,10,10,8000,10,10,180,0.25,4,4,,exalted_bp,,0.8,2,3,222
Spirit,anvil_spirit,Heavy Frigate,Exalted,anvil_possession,10,1000,130,3300,2813,200,55,,140,170,150,90,220,280,FRONT,,180,0.3,0.5,,,15,30,20,35,1.5,23,9,38000,10,25,200,0.25,10,10,,exalted_bp,,0.6,2,2,206
Eerie,anvil_eerie,Defense Frigate,Exalted,flarelauncher_active,5,1300,120,3600,1500,200,50,,85,90,90,40,80,200,FRONT,,280,0.4,0.5,,,20,35,20,20,1,20,10,31000,8,10,260,0.25,6,6,,exalted_bp,,0.5,2,2,214
Omen (EX),anvil_omen_ex,Frigate,Exalted,emp,6,900,55,2700,2500,220,35,,135,220,175,120,360,100,OMNI,,360,0.3,0.5,,,12,25,20,20,1,20,10,23000,10,20,180,0.25,5,5,,exalted_bp,,0.5,2,2,205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisp,anvil_wisp,,Exalted,,,400,80,550,,90,0,,165,350,250,90,180,10,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,0,,,101
Delusion,anvil_delusion,,Exalted,,,110,5,550,,100,0,,335,500,450,180,360,10,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,102
Fairy,anvil_fairy,,Exalted,,,250,10,300,,50,0,,180,350,250,90,180,10,OMNI,,160,0,0.8,,,1,1,,,,,,,,,,,,,,,,0,,,101
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odyssey (EX),anvil_odyssey_ex,Battlecruiser,Exalted,anvil_emp_ex,40,13000,450,18000,25000,1200,310,1,80,50,40,8,12,2000,OMNI,,120,0.3,0.6,,,500,800,340,450,8,56,8,430000,4,20,700,0.25,55,55,HIDE_IN_CODEX,,,0.1,2,4,505
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cielo Drone,anvil_cielo_drone,,Exalted,anvil_emp,,350,35,150,,50,0,,275,350,300,120,240,20,FRONT,,160,0.5,0.6,,,0,0,,,,,,,,,,,,,,,,0,,,112
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
