name,id,flux/second,f/s (base rate),f/s (base cap),flux/use,f/u (base rate),f/u (base cap),cr/u,max uses,regen,charge up,active,down,cooldown,toggle,noDissipation,noHardDissipation,hardFlux,noFiring,noTurning,noStrafing,noAccel,noShield,noVent,isPhaseCloak,tags,icon
Drone Swarm,fed_droneswarm,,,,,,0.4,,,,0.1,,3,50,,,,,,,,,,,,,graphics/icons/hullsys/reserve_deployment.png
Battery Discharge ,fed_powersurge,,,,,,,,2,0.15,0.25,1.5,0.25,,,,,,,,,,,,,,graphics/icons/hullsys/ammo_feeder.png
Battery Discharge II,fed_powersurge_slow,,,,,,,,1,0.055,0.75,3,0.75,,,,,,,,,,,,,,graphics/icons/hullsys/ammo_feeder.png
Engine Surge,fed_halfburn,,,,,,,,2,0.065,0.5,4,0.2,0,,,,,,,TRUE,TRUE,,,,,graphics/icons/hullsys/burn_drive.png
Power Surge,fed_powersurge_boss,,,,,,,,,,6.75,0.25,0.25,32.75,,,,,,,,,,TRUE,,,graphics/icons/hullsys/ammo_feeder.png
Phase Veins,fed_biocloak,,,,,,,,,,0.4,,0.6,1.25,TRUE,,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,,graphics/icons/hullsys/phase_cloak.png
Light Canister Flak,fed_canister_flak,,,,,,,,2,0.04,,,,6,,,,,,,,,,,,,
Coordinated Strike,fed_battlemode,,,,,,0.2,,,,0.5,10,0.5,20,,,,,,,,,,,,,graphics/icons/hullsys/targeting_feed.png
Volley Fire,fed_powersurge_bomber,,,,,,0.3,,,,0.5,1.5,0.5,17.5,,,,,,,,,,,,,graphics/icons/hullsys/ammo_feeder.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTL Drive Mk1,fed_traveldrive_frigate,1,,,,,,,,,,7.65,5,0,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,graphics/icons/hullsys/burn_drive.png
FTL Drive Mk2,fed_traveldrive_destroyer,1,,,,,,,,,,7.65,7,0,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,graphics/icons/hullsys/burn_drive.png
FTL Drive Mk3,fed_traveldrive_cruiser,1,,,,,,,,,,7.65,8,0,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,graphics/icons/hullsys/burn_drive.png
FTL Drive Mk4,fed_traveldrive_capital,1,,,,,,,,,,7.65,10,0,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,graphics/icons/hullsys/burn_drive.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interdictor Device,fed_interdictor,,,,,,0.25,,1,0.05,0.5,,0.5,4,,,,,,,,,,,,,graphics/icons/hullsys/interdictor_array.png
