name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number
Svil,XHAN_Svil,Drone Frigate,Alvarium Doctrine,XHAN_PhaseHop,3,1100,225,800,1875,130,35,,180,150,150,85,180,200,FRONT,,60,0.4,1,,,0,0,30,20,1,20,11,5000,10,20,260,0.20,2,2,HIDE_IN_CODEX,,,0.5,2,2,89029
Lurr,XHAN_Lurr,Drone Frigate,Alvarium Doctrine,XHAN_EnergyOpti,3,1700,200,1500,2813,110,30,,155,120,100,70,150,250,OMNI,,90,0.4,1,,,0,0,70,20,1,20,11,5000,10,20,260,0.20,2,2,HIDE_IN_CODEX,,,0.5,2,2,89030
Hassak,XHAN_Hassak,Phase Drone,Alvarium Doctrine,xhan_Chemflare,6,1000,300,1200,2000,160,50,,125,120,100,70,120,280,PHASE,phasecloak,90,,,0.06,0.06,0,0,10,20,1,20,10,20000,10,20,220,0.20,7,7,"HIDE_IN_CODEX, PHASE",,,0.5,2,2,89031
Cronosos,XHAN_Cronosos,Experimental Phase Frigate,High Tech,temporalshell,12,1900,400,3200,5000,400,50,,165,120,100,60,120,200,PHASE,XHAN_ChronoPhase,90,,,0.03,0.04,3,5,25,50,1,50,10,62000,10,20,250,0.05,10,10,"HIDE_IN_CODEX, PHASE",,,0.5,2,2,89034
Kassarek,XHAN_Kassarek,Emperors Shield,Prime Divination,xhan_damper,18,3500,1500,2000,1875,120,40,,95,120,100,50,90,700,NONE,,,,,,,1,1,0,15,1,15,10,160000,8,10,500,0.15,10,10,HIDE_IN_CODEX,,,,,,89035
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doskan,XHAN_Doskan,Missile Destroyer,Xhan Tech,xhan_blastflare,7,2200,350,1900,1667,110,60,,80,60,40,25,30,300,FRONT,,90,0.4,1,,,20,30,10,20,2,20,9,20000,5,10,300,0.25,8,8,,XhanLowtech_bp,,0.6,2,3,89018
Meiche,XHAN_Meiche,Armored Tanker,Xhan Tech,burndrive,6,2000,600,2000,2500,150,35,,60,40,20,25,20,300,OMNI,,60,0.5,1.2,,,10,20,10,400,2,200,8,22000,5,20,300,0.25,4,4,"CIVILIAN, TANKER",XhanLowtech_bp,,0.75,3,4,89003
Olkzan,XHAN_Olkzan,Heavy Destroyer,Xhan Tech,xhan_microburn,11,6500,1000,4000,3333,400,100,,50,40,20,28,25,700,OMNI,,90,0.4,0.9,,,70,120,80,100,3,30,9,51000,5,12,490,0.25,13,13,,XhanMidtech_bp,,0.4,2,3,89004
Olkzan(P),XHAN_Olkzan_pirate,Custom Destroyer,Pirate,burndrive,11,5800,700,3000,3333,500,100,,65,50,22,32,28,700,FRONT,,120,0.4,1.1,,,60,100,65,100,3,30,9,49000,5,12,420,0.25,13,13,,,,0.4,2,3,89004.1
Olkzan(E),XHAN_Olkzan_export,Heavy Destroyer,Xhan Tech,xhan_microburn,11,6000,900,3800,3333,400,100,,55,42,20,30,25,700,OMNI,,90,0.4,0.9,,,70,120,80,100,3,30,9,50000,5,12,470,0.25,13,13,,,,0.4,2,3,89004.2
Olkzan(C),XHAN_Olkzan_Carrier,Carrier,Xhan Tech,xhan_microburn,10,5500,750,2000,2000,140,75,2,60,45,25,30,25,650,OMNI,,90,0.4,0.9,,,90,160,80,100,3,30,9,38000,5,12,470,0.25,10,10,CARRIER,XhanMidtech_bp,,0.4,2,3,89010
Ketsil,XHAN_Ketsil,Combat Troop Transport,Xhan Tech,xhan_blastflare,6,3500,600,3000,3000,120,60,1,80,60,60,30,45,450,FRONT,,120,0.4,1,,,20,200,100,80,2,40,9,35000,5,15,400,0.25,8,8,TRANSPORT,XhanLowtech_bp,,0.5,2,3,89013
Ketsil(E),XHAN_Ketsil_export,Combat Freighter,Xhan Tech,xhan_blastflare,6,3500,550,2800,2800,120,60,1,85,65,65,35,45,450,FRONT,,120,0.4,1,,,20,100,200,80,2,40,9,35000,5,15,400,0.25,8,8,,,,0.5,2,3,89014
Slenzak,XHAN_Slenzak,Experimental Destroyer,Xhan Tech,xhan_microburn,15,4000,500,5000,5000,500,45,,60,50,35,35,35,400,OMNI,,120,0.4,1,,,25,45,15,40,2,20,9,51000,5,12,420,0.25,20,20,,,,0.4,2,3,89004
Vukan,XHAN_Vukan,Missile Destroyer,Midline,forgevats,11,4800,300,4000,4167,160,85,,105,75,60,36,60,400,FRONT,,250,0.4,0.8,,,20,35,20,40,2,20,9,50000,5,12,320,0.25,12,12,,rare_bp,,0.5,2,3,89020
Vukan(S),XHAN_Vukan_S,Missile Destroyer,Midline,xhan_hyperforge,13,4800,400,4200,4167,180,95,,115,75,70,36,60,400,FRONT,,250,0.4,0.8,,,20,35,0,30,2,15,9,80000,5,12,400,0.25,14,14,HIDE_IN_CODEX,,,0.5,2,3,89021
Urodelan,PAMED_urodelan,Destroyer,UTONA Shipyards,XHAN_ElectroChargedShields,15,3500,300,7000,6667,600,105,,100,100,60,45,100,300,FRONT,,360,0.3,0.6,,,35,50,20,30,2,15,9,130000,5,20,380,0.25,20,20,,,,0.8,2,3,89025
Buffalo(UP),PAMED_buffalo,Freighter,High Tech,flarelauncher_active,5,3000,125,1500,1167,70,28,,50,25,20,15,7,400,OMNI,,120,0.5,1,,,10,20,400,80,2,40,8,20000,5,20,240,0.25,3,3,"CIVILIAN, FREIGHTER",,,0.6,2,3,89026
Drover(UP),PAMED_drover,Light Carrier,Midline,reservewing,11,4250,400,3000,2813,225,70,2,75,50,30,25,25,450,FRONT,,300,0.4,0.8,,,90,150,80,40,2,20,9,52000,5,15,360,0.25,15,15,CARRIER,,,0.5,2,3,89027
Velloun,XHAN_Velloun,Covert Hiveship,Alvarium Doctrine,plasmajets,11,4500,500,3000,2813,220,55,1,65,50,40,30,25,450,OMNI,,180,0.5,0.7,,,50,70,280,40,2,20,10,72000,5,15,370,0.15,12,12,"CARRIER, HIDE_IN_CODEX",,0.5,0.5,2,3,89032
ZT-Boomer,XHAN_ZT_Boomer,Strike Destroyer,Low Tech,XHAN_TurboBurn,11,4500,800,3000,3000,350,65,,100,60,60,40,45,2000,NONE,,120,0.4,1,,,3,6,0,80,2,40,10,85000,5,15,450,0.25,14,14,HIDE_IN_CODEX,,,0.5,2,3,89013
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheborog-Z1,XHAN_Cheborog,Heavy Cruiser,Xhan Tech,xhan_microburn,17,13000,1700,11000,9000,600,180,,25,20,10,10,10,3000,FRONT,,90,0.5,1,,,200,300,150,150,5,30,8,150000,4,12,600,0.25,28,28,,XhanLowtech_bp,,0.4,2,3,89005
Karoba,XHAN_Karoba,Freighter,Xhan Tech,burndrive,6,4500,300,2200,1167,70,35,,40,25,12,12,7,1100,OMNI,,60,0.5,1.2,,,30,50,710,120,3,40,8,55000,5,20,400,0.25,7,7,"CIVILIAN, FREIGHTER",XhanLowtech_bp,,0.6,2,3,89006
Cheborog-Z1(C),XHAN_Cheborog_Carrier,Carrier,Xhan Tech,targetingfeed,15,11000,1450,5000,5000,200,110,3,28,20,10,11,11,2800,FRONT,,90,0.5,1,,,250,400,110,120,5,24,8,125000,4,12,600,0.25,20,20,"CARRIER, COMBAT, NO_AUTO_ESCORT",XhanLowtech_bp,,0.4,2,3,89009
Ouggom,XHAN_Ouggom,Phase Cruiser,Xhan Tech,XHAN_magneticimpulse,22,6200,1100,8500,18000,750,145,,85,60,45,25,30,1000,PHASE,xhan_phasecloak,,,,0.05,0.05,30,70,120,150,3,50,8,200000,4,20,470,0.25,30,30,PHASE,rare_bp,,0.5,2,3,89015
Ennik,XHAN_Ennik,Cruiser,Xhan Tech,xhan_empflare,14,7800,1200,9000,10500,485,140,,70,30,20,14,20,1120,OMNI,,90,0.4,0.9,,,150,250,150,100,3,33,8,115000,3,12,525,0.25,20,20,,XhanMidtech_bp,,0.5,2,3,89016
Ennik(E),XHAN_Ennik_export,Cruiser,Xhan Tech,xhan_empflare,14,7500,1100,9000,10500,485,140,,75,32,22,15,22,1120,OMNI,,90,0.4,0.9,,,150,250,150,100,3,33,8,110000,3,12,525,0.25,20,20,,,,0.5,2,3,89017
Uvello,XHAN_Uvello,Hiveship,Alvarium Doctrine,highenergyfocus,14,8000,800,6000,6000,300,75,2,60,50,45,20,25,800,OMNI,,180,0.5,0.7,,,120,250,415,90,3,30,9,250000,5,12,460,0.15,20,20,"CARRIER, HIDE_IN_CODEX",,0.5,0.5,2,3,89033
Brakad,XHAN_Brakad,Defense Cruiser,Low Tech,xhan_FlareReserves,15,7500,1600,10000,9000,405,145,,32,20,15,12,15,1850,OMNI,,90,0.4,1.1,,,95,120,80,125,5,25,8,118000,4,12,540,0.25,22,22,,,,0.3,2,3,404
Brakad(S),XHAN_Brakad_S,Defense Cruiser,Low Tech,xhan_FlareReserves,15,7600,1650,10000,9000,415,150,,34,20,15,12,15,1850,OMNI,,90,0.4,1.1,,,95,120,80,125,5,25,8,118000,4,12,540,0.25,22,22,,,,0.3,2,3,404
Carillon,PAMED_carillon,Cruiser,UTONA Shipyards,PAMED_TemporalDistortion,28,9000,600,14000,16000,1100,175,,70,50,40,30,25,1800,OMNI,,360,0.5,0.6,,,75,200,150,90,3,30,8,365000,4,20,560,0.25,40,40,,,,0.6,2,3,89028
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Occuklop,XHAN_Occuklop,Battleship,Xhan Tech,xhan_maneuvering,30,22000,1900,18000,14000,750,320,,20,12,12,7,6,3800,OMNI,,120,0.4,1,,,500,750,250,500,18,27,7,440000,3,12,800,0.25,50,50,,rare_bp,,0.3,2,4,89007
Panrelka,XHAN_Panrelka,BattleCruiser,Xhan Tech,xhan_empflare,20,11000,950,9500,9000,950,215,,85,58,35,22,22,2800,FRONT,,200,0.5,0.8,,,75,200,150,380,10,10,8,260000,4,16,680,0.25,35,35,,rare_bp,,0.4,2,3,89011
Gramada,XHAN_Gramada,Dreadnought,Xhan Tech,XHAN_TorchDrive,40,31000,2000,20000,14000,1150,420,,16,9,8,4,4,6500,PHASE,XHAN_EmergencyRepairs,120,0.4,1,,,850,1850,600,800,20,40,6,615000,3,8,1000,0.20,70,70,,"rare_bp, special_allows_system_use, system_allows_special_use",,,,,89007
Goggergeck,XHAN_Goggergeck,Phase Battleship,Prime Divination,XHAN_TemporalLock,35,20000,2300,22000,18000,1000,250,,60,55,40,15,25,6000,PHASE,xhan_phasecloak,,,,0.02,0.02,5,5,120,300,3,100,7,640000,4,20,800,0.25,50,50,"HIDE_IN_CODEX, PHASE",,,0,2,3,89019
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrianous,XHAN_Myrianous,Experimental Interface,Transcendent Divination,XHAN_MindControl,150,10000,1000,15000,6000,1500,150,,65,50,45,20,25,1400,FRONT,,360,0.5,0.5,,,0,0,0,90,3,30,8,1500000,5,12,727,0.15,90,90,HIDE_IN_CODEX,,0.5,0.5,2,3,89033
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
