name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
灾厄使者,ssp_TDS,巡洋舰,楼兰工业,ssp_TDS_system,24,9500,1200,10000,,800,180,0,70,40,25,25,20,1800,OMNI,,120,0.3,0.8,,,140,240,250,275,4,30,8,225000,4,14,510,0.25,30,30,,,,,,,,"ssp_bp,rare_bp",,0.5,2,3,
地火,ssp_undergroundfire,轻型巡洋舰,楼兰工业,ssp_HighEnergyFocus,12,6500,650,6000,,450,135,0,75,90,60,30,45,1400,OMNI,,180,0.6,1.0,,,120,200,160,250,4,30,8,90000,4,14,480,0.25,16,16,,,,,,,,ssp_bp,,0.5,2,3,
拉尼娜,ssp_lanina,高速巡洋舰,楼兰工业,ssp_lanina_system,16,8000,600,10000,,650,140,0,75,60,40,22,22,1400,OMNI,,180,0.6,1.0,,,180,360,200,300,4,40,10,180000,4,14,480,0.25,22,22,,,,,,,,"ssp_bp,rare_bp",,0.5,2,3,
焦土,ssp_wasteland,巡洋舰,楼兰工业,ssp_AmmoFeed,16,7000,700,8000,,650,160,0,60,30,24,12,16,1100,FRONT,,240,0.5,1.0,,,150,300,220,220,4,30,8,150000,4,14,480,0.25,24,24,,,,,,,,"ssp_bp,rare_bp",,0.5,2,3,
潮汐,ssp_tide,重型武装航母,楼兰工业,ssp_HitMeYouWeekMissile,18,6500,500,6000,,300,145,4,40,24,12,12,12,1400,OMNI,,150,0.4,0.8,,,180,360,120,160,4,30,8,145000,4,14,480,0.25,25,25,,,,,,,"CARRIER, COMBAT, NO_AUTO_ESCORT",ssp_bp,,0.5,2,3,
潮汐(T),ssp_tide_T,导弹巡洋舰,楼兰工业,drone_strike,18,6500,500,6000,,300,145,2,40,24,12,12,12,1400,OMNI,,150,0.4,0.8,,,180,360,120,160,4,30,8,145000,4,14,480,0.25,18,18,,,,,,,,ssp_bp,,0.5,2,3,
海啸,ssp_seaquake,巡洋舰,楼兰工业,ssp_ManeuveringJets,14,8000,1000,11000,,700,160,0,60,30,20,15,20,1200,FRONT,,270,0.4,0.8,,,150,250,150,100,4,30,8,120000,4,14,480,0.25,20,20,,,,,,,,"ssp_bp,rare_bp",,0.5,2,3,
球状闪电,ssp_thunder,重型巡洋舰,楼兰工业,ssp_ThunderCharge,18,9000,1000,14000,,500,160,0,50,24,12,12,12,1600,OMNI,,360,0.3,0.7,,,150,250,120,160,4,30,8,135000,4,14,480,0.25,25,25,,,,,,,,"ssp_bp,rare_bp",,0.5,2,3,
娜迦,ssp_naga,巡洋舰,楼兰工业,ssp_missleswarm,20,10000,900,10000,,650,160,1,55,40,25,25,20,1600,OMNI,,120,0.3,0.8,,,180,250,240,200,4,30,8,215000,4,14,480,0.25,22,22,,,,,,,,"ssp_bp,rare_bp",,0.5,2,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厄尔尼诺,ssp_elnino,战列巡洋舰,楼兰工业,ssp_ammofeedjet,28,13500,1000,18500,,1000,325,0,50,45,28,15,15,2300,FRONT,,240,0.6,1.0,,,250,500,300,300,8,40,7,350000,3,22,720,0.25,45,45,,,,,,,,"ssp_bp,rare_bp",,0.5,2,4,
龙卷,ssp_tronado,战列舰,楼兰工业,ssp_ThunderCharge,39,16000,1500,22000,,750,355,2,25,16,12,8,8,3100,OMNI,,360,0.3,0.8,,,350,700,450,500,8,40,7,400000,3,22,720,0.25,60,60,,,,,,,,"ssp_bp,rare_bp",,0.5,2,4,
山洪,ssp_flood,战列舰,楼兰工业,ssp_AdvanceVenting,32,14000,1000,17000,,750,285,0,50,50,40,20,20,2500,OMNI,,150,0.6,0.8,,,400,800,400,450,8,40,8,330000,3,22,720,0.25,40,40,,,,,,,,"ssp_bp,rare_bp",,0.5,2,4,
旱魃,ssp_hanba,导弹战列舰,楼兰工业,ssp_HitMeYouWeekMissile,42,16500,1450,13500,,600,340,0,45,16,12,8,8,3000,FRONT,,270,0.4,0.7,,,350,700,450,500,8,40,7,300000,3,22,720,0.25,50,50,,,,,,,,"ssp_bp,rare_bp",,0.5,2,4,
卡尼,ssp_karni,航空战列舰,楼兰工业,ssp_microburn,35,16000,1600,14000,,700,350,4,40,45,28,15,15,2750,PHASE,damper,,,,,,300,1000,400,400,8,40,8,400000,3,22,720,0.25,55,55,,,,,,,,"ssp_bp,rare_bp",,0.5,2,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###fighter,###fighter,###fighter,###fighter,###fighter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
薄雾,ssp_hivedrone,光束无人机,楼兰工业,,,250,50,200,,40,,,300,250,250,400,600,5,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,
浓雾,ssp_heavyfog,重型战斗机,楼兰工业,flarelauncher_single,,375,175,600,,80,,,155,250,250,120,280,40,OMNI,,180,0,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,
扬尘,ssp_dustfog,反舰战斗机,楼兰工业,,,450,100,400,,40,,,160,300,350,90,180,25,FRONT,,90,0,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,
水银湖,ssp_mercurylake,超重型截击机,楼兰工业,,,450,200,600,,100,,,250,200,250,70,120,70,FRONT,,360,0,1,,,3,3,,,,,,,,,,,,,,,,,,,,,,0,,,
砾石河,ssp_mudslide,轰炸机,楼兰工业,,,200,20,300,,40,,,160,300,350,90,180,50,OMNI,,360,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
导弹护盾专用无人机,ssp_MissileShieldDrone,,,,,10000000,0,400,,0,,,100,100,100,100,100,100,OMNI,,360,0,1,,,,,,,,,,,,,,,,,,,,,,,,"restricted, no_sell",,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
