trail,projectile,sprite,minLength,fadeIn,duration,fadeOut,sizeIn,sizeOut,colorIn,colorOut,opacity,textLength,textScroll,distance,dispersion,drift,fadeOnFadeOut,angleAdjustment,additive,velocityIn,velocityOut,randomVelocity,angle,rotationIn,rotationOut,randomRotation,renderBelowExplosions
prv_akers_denova_shot_1,prv_akers_denova_shot,base_trail_zap,3,0.01,0.01,0.05,24,3,"[102,255,153]","[255,196,0]",0.4,-128,-256,18,125,1,TRUE,FALSE,TRUE,15,0,0.4,0,200,200,true,false
prv_akers_denova_shot_2,prv_akers_denova_shot,base_trail_zap,3,0.01,0.01,0.10,36,3,"[255,196,0]","[255,196,0]",0.4,-128,-512,9,150,1,TRUE,FALSE,TRUE,25,0,0.6,0,200,200,true,false
prv_akers_denova_shot_3,prv_akers_denova_shot,base_trail_zap,3,0.01,0.01,0.10,18,3,"[102,255,153]","[255,196,0]",0.4,-128,-1024,0,100,1,TRUE,FALSE,TRUE,35,0,0.2,0,200,200,true,false
prv_siege_akers_shot_1,prv_siege_akers_shot,base_trail_zap,3,0.01,0.01,0.05,36,3,"[180,180,255]","[255,255,255]",0.4,-128,-256,18,125,1,TRUE,FALSE,TRUE,15,0,0.4,0,200,200,true,false
prv_siege_akers_shot_2,prv_siege_akers_shot,base_trail_zap,3,0.01,0.01,0.10,48,3,"[180,180,255]","[255,255,255]",0.4,-128,-512,9,150,1,TRUE,FALSE,TRUE,25,0,0.6,0,200,200,true,false
prv_siege_akers_shot_3,prv_siege_akers_shot,base_trail_zap,3,0.01,0.01,0.10,24,3,"[180,180,255]","[255,255,255]",0.4,-128,-1024,0,100,1,TRUE,FALSE,TRUE,35,0,0.2,0,200,200,true,false
prv_akers_fighter_shot_1,prv_akers_fighter_shot,base_trail_zap,3,0.01,0.01,0.10,24,3,"[180,180,255]","[255,255,255]",0.4,-128,-512,9,150,1,TRUE,FALSE,TRUE,25,0,0.6,0,200,200,true,false
prv_gravkan_shot_1,prv_gravkan_shot,base_trail_fuzzy,8,0,0,0.12,48,48,"[102,255,153]","[102,255,153]",0.25,128,64,21,50,1,TRUE,FALSE,TRUE,150,0,0,0,0,50,true,false
prv_gravkan_shot_2,prv_gravkan_shot,base_trail_heavyBurn,8,0,0,0.08,24,24,"[102,255,153]","[102,255,153]",0.75,128,64,21,50,1,TRUE,FALSE,TRUE,250,500,0,0,0,50,true,false
prv_heavygravkan_shot_1,prv_heavygravkan_shot,base_trail_fuzzy,8,0,0,0.12,96,96,"[102,255,153]","[102,255,153]",0.25,64,32,21,50,1,TRUE,FALSE,TRUE,150,0,0,0,0,50,true,false
prv_heavygravkan_shot_2,prv_heavygravkan_shot,base_trail_heavyBurn,8,0,0,0.08,48,48,"[102,255,153]","[102,255,153]",0.75,64,32,21,50,1,TRUE,FALSE,TRUE,250,500,0,0,0,50,true,false
prv_kaja_1,prv_kaja_mrm,base_trail_mild,12,0.1,0.05,0.75,5,5,"[102,255,212]","[102,255,212]",0.2,-128,-64,-6,0,0,FALSE,FALSE,TRUE,50,50,0,0,-160,160,false,false
prv_kaja_2,prv_kaja_mrm,base_trail_mild,12,0.1,0.05,0.75,5,5,"[102,255,212]","[102,255,212]",0.2,-128,-64,-6,0,0,FALSE,FALSE,TRUE,50,50,0,0,160,-160,false,false
prv_kaja_diff,prv_kaja_mrm,base_trail_mild,12,0.1,0.05,0.75,15,60,"[102,255,212]","[102,255,212]",0.075,-128,-64,-6,0,0,FALSE,FALSE,TRUE,0,0,0,0,0,0,false,false
prv_kraka_1,prv_kraka_mrm,base_trail_mild,12,0.1,0.05,0.75,5,5,"[102,255,212]","[102,255,212]",0.2,-128,-64,-6,0,0,FALSE,FALSE,TRUE,50,50,0,0,-160,160,false,false
prv_kraka_2,prv_kraka_mrm,base_trail_mild,12,0.1,0.05,0.75,5,5,"[102,255,212]","[102,255,212]",0.2,-128,-64,-6,0,0,FALSE,FALSE,TRUE,50,50,0,0,160,-160,false,false
prv_kraka_diff,prv_kraka_mrm,base_trail_mild,12,0.1,0.05,0.75,15,60,"[102,255,212]","[102,255,212]",0.075,-128,-64,-6,0,0,FALSE,FALSE,TRUE,0,0,0,0,0,0,false,false
prv_korp_1,prv_korp_mrm,base_trail_mild,12,0.1,0.05,0.75,5,5,"[102,255,212]","[102,255,212]",0.2,-128,-64,-6,0,0,FALSE,FALSE,TRUE,50,50,0,0,-160,160,false,false
prv_korp_2,prv_korp_mrm,base_trail_mild,12,0.1,0.05,0.75,5,5,"[102,255,212]","[102,255,212]",0.2,-128,-64,-6,0,0,FALSE,FALSE,TRUE,50,50,0,0,160,-160,false,false
prv_korp_diff,prv_korp_mrm,base_trail_mild,12,0.1,0.05,0.75,15,60,"[102,255,212]","[102,255,212]",0.075,-128,-64,-6,0,0,FALSE,FALSE,TRUE,0,0,0,0,0,0,false,false
prv_raka_1,prv_raka_torpedo,base_trail_mild,12,0.125,0.125,0.25,5,5,"[145,255,75]","[145,255,75]",0.3,-128,-64,12,0,0.75,FALSE,FALSE,TRUE,100,125,0,0,-3200,3200,false,false
prv_raka_2,prv_raka_torpedo,base_trail_mild,12,0.125,0.125,0.25,5,5,"[145,255,75]","[145,255,75]",0.3,-128,-64,12,0,0.75,FALSE,FALSE,TRUE,100,125,0,0,3200,-3200,false,false
prv_raka_diff,prv_raka_torpedo,base_trail_mild,12,0.125,0.125,0.25,30,60,"[145,255,75]","[145,255,75]",0.10,-128,-64,-6,0,0.75,FALSE,FALSE,TRUE,0,0,0,0,0,0,false,false
prv_skata_1,prv_skata_lrm,base_trail_mild,9,0.1,0.05,0.2,9,9,"[145,255,75]","[145,255,75]",0.2,-128,-64,-6,0,1,TRUE,FALSE,TRUE,-200,200,0,0,-320,320,false,false
prv_skata_2,prv_skata_lrm,base_trail_mild,9,0.1,0.05,0.2,9,9,"[145,255,75]","[145,255,75]",0.2,-128,-64,-6,0,1,TRUE,FALSE,TRUE,-200,200,0,0,320,-320,false,false
prv_skatunge_1,prv_skatunge_srm,base_trail_mild,6,0.1,0.05,0.1,6,6,"[145,255,75]","[145,255,75]",0.2,-128,-64,-6,0,1,TRUE,FALSE,TRUE,-400,400,0,0,-320,320,false,false
prv_skatunge_2,prv_skatunge_srm,base_trail_mild,6,0.1,0.05,0.1,6,6,"[145,255,75]","[145,255,75]",0.2,-128,-64,-6,0,1,TRUE,FALSE,TRUE,-400,400,0,0,320,-320,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#String trail: projectile ID plus a suffix if there are multiple trails for that proj,,,,,,,,,,,,,,,,,,,,,,,,,,,
#String projectile: projectile ID,,,,,,,,,,,,,,,,,,,,,,,,,,,
#String sprite: sprite ID in data\config\settings.json: in the graphics\fx category,,,,,,,,,,,,,,,,,,,,,,,,,,,
#float minLength: minimal segment length. Saves performances especially when time warp in involved,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   !!!! Can be set to a negative value to triggers a more optimized SLOW MODE for projectiles with speeds below 500. !!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,
#float fadeIn: fade in time in seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,
#float duration: full opacity duration in seconds,,base_trail_smooth,,,,,,,,,,,,,,,,,,,,,,,,,
#float fadeOut: fadeout time in seconds,,base_trail_mild,,,,,,,,,,,,,,,,,,,,,,,,,
#float sizeIn: initial width,,base_trail_fuzzy,,,,,,,,,,,,,,,,,,,,,,,,,
#float sizeOut: final width,,base_trail_rough,,,,,,,,,,,,,,,,,,,,,,,,,
#Color colorIn: initial color,,base_trail_smoke,,,,,,,,,,,,,,,,,,,,,,,,,
#Color colorOut: final color,,base_trail_heavySmoke,,,,,,,,,,,,,,,,,,,,,,,,,
#float opacity: maximum opacity clamp,,base_trail_heavyBurn,,,,,,,,,,,,,,,,,,,,,,,,,
#float textLength: texture length in pixels,,base_trail_weave,,,,,,,,,,,,,,,,,,,,,,,,,
#float textScroll: texture scroll speed in pixels per seconds,,base_trail_aura,,,,,,,,,,,,,,,,,,,,,,,,,
#float distance: distance behind the proj the trail spawns,,base_trail_zap,,,,,,,,,,,,,,,,,,,,,,,,,
#float dispersion: amount of randomization per second in su,,base_trail_zapWithCore,,,,,,,,,,,,,,,,,,,,,,,,,
#float drift: amount of sideway compensation for drifting projectiles,,,,,,,,,,,,,,,,,,,,,,,,,,,
#boolean fadeOnFadeOut: forced fadeout if the proj fades,,,,,,,,,,,,,,,,,,,,,,,,,,,
#boolean angleAdjustment reorient the trail in the direction of the velocity rather than the proj facing. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   !!!! Must be FALSE for BALLISTIC_AS_BEAM projs !!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,
#boolean additive: normal or additive blending,,,,,,,,,,,,,,,,,,,,,,,,,,,
#float velocityIn: speed at which the trail segments are emited at in su,,,,,,,,,,,,,,,,,,,,,,,,,,,
#float velocityOut: final speed of the trail segments,,,,,,,,,,,,,,,,,,,,,,,,,,,
#float randomVelocity: randomize both velocityIn and out in that proportion.,,,,,,,,,,,,,,,,,,,,,,,,,,,
#float angle: offset angle of the trail relative to the projectile orientation after corrections if any (default 0 for directly backward),,,,,,,,,,,,,,,,,,,,,,,,,,,
#float rotationIn: initial angular momentum of the trail segments relative to the projectile,,,,,,,,,,,,,,,,,,,,,,,,,,,
#float rotationOut: final angular momentum of the trail segments,,,,,,,,,,,,,,,,,,,,,,,,,,,
#boolean randomRotation: randomize the angular momentums. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   Can be used to create non-linear dispersion effects when used with various velocities and angular momentums,,,,,,,,,,,,,,,,,,,,,,,,,,,
#boolean renderBelowExplosions: render the trail under explosions and other particle effects. Mostly used with non additive trails,,,,,,,,,,,,,,,,,,,,,,,,,,,
