trail,projectile,sprite,minLength,fadeIn,duration,fadeOut,sizeIn,sizeOut,colorIn,colorOut,opacity,textLength,textScroll,randomTextureOffset,distance,dispersion,drift,frameOffsetMult,fadeOnFadeOut,angleAdjustment,additive,velocityIn,velocityOut,randomVelocity,angle,rotationIn,rotationOut,randomRotation,renderBelowExplosions
AL_moonlight_as_shot_glow,AL_moonlight_as_shot,base_trail_smooth,10,0,0,0.15,5,1,"[255,150,150]","[200,200,200]",0.25,200,250,,0,0,1,,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL_moonlight_medium_shot_trail,AL_moonlight_medium_shot,base_trail_smooth,10,0,0,0.1,10,2,"[255,250,255]","[150,100,200]",0.8,200,250,,0,0,1,,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
AL_moonlight_medium_shot_glow,AL_moonlight_medium_shot,base_trail_smooth,10,0,0,0.2,10,2,"[255,150,150]","[200,200,200]",0.25,200,250,,0,0,1,,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL_moonlight_large_shot_trail,AL_moonlight_large_shot,base_trail_fuzzy,10,0,0,0.4,25,5,"[220,150,255]","[100,0,255]",0.6,200,250,,20,0,1,,TRUE,FALSE,TRUE,15,60,0.5,0,30,90,true,false
AL_moonlight_large_shot_trail_glow,AL_moonlight_large_shot,base_trail_zap,10,0,0,0.5,25,10,"[200,50,150]","[150,50,90]",0.5,200,250,,20,0,1,,TRUE,FALSE,TRUE,30,120,0.5,0,90,180,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL_chopfire_shot_trail,AL_chopfire_shot,AL_trail_empty_core,10,0.1,0,0.4,32,16,"[185,255,255]","[200,200,255]",0.6,250,0,,15,0,1,,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
AL_chopfire_shot_trail2,AL_chopfire_shot,AL_trail_sin,10,0.1,0,0.3,24,16,"[185,255,255]","[200,200,255]",0.2,250,250,,15,0,1,,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL_rodschopfire_shot_trail,AL_rodschopfire_shot,base_trail_smooth,10,0.075,0,0.325,30,60,"[200,255,255]","[0,200,255]",0.75,500,1000,,45,0,1,,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
AL_rodschopfire_shot_trail2,AL_rodschopfire_shot,AL_trail_empty_core,5,0.075,0.05,0.325,20,180,"[150,155,255]","[0,200,255]",0.4,1000,1000,,15,0,1,,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
AL_rodschopfire_shot_sin,AL_rodschopfire_shot,AL_trail_sin,5,0.1,0,0.25,15,80,"[155,255,255]","[0,200,255]",0.2,750,250,,15,0,1,,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL_spiderlaser_shot_trail,AL_spiderlaser_shot,base_trail_aura,10,0,0,0.35,12,4,"[100,150,255]","[100,50,255]",0.8,250,250,,0,0,1,,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
AL_spiderlaser_shot_trail2,AL_spiderlaser_shot,base_trail_zap,10,0.1,0,1,100,50,"[100,120,255]","[60,30,255]",0.05,500,-500,TRUE,30,0,1,,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
AL_fake_spiderlaser_shot_core,AL_fake_spiderlaser_shot,base_trail_smooth,10,0,0,0.1,10,5,"[200,250,255]","[150,200,255]",0.3,1000,0,,10,0,0.1,,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
AL_fake_spiderlaser_shot_trail,AL_fake_spiderlaser_shot,base_trail_smooth,10,0,0.1,0.2,10,3,"[200,250,255]","[100,100,255]",0.1,1000,0,,15,0,0.1,,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
#AL_fake_spiderlaser_shot_trail_glow,AL_fake_spiderlaser_shot,base_trail_zap,10,0,0,0.3,20,5,"[100,150,255]","[100,0,255]",0.05,1000,500,,15,0,1,,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL_lighter_torp_trail_glow,AL_lighter_torp,AL_trail_empty_core,10,0.1,0.6,0.5,20,30,"[226,118,180]","[150,100,255]",0.75,250,0,,15,0,0,,TRUE,FALSE,TRUE,0,0,0,0,0,0,true,false
AL_lighter_torp_trail_glow2,AL_lighter_torp,base_trail_zap,10,0.1,0.3,0.8,15,30,"[226,118,180]","[150,100,255]",0.25,375,100,,15,0,0,,TRUE,FALSE,TRUE,30,60,0.3,0,15,30,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL_thunder_mrm_trail_core,AL_thunder_mrm,base_trail_mild,10,0,0.1,1,8,4,"[200,255,255]","[150,100,255]",0.6,250,500,,0,0,0,,TRUE,FALSE,TRUE,100,50,0,0,0,0,false,false
AL_thunder_mrm_trail_glow,AL_thunder_mrm,base_trail_smooth,10,0,0,1.6,15,30,"[100,20,255]","[150,100,255]",1,250,500,,0,0,0,,TRUE,FALSE,TRUE,100,50,0,0,0,0,false,false
AL_thunder_mrm_trail_glow2,AL_thunder_mrm,AL_trail_sin,10,0.1,0,1.2,15,60,"[150,100,255]","[100,20,200]",0.6,500,250,,0,0,0,,TRUE,FALSE,TRUE,100,50,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL_nihilitymissile_proj_trail_core,AL_nihilitymissile_proj,base_trail_mild,10,0,0.1,0.7,8,4,"[200,255,255]","[100,150,255]",0.3,250,500,,0,0,0,,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
AL_nihilitymissile_proj_trail_glow,AL_nihilitymissile_proj,base_trail_aura,10,0,0,1.2,12,24,"[100,100,255]","[150,150,255]",0.5,250,500,,0,0,0,,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL_firebless_shot_trail_glow,AL_firebless_shot,base_trail_zap,10,0,0,0.5,20,60,"[255,100,100]","[50,100,255]",0.8,500,-500,TRUE,0,0,0,,TRUE,FALSE,TRUE,0,0,0,0,15,30,true,false
AL_firebless_shot_trail_glow2,AL_firebless_shot,base_trail_zap,10,0.1,0.3,1,10,40,"[226,118,180]","[150,100,255]",0.6,375,-100,TRUE,0,0,0,,TRUE,FALSE,TRUE,0,0,0,0,15,30,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL_mana_mote_glow,AL_mana_mote,base_trail_aura,10,0,0,1.5,20,40,"[150,100,255]","[50,0,100]",0.4,1000,0,TRUE,10,0,0,,TRUE,FALSE,TRUE,0,0,0,0,15,30,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL_railgun_shot_trail,AL_railgun_shot,base_trail_fuzzy,10,0,0,0.3,10,10,"[255,200,255]","[180,160,255]",1,200,50,,10,0,0,,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
AL_railgun_shot_core,AL_railgun_shot,base_trail_smooth,10,0.3,0,0.7,30,5,"[200,230,255]","[120,160,230]",0.2,200,50,,10,0,0,,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
AL_railgun_shot_sin,AL_railgun_shot,AL_trail_sin,10,0.1,0,0.4,5,80,"[150,100,255]","[100,150,255]",0.3,1000,750,,0,0,0,,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
AL_railgun_shot_sin2,AL_railgun_shot,base_trail_zap,10,0.1,0,0.7,5,40,"[200,155,255]","[100,50,255]",0.2,1000,750,,0,50,0,,TRUE,FALSE,TRUE,30,60,0.3,0,15,30,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL_electricalcannon_shot_core,AL_electricalcannon_shot,base_trail_smooth,10,0,0,0.6,50,25,"[150,180,255]","[100,150,255]",1,500,0,,20,0,1,,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
AL_electricalcannon_shot_trail,AL_electricalcannon_shot,base_trail_zap,10,0.2,0,0.5,75,50,"[150,180,255]","[100,150,255]",0.8,500,0,,20,0,1,,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
AL_electricalcannon_shot_trail2,AL_electricalcannon_shot,AL_trail_sin,10,0.1,0,0.2,50,50,"[180,225,255]","[100,150,255]",0.25,250,0,,20,0,1,,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL_crystalblast_shard_shot_main,AL_crystalblast_shard_shot,base_trail_smooth,10,0,0,0.4,30,20,"[206,0,126]","[100,50,255]",0.9,1000,100,,0,0,0,,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
AL_crystalblast_shard_shot_glow,AL_crystalblast_shard_shot,base_trail_zap,10,0.1,0,1.5,40,20,"[100,50,255]","[10,20,100]",0.6,1000,100,TRUE,0,0,0,,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
AL_crystalblast_shard_shot_glow2,AL_crystalblast_shard_shot,base_trail_smoke,10,0.15,0,0.6,60,40,"[0,0,0]","[100,50,225]",0.8,500,100,TRUE,0,0,0,,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL_hos_pulsecannon_shot_glow1,AL_hos_pulsecannon_shot,base_trail_zap,10,0,0,0.4,20,100,"[200,200,255]","[150,50,255]",0.2,1000,0,TRUE,15,0,1,,TRUE,FALSE,TRUE,40,10,0.3,0,20,0,true,TRUE
AL_hos_pulsecannon_shot_core,AL_hos_pulsecannon_shot,base_trail_smooth,10,0,0.3,0.3,12,12,"[200,100,255]","[150,50,255]",0.2,250,500,,0,0,1,,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,TRUE
AL_hos_pulsecannon_shot_trail,AL_hos_pulsecannon_shot,base_trail_smooth,10,0,0,0.6,20,5,"[125,200,255]","[200,200,255]",0.1,250,500,,0,0,1,,TRUE,FALSE,TRUE,30,60,0.5,0,300,600,true,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL_hov_pulsecannon_shot_glow1,AL_hov_pulsecannon_shot,base_trail_zap,10,0,0,0.5,24,120,"[200,150,255]","[150,50,255]",0.4,1500,0,TRUE,15,0,1,,TRUE,FALSE,TRUE,40,10,0.3,0,20,0,true,TRUE
AL_hov_pulsecannon_shot_core,AL_hov_pulsecannon_shot,base_trail_smooth,10,0,0.3,0.3,14,18,"[100,50,255]","[150,50,255]",0.3,250,500,,0,0,1,,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,TRUE
AL_hov_pulsecannon_shot_trail,AL_hov_pulsecannon_shot,base_trail_smooth,10,0,0,0.6,24,10,"[125,200,255]","[200,200,255]",0.1,250,500,,0,0,1,,TRUE,FALSE,TRUE,30,60,0.5,0,300,600,true,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
