name,id,designation,tech/manufacturer,tags,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,,,,,,,hints,rarity,breakProb,minPieces,maxPieces,travel drive,number
Sorl,prv_sorl,Light Carrier,prv Starworks,"prv_bp, prv_kratul_bp, merc",displacer,12,3750,400,4800,5000,300,90,2,60,55,50,25,30,350,OMNI,,150,0.5,0.8,,,110,220,110,60,3,20,8,52000,6,15,360,0.25,14,14,,,,,,,"CARRIER, COMBAT",,0.5,2,3,,8716
Fasklot,prv_fasklot,Phase Destroyer,prv Starworks,"prv_bp, prv_hel_bp, merc",prv_mine_strike_emp_cluster,12,4500,650,4000,6666,400,95,,100,70,60,40,40,400,PHASE,phasecloak,,,,0.05,0.05,25,50,60,100,2,50,9,110000,5,30,300,0.25,17,17,,,,,,,,,0.5,2,3,,8717
Brand,prv_brand,Destroyer,prv Starworks,"prv_adv_bp, prv_stjarngard_bp, rare_bp, merc",prv_gravcircuit_damper,13,3600,700,10500,11666,700,110,,120,120,90,35,70,300,OMNI,,210,0.5,0.7,,,35,70,40,40,2,20,9,95000,5,20,270,0.25,20,20,,,,,,,,,0.55,2,3,,8717.5
#Låga,prv_laga,Fast Destroyer,prv Starworks,,displacer,12,3750,300,7000,7000,350,90,,140,105,75,40,70,300,OMNI,,120,0.7,0.8,,,40,60,30,80,2,40,11,80000,5,15,270,0.25,13,13,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flock,prv_flock,Light Missile Cruiser,prv Starworks,"prv_adv_bp, prv_stjarngard_bp, merc",displacer,12,6400,600,6000,6000,350,115,,70,45,35,20,20,900,OMNI,,210,0.5,0.8,,,90,180,110,75,3,25,9,95000,4,15,420,0.25,17,17,,,,,,,,,0.6,2,4,,8725.5
Is,prv_is,Light Cruiser,prv Starworks,"prv_adv_bp, rare_bp, merc, hist2t",prv_timefreeze,13,5700,700,11000,12000,600,140,1,70,40,30,25,25,550,OMNI,,120,0.5,0.8,,,70,140,90,120,3,40,9,110000,4,15,420,0.25,20,20,,,,,,,,,0.5,2,3,,8725
Kakafoni,prv_kakafoni,Cruiser-Carrier,prv Starworks,"prv_bp, prv_kratul_bp, merc",prv_phaserecall,14,9000,750,7500,7000,450,170,2,60,30,20,17,25,1600,OMNI,,120,0.4,0.8,,,200,300,150,120,4,30,8,140000,3,12,480,0.25,22,22,,,,,,,COMBAT,,0.5,2,4,,8726
Aska,prv_aska,Heavy Cruiser,prv Starworks,"prv_adv_bp, rare_bp, merc",prv_heavyphaseteleporter,15,8000,850,12000,15000,750,160,,50,35,25,35,25,2000,OMNI,,210,0.4,0.7,,,120,240,150,100,4,25,8,170000,5,20,420,0.25,25,25,,,,,,,,,0.4,2,3,,8727
Fasvinge,prv_fasvinge,Phase Cruiser,prv Starworks,"prv_adv_bp, rare_bp, merc",entropyamplifier,19,8000,1100,9000,14000,700,175,,80,55,40,30,60,900,PHASE,phasecloak,,,,0.04,0.04,70,140,100,120,3,40,8,215000,4,25,420,0.25,30,30,,,,,,,,0.5,0.5,2,3,,8728
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rök,prv_rok,Battlecruiser,prv Starworks,"prv_cap_bp, rare_bp, merc",prv_gravity_shield,23,10000,1400,13500,12500,600,250,,70,50,40,12,16,2000,OMNI,,150,0.45,0.9,,,300,600,400,420,7,60,8,290000,5,20,570,0.25,35,35,,,,,,,,,0.45,2,3,,8731.5
Välljud,prv_valljud,Battlecarrier,prv Starworks,"prv_cap_bp, rare_bp, merc",prv_disruptionzone,24,10500,900,12000,11250,450,260,4,60,40,40,10,10,2750,OMNI,,210,0.6,0.7,,,350,650,350,280,7,40,7,270000,4,15,540,0.25,40,40,,,,,,,"CARRIER, COMBAT",,0.4,2,5,,8730
Skymning,prv_skymning,Battleship,prv Starworks,"prv_cap_bp, rare_bp, merc",prv_tensordrive_heavy,25,15000,1200,17000,22500,900,320,1,40,30,30,9,9,3250,OMNI,,120,0.5,0.8,,,400,700,250,360,12,30,7,370000,4,15,600,0.25,45,45,,,,,,,,,0.4,2,5,,8732
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Munsbit,prv_munsbit,Freighter,prv Starworks,"prv_bp, prv_kratul_bp",prv_gunpod_kaja,6,3000,300,2000,2500,150,50,,70,45,35,15,23,500,OMNI,,120,0.6,0.8,,,20,100,300,90,3,30,9,26000,4,20,360,0.25,6,6,,,,,,,"CIVILIAN, FREIGHTER",,0.4,2,3,,8736
Ilbud,prv_ilbud,Phase Courier,prv Starworks,"prv_adv_bp, prv_hel_bp",flarelauncher,9,4700,700,3600,2500,240,70,,90,75,65,35,70,550,PHASE,phasecloak,,,,0.05,0.05,20,60,250,75,3,25,10,90000,5,30,300,0.25,10,10,,,,,,,,0.5,0.4,2,3,,8739
Tiger,prv_tiger,Combat Tanker,prv Starworks,"prv_bp, prv_stjarngard_bp, merc",prv_plasmamanjets,8,5000,450,3750,3333,200,75,,60,50,35,30,30,450,OMNI,,120,.5,0.9,,,30,50,100,450,3,83,9,44000,4,12,360,0.25,7,7,,,,,,,TANKER,,0.3,2,4,,8740
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Rares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballebo,prv_ballebo,Heavy Destroyer,prv Starworks,"rare_bp, prv_lab_bp, hist2t, merc",prv_plasmamanjets,13,6000,600,6500,6666,400,105,,75,50,35,35,30,400,OMNI,,120,0.45,1,,,55,110,70,50,2,25,9,64000,5,15,360,0.25,14,14,,,,,,,HIDE_IN_CODEX,,0.4,2,3,,8796
Mörker,prv_morker,Battleship,prv Starworks,,prv_gravity_orbits,27,17500,1600,21000,26250,1050,360,2,40,20,30,9,6,3250,OMNI,,120,0.5,0.8,,,500,1000,350,360,12,30,7,450000,3,15,660,0.25,50,50,,,,,,,HIDE_IN_CODEX,,0.4,2,5,,8732
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skrän,prv_skran,,prv Starworks,,prv_erfield_fighter,,450,100,250,,40,0,,225,250,200,225,450,30,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,0,,,,87014
Oväsen,prv_ovasen,,prv Starworks,,,,325,75,200,,60,0,,375,300,200,120,240,30,OMNI,,60,0,1,,,2,2,,,,,,,,,,,,,,,,,,,,,0,,,,87001
Diskordant,prv_diskordant,,prv Starworks,,,,300,125,125,,60,0,,225,300,300,225,450,25,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,0,,,,87002
Oklang,prv_oklang,,prv Starworks,,highenergyfocus,,225,100,300,,45,0,,250,250,375,270,390,20,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,0,,,,87012
Missljud,prv_missljud,,prv Starworks,,,,100,50,300,,75,0,,275,400,375,180,360,15,OMNI,,210,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,0,,,,87003
Skrål,prv_skral,,prv Starworks,,prv_microburn_fighter,,500,100,100,,50,0,,200,150,125,180,540,50,NONE,,0,0,0,,,2,2,,,,,,,,,,,,,,,,,,,,,0,,,,87004
Jämmer,prv_jammer,,prv Starworks,,,,225,75,200,,75,0,,160,195,170,120,240,40,OMNI,,120,0,1,,,2,2,,,,,,,,,,,,,,,,,,,,,0,,,,87004.5
Stillhet,prv_stillhet,,prv Starworks,,,,400,225,250,,100,0,,175,250,250,175,350,35,PHASE,prv_phasecloak_fighter,,,,0.2,0.2,2,2,,,,,,,,,,,,,,,,,,,PHASE,,0,,,,87005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missile Drone,prv_drone_missile,,prv Starworks,,,,200,50,300,,100,20,,200,250,350,180,360,30,OMNI,,90,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orbital Station,prv_station1,Orbital Station,prv Starworks,,,100,40000,1600,1000,2500,100,0,,30,200,200,10,0.5,5000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,50,50,,,,,,,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,0,,,,87102
Battlestation,prv_station2,Battlestation,prv Starworks,,prv_mine_strike_emp_cluster_station,200,80000,2000,1000,2500,100,0,,30,200,200,10,0.5,5000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,75,50,,,,,,,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,0,,,,87103
Star Fortress,prv_station3,Star Fortress,prv Starworks,,prv_station_drone_redan,400,160000,2400,1000,2500,100,0,,30,200,200,10,0.5,5000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,100,50,,,,,,,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,0,,,,87104
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redan,prv_station_drone_redan,Phase Drone,prv Starworks,no_dealer,prv_mine_strike_emp_cluster,,3000,600,1000,3125,350,55,,250,400,300,60,90,300,PHASE,phasecloak,,,,0.1,0.1,0,0,,,,,,,,,,,,,,,,,,,"ALWAYS_PANIC, UNBOARDABLE",,0.5,2,2,,87105
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,prv_module_hangar4,Hangar Module,prv Starworks,,forgevats_station,1,15000,1500,8750,10625,425,1000,4,0,0,0,10,10,2500,NONE,,,,,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, ALWAYS_PANIC",,1,2,4,,87106
,prv_module_battery2,Heavy Battery Module,prv Starworks,,forgevats_station,1,15000,1500,17500,21250,850,1000,,0,0,0,10,10,2500,NONE,,,,,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, ALWAYS_PANIC",,1,2,4,,87107
,prv_module_battery1a,Battery Module,prv Starworks,,forgevats_station,1,10000,1200,8750,15000,425,1000,,0,0,0,10,10,1500,NONE,,,,,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, ALWAYS_PANIC",,0.33,2,4,,87108.5
,prv_module_battery1b,Battery Module,prv Starworks,,forgevats_station,1,10000,1200,8750,15000,425,1000,,0,0,0,10,10,1500,NONE,,,,,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, ALWAYS_PANIC",,0.33,2,4,,87108
,prv_module_bastion1a,Bastion Module,prv Starworks,,forgevats_station,1,10000,1200,8750,15000,425,1000,,0,0,0,10,10,1500,NONE,,,,,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, ALWAYS_PANIC",,0.5,2,2,,87109
,prv_module_bastion1b,Bastion Module,prv Starworks,,forgevats_station,1,10000,1200,8750,15000,425,1000,,0,0,0,10,10,1500,NONE,,,,,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, ALWAYS_PANIC",,0.5,2,2,,87109.5
,prv_module_shield_center,Shield Module,prv Starworks,,fortressshield,1,3000,350,5000,5000,200,0,,0,0,0,3,3,500,OMNI,,90,0.5,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,1,2,2,,87110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,prv_module_armor_v,Station Structural Spur,prv Starworks,,,1,5000,1500,0,2500,100,0,,0,0,0,10,10,300,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,1,2,3,,87111
,prv_module_armor_short,Station Structural Spur,prv Starworks,,,1,5000,1500,0,2500,100,0,,0,0,0,10,10,300,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,1,2,3,,87112
,prv_module_strut,Station Extension,prv Starworks,,,1,5000,1500,0,2500,100,0,,0,0,0,3,10,500,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, UNDER_PARENT",,1,2,3,,87113
