id,type,size,intensity,fadeout,color,offset,hit size,hit intensity,hit fadeout,hit color,flash size,flash intensity,flash fadeout,flash color,flash offset,chance,fighter dim
swp_microblaster_shot,projectile,50,0.1,0.2,"[100,150,255]",,50,0.15,0.35,"[100,150,255]",50,0.1,0.2,"[100,150,255]",,0.75,TRUE
swp_supermicroblaster_shot,projectile,60,0.1,0.2,"[100,200,255]",,60,0.15,0.35,"[100,200,255]",60,0.1,0.2,"[100,200,255]",,0.75,TRUE
swp_excelsiorcannon_shot_0,projectile,50,0.05,0.4,"[255,100,150]",,100,0.1,0.5,"[255,100,150]",100,0.1,0.2,"[255,100,150]",,1,TRUE
swp_excelsiorcannon_shot_4,projectile,75,0.1,0.4,"[255,100,150]",,125,0.2,0.55,"[255,100,150]",125,0.2,0.2,"[255,100,150]",,1,TRUE
swp_excelsiorcannon_shot_12,projectile,100,0.15,0.4,"[255,100,150]",,150,0.3,0.6,"[255,100,150]",150,0.3,0.2,"[255,100,150]",,1,TRUE
swp_excelsiorcannon_shot_24,projectile,125,0.2,0.4,"[255,100,150]",,175,0.4,0.65,"[255,100,150]",175,0.4,0.2,"[255,100,150]",,1,TRUE
swp_excelsiorcannon_shot_40,projectile,150,0.25,0.4,"[255,100,150]",,200,0.5,0.7,"[255,100,150]",200,0.5,0.2,"[255,100,150]",,1,TRUE
swp_excelsiorcannon_shot_60,projectile,175,0.3,0.4,"[255,100,150]",,225,0.6,0.75,"[255,100,150]",225,0.6,0.2,"[255,100,150]",,1,TRUE
,,,,,,,,,,,,,,,,,
swp_flare_gun,projectile,100,0.2,0.5,"[255,125,75]",,,,,,,,,,,0.75,TRUE
swp_burstflare,projectile,150,0.3,0.5,"[100,255,100]",,,,,,,,,,,0.5,TRUE
,,,,,,,,,,,,,,,,,
swp_lightphaselance,beam,40,1.4,,"[190,130,205]",,125,0.7,,"[125,10,155]",65,0.7,,"[125,10,155]",,1,TRUE
,,,,,,,,,,,,,,,,,
swp_arcade_wraithii_shot,projectile,125,0.35,0.35,"[90,45,200]",,150,0.4,0.5,"[200,180,255]",125,0.25,0.15,"[255,200,255]",,1,TRUE
swp_arcade_megapulse_shot,projectile,300,0.5,0.5,"[40,190,255]",,450,0.75,1,"[40,190,255]",300,0.5,0.5,"[50,200,255]",,1,TRUE
swp_arcade_zerobeam_shot,projectile,800,0.2,0.05,"[255,50,50]",,800,0.1,0.5,"[255,50,50]",800,0.1,0.1,"[255,50,50]",,0.75,TRUE
swp_arcade_zerocannon_shot,projectile,200,0.2,0.4,"[255,100,255]",,225,0.5,0.5,"[255,100,255]",200,0.2,0.2,"[255,50,255]",,1,TRUE
swp_arcade_zeroannihilator_shot,projectile,125,0.2,1,"[100,150,255]",,150,0.25,1,"[100,150,255]",100,0.3,0.2,"[100,150,255]",,0.25,TRUE
swp_arcade_zeroannihilator2_shot,projectile,125,0.2,1,"[255,125,125]",,150,0.25,1,"[255,125,125]",100,0.3,0.2,"[255,125,125]",,0.25,TRUE
swp_arcade_zeroannihilator3_shot,projectile,125,0.2,1,"[255,255,255]",,150,0.25,1,"[255,255,255]",100,0.3,0.2,"[255,255,255]",,0.25,TRUE
swp_arcade_omegaorb_shot,projectile,150,0.2,1,"[255,255,255]",,200,0.25,1,"[255,255,255]",150,0.15,0.15,"[255,255,255]",,1,TRUE
swp_arcade_omegaorb2_shot,projectile,150,0.2,1,"[255,255,255]",,200,0.25,1,"[255,255,255]",150,0.15,0.15,"[255,255,255]",,1,TRUE
