name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number,,,,,,,
Orchestra,dpl_orchestraC,Super Flagship,Domain Phase Lab,burndrive,50,25000,2000,26000,32000,1350,360,,25,5,5,3,2,8000,PHASE,dpl_relativity_targeting,0,0,0,,,600,1500,1200,800,20,40,6,1500000,4,20,720,0.25,100,100,"SHIP_WITH_MODULES, HIDE_IN_CODEX",no_bp_drop,0.1,0.6,2,4,504,,,,,,,
Cimbasso,dpl_cimbasso,Fortress Carrier,Domain Phase Lab,dpl_phase_enhanced_shield,35,20000,1000,20000,12500,1000,320,8,35,15,15,4,4,10000,OMNI,,360,0.6,0.6,,,4000,6000,1000,600,15,40,6,500000,4,20,800,0.25,60,60,"CARRIER, COMBAT, NO_AUTO_ESCORT","dpl_domain_bp, no_bp_drop, no_sell",0.2,0.2,2,2,501,,,,,,,
Cimbasso,dpl_cimbasso_banach,Fortress Carrier,Domain Phase Lab,dpl_phase_enhanced_shield,35,20000,1000,20000,12500,1000,100,8,35,15,15,4,4,10000,OMNI,,360,0.6,0.6,,,4000,6000,1000,600,15,40,6,500000,4,20,800,0.25,60,60,"CARRIER, COMBAT, NO_AUTO_ESCORT, UNBOARDABLE, HIDE_IN_CODEX",,0.2,0.2,2,2,501,,,,,,,
Lab Transport,dpl_lab_transport,DPL Transport,Domain Phase Lab,burndrive,8,25000,2000,4000,5000,200,90,,30,5,2,3,2,4000,OMNI,,5,0.1,1,,,50,2000,4500,4000,10,400,6,300000,2,20,750,0.25,20,20,"CIVILIAN, FREIGHTER","dpl_domain_bp, no_bp_drop, no_sell",0.2,0.5,2,4,502,,,,,,,
Piano,dpl_piano,Phase Capital,DPL Classified,dpl_mote_strike,40,14000,1500,14500,30000,1000,210,,35,15,15,4,4,3000,PHASE,phasecloak,,,,0.02,0.02,300,400,200,500,10,50,7,2500000,3,50,600,0.25,80,80,HIDE_IN_CODEX,,,0.4,2,3,510,,,,,,,
Piano,dpl_piano_dmtnt,Phase Capital,DPL Classified,dpl_mote_strike,40,14000,1500,14500,30000,1000,150,,35,15,15,4,4,3000,PHASE,phasecloak,,,,0.02,0.02,300,400,200,500,10,50,7,2500000,3,50,600,0.25,80,80,"UNBOARDABLE, HIDE_IN_CODEX",,,0.4,2,3,510,,,,,,,
Vibraphone,dpl_vibraphone,Eternal Guard,Domain Phase Lab,highenergyfocus,100,15000,1600,15000,20000,1000,180,,40,50,50,20,30,2400,PHASE,phasecloak,,,,0.02,0.02,300,400,200,500,10,50,7,2500000,3,50,600,0.25,100,100,"UNBOARDABLE, HIDE_IN_CODEX",,,0.4,2,3,510,,,,,,,
Vibraphone,dpl_vibraphone_wreck,Eternal Guard,Domain Phase Lab,,5,15000,1600,15000,20000,1000,0,,40,50,50,20,30,2400,NONE,,0,0,0,,,30,40,200,500,10,50,7,1,3,50,600,0.25,5,5,HIDE_IN_CODEX,,,0.4,2,3,510,,,,,,,
Theater Organ,dpl_theater_organ,Ultimate Phase Capital,DPL Classified,flarelauncher_active,50,8000,500,40000,30000,1200,180,,5,0.5,0.5,0.1,0.05,5000,PHASE,phasecloak,,,,0.03,0.03,1000,1200,200,500,10,50,3,5000000,3,80,600,0.5,100,100,HIDE_IN_CODEX,,,0.5,2,3,285,,,,,,,
Theater Organ,dpl_theater_organ_boss,Ultimate Capital,Imperium Wonder Weapon,dpl_energyfeed,1000,20000,1200,40000,30000,1200,180,,3,0.5,0.5,0.05,0.025,5000,NONE,,0,0,0,,,1000,1200,200,500,10,50,3,5000000,3,80,,,160,160,"SHIP_WITH_MODULES, HIDE_IN_CODEX, UNBOARDABLE",,,0.5,2,3,285,,,,,,,
Vengeance,dpl_vengeance,Vengeance,Vengeance,highenergyfocus,99999,50000,3000,6000,20000,500,100,,55,25,25,15,30,2000,PHASE,phasecloak,90,,,0,0,100,150,150,200,4,50,9,200000,8,40,270,0.2,40,40,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,3,274,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dpl_shield_frontal,Shield Module,,,1,5500,1000,9000,25000,1000,20,,0,0,0,3,6,2000,OMNI,,30,0.8,1.2,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,2,2071,,,,,,,
,dpl_shield_side,Shield Module,,,1,5500,1000,12000,25000,1000,20,,0,0,0,3,6,2000,OMNI,,45,0.8,1.2,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,3,2071,,,,,,,
,dpl_shield_factory,Shield Module,,,1,12000,1500,20000,15000,1200,0,,0,0,0,3,6,2000,FRONT,,160,0.4,0.6,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,2,2071,,,,,,,
,dpl_shield_module_I,Shield Module,,dpl_phase_enhanced_shield,1,20000,1200,32000,25000,1000,14,,0,0,0,3,6,2000,FRONT,,270,0.4,0.6,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,3,2071,,,,,,,
,dpl_gunnery_module_I,Gunnery Module,,highenergyfocus,1,20000,1200,16000,25000,1250,150,,0,0,0,3,6,2000,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,3,2071,,,,,,,
,dpl_gunnery_module_II,Gunnery Module,,highenergyfocus,1,20000,1200,16000,25000,1250,90,,0,0,0,3,6,2000,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,1,2,3,2071,,,,,,,
,dpl_factory_module_I,Station Battery,,,1,12000,1750,24000,25000,2000,1000,,0,0,0,10,10,1000,NONE,,0,0.4,1,,,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,2076,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dpl_factory_station,Imperium Factory,,,200,50000,1600,1000,2500,100,0,,30,200,200,3,3,6000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,75,50,"STATION, UNBOARDABLE, HIDE_IN_CODEX",,,0,,,2201,,,,,,,
