trail,projectile,sprite,minLength,fadeIn,duration,fadeOut,sizeIn,sizeOut,colorIn,colorOut,opacity,textLength,textScroll,distance,dispersion,drift,fadeOnFadeOut,angleAdjustment,additive,velocityIn,velocityOut,randomVelocity,angle,rotationIn,rotationOut,randomRotation,renderBelowExplosions
trails_bt_siegelaser_shot_smoke2,bt_siegelaser_shot,Trail_Smooth,10,0.5,0,2.5,40,75,"[250,10,25]","[255,120,35]",0.10,200,-125,-50,5,1,TRUE,FALSE,TRUE,50,0,0,0,0,0,false,false
trails_bt_siegelaser_shot_contrail,bt_siegelaser_shot,base_trail_contrail,10,0,0.1,0.5,50,20,"[250,10,25]","[0,255,235]",1,2000,-1000,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ork_emptorp_trail1,ork_emp_torp,Trail_Zappy,10,0.1,0,0.4,9,4,"[219,74,134]","[175,38,118]",0.5,300,500,0,60,1,TRUE,FALSE,TRUE,80,40,0.15,0,60,60,TRUE,FALSE
ork_emptorp_trail2,ork_emp_torp,Trail_Zappy,10,0.1,0,0.4,9,4,"[219,74,134]","[175,38,118]",0.5,300,500,0,60,1,TRUE,FALSE,TRUE,80,40,0.15,0,60,60,TRUE,FALSE
ork_emptorp_trail3,ork_emp_torp,base_trail_zapWithCore,6,0.1,0.3,0.3,12,5,"[216,42,15]","[170,34,51]",0.7,300,500,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ork_nuke_trail1,ork_emp_nuke_torp,Trail_Zappy,12,0.1,0,0.6,16,7,"[219,74,134]","[175,38,118]",0.5,300,500,0,60,1,TRUE,FALSE,TRUE,80,40,0.15,0,60,60,TRUE,FALSE
ork_nuke_trail2,ork_emp_nuke_torp,Trail_Zappy,12,0.1,0,0.6,16,7,"[219,74,134]","[175,38,118]",0.5,300,500,0,60,1,TRUE,FALSE,TRUE,80,40,0.15,0,60,60,TRUE,FALSE
ork_nuke_trail2,ork_emp_nuke_torp,base_trail_zapWithCore,8,0.1,0.5,0.4,24,10,"[216,42,15]","[170,34,51]",0.7,300,500,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,
trails_bt_erad_las_shot1,bt_erad_las_shot,Trail_Smooth,10,0,0.06,0.4,90,1,"[0,255,16]","[255,120,35]",1,5000,-500,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
trails_bt_erad_las_shot2,bt_erad_las_shot,Trail_Zappy,10,0,0.3,0.3,30,8,"[0,255,16]","[0,255,235]",1,500,-3000,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
trails_bt_erad_las_shot3,bt_erad_las_shot,Trail_Zappy,10,0,0.3,0.7,30,8,"[0,255,16]","[255,120,35]",1,500,-3000,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
trails_bt_erad_las_shot4,bt_erad_las_shot,Trail_Smooth,10,0,0,2.5,1,50,"[0,255,16]","[255,120,35]",0.2,200,-350,-100,2,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
trails_bt_erad_las_shot5,bt_erad_las_shot,Trail_Smooth,10,0.5,0,2.5,60,75,"[0,255,16]","[255,120,35]",0.10,200,-125,-50,5,1,TRUE,FALSE,TRUE,50,0,0,0,0,0,false,false
trails_bt_erad_las_shot6,bt_erad_las_shot,base_trail_contrail,10,0,0.15,0.5,70,20,"[0,255,16]","[0,255,235]",1,2000,-1000,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
bt_nuclear_cannon_shot_trail1,bt_nuclear_cannon_shot,base_trail_smoke,6,0.1,0.5,0.55,15,10,"[150,150,150]","[50,50,50]",0.7,300,500,0,1,0,TRUE,FALSE,FALSE,80,10,0,0,0,0,FALSE,TRUE
bt_nuclear_cannon_shot_trail2,bt_nuclear_cannon_shot,base_trail_weave,6,0.1,0.5,0.55,15,10,"[255,160,50]","[189,154,115]",0.05,300,500,0,1,0,TRUE,FALSE,FALSE,80,10,0,0,0,0,FALSE,TRUE
bt_nuclear_cannon_shot_trail3,bt_nuclear_cannon_shot,base_trail_heavySmoke,6,0.1,0.5,0.55,27,13,"[150,150,150]","[50,50,50]",0.7,300,500,0,1,0,TRUE,FALSE,FALSE,80,10,0,0,0,0,FALSE,TRUE
bt_nuclear_cannon_shot_glow,bt_nuclear_cannon_shot,base_trail_smooth,6,0,0.06,0.1,90,85,"[216,42,15]","[214,146,255]",0.6,300,1000,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
bt_nuclear_cannon_shot_trail4,bt_nuclear_cannon_shot,Trail_Doublehelix,6,0.1,0.6,0.55,40,34,"[216,42,15]","[50,50,50]",0.8,200,20,0,1,0,TRUE,FALSE,FALSE,30,10,0,0,0,0,FALSE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,
trails_bt_scrapshot_frag_1,bt_scrapshot_shot_frag,Trail_Smooth,5,0,0,0.35,10,1.5,"[255,125,35]","[255,125,35]",1,200,300,10,2,1,TRUE,FALSE,TRUE,100,20,0,0,0,0,TRUE,false
trails_bt_scrapshot_frag_2,bt_scrapshot_shot_frag,base_trail_smoke,5,0,0.04,0.1,10,2,"[255,255,255]","[255,255,255]",1,200,300,10,7,1,TRUE,FALSE,TRUE,100,20,0,0,0,0,TRUE,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
trails_bt_scrapshot_1,bt_scrapshot_shot,base_trail_smoke,5,0,0.04,0.05,3.5,1,"[255,255,230]","[255,255,230]",1,200,300,10,2,1,TRUE,FALSE,TRUE,100,20,0,0,0,0,TRUE,false
trails_bt_scrapshot_2,bt_scrapshot_shot,Trail_Smooth,0,0,0,0.35,6,1,"[225,225,225]","[225,225,225]",0.4,200,300,5,3,1,TRUE,FALSE,FALSE,100,20,0,0,5,50,TRUE,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
trails_bt_scrapshot_big_1,bt_scrapshot_shot_big,base_trail_smoke,5,0,0.04,0.05,5,1.5,"[255,245,220]","[255,245,220]",1,200,300,10,2,1,TRUE,FALSE,TRUE,100,20,0,0,0,0,TRUE,false
trails_bt_scrapshot_big_2,bt_scrapshot_shot_big,Trail_Smooth,0,0,0,0.35,10,1.5,"[155,155,155]","[155,155,155]",0.65,200,300,5,3,1,TRUE,FALSE,FALSE,100,20,0,0,5,50,TRUE,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#gestalt?,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
swarmer_trail1,bt_swarmer_srm,Trail_Clean,5,0,0.2,0.3,7,0,"[235,205,255]","[235,205,255]",1,50,0,0,0,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
swarmer_trail2,bt_swarmer_srm,Trail_Clean,5,0,0.2,0.3,20,0,"[60,140,255]","[60,140,255]",1,50,0,0,0,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
