name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,traveldrive,number,,,,,,,,,
Berserker M2,DEX_berserker2,Drone,Explorarium,ammofeed,8,5000,600,3400,2813,225,85,,65,45,15,18,18,450,NONE,,0,0,0,,,0,0,80,60,2,20,8,40000,5,10,720,0.15,6,6,"COMBAT, UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec",,0.5,2,3,,316,,,,,,,,,
Brigadier,DEX_brigadeer,Drone,Explorarium,canister_flak,10,3000,600,4000,3333,200,110,,60,40,20,30,20,500,NONE,,0,0,0,,,0,0,90,90,3,30,9,10000,5,12,720,0.15,8,9,"COMBAT, UNBOARDABLE, HIDE_IN_CODEX","auto_rec,",,0.4,2,3,,303,,,,,,,,,
Bastillon M2,DEX_bastillon2,Drone,Explorarium,canister_flak,6,6000,600,3500,3125,250,60,0,60,40,20,20,20,400,NONE,,0,0,0,,,0,0,80,60,1,20,8,40000,5,10,720,0.15,6,6,"COMBAT, UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec",,0.5,2,3,,315,,,,,,,,,
Blockade,DEX_blockade,Drone,Explorarium,burndrive,5,7500,1300,3500,3125,250,50,,60,40,20,20,20,400,PHASE,damper,0,0,0,,,0,0,80,60,1,20,8,20000,5,10,720,0.15,6,6,"COMBAT, UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec",,0.5,2,2,,316,,,,,,,,,
Bersillion,DEX_bersillion,Drone,Explorarium,burndrive,10,6000,600,3400,3125,250,85,0,65,45,20,20,20,400,NONE,,0,0,0,,,0,0,100,60,3,20,8,60000,5,10,720,0.15,6,6,"COMBAT, UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec",0.7,0.5,2,3,,315,,,,,,,,,
Marche,DEX_marche,Drone,Explorarium,ammofeed,7,6000,500,1800,5000,450,60,0,80,30,20,25,15,150,NONE,,0,0,0,,,0,0,200,60,1,20,7,30000,5,10,720,0.15,8,4,"COMBAT, UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec,",0.5,0.5,2,2,,2103,,,,,,,,,
Dragontooth,DEX_supersade,Drone,Explorarium,burndrive,5,6000,500,2400,,450,70,,100,150,120,120,120,300,NONE,,0,0,0,,,0,0,200,60,1,20,7,30000,5,10,720,0.15,5,1,"COMBAT, UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec,",,0.5,2,2,,2103,,,,,,,,,
Silet,DEX_silet,Drone,Explorarium,forgevats,9,6500,475,2400,2813,225,90,0,55,35,15,18,18,1000,NONE,,0,0,0,,,0,0,80,60,2,20,8,80000,5,10,720,0.15,11,4,"CARRIER, UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec",0.7,2,3,4,,316,,,,,,,,,
Bore,DEX_bore,Drone,Explorarium,highenergyfocus,6,6000,600,4500,3125,450,60,0,80,30,20,25,15,150,NONE,,0,0,0,,,0,0,200,60,1,20,7,25000,5,10,720,0.15,6,1,"COMBAT, UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec,",,0.5,2,2,,2103,,,,,,,,,
"Antephaylax ",DEX_antiphase,Drone,Explorarium,acausaldisruptor,7,6000,600,4500,3125,450,60,0,80,30,20,25,15,150,NONE,,0,0,0,,,0,0,200,60,1,20,7,25000,5,10,720,0.15,6,1,"COMBAT, UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec,",,0.5,2,2,,2103,,,,,,,,,
Haunt,DEX_haunt,Phase Drone,Explorarium,displacer_degraded,10,3500,400,3500,3125,250,60,0,120,100,90,90,120,400,PHASE,phasecloak,,,,0.06,0.06,0,0,80,60,1,20,8,40000,5,10,720,0.15,8,6,"COMBAT, UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec,",,0.5,2,3,,,,,,,,,,,
Guardhouse,DEX_guardhouse,Carrier Drone,Explorarium,reservewing,8,4500,575,3400,2813,225,60,2,45,45,15,18,18,450,NONE,,0,0,0,,,0,0,80,60,2,20,8,40000,5,10,720,0.15,10,6,"CARRIER, UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec",,0.5,2,3,,316,,,,,,,,,
#SUPPORT SHIPS,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larder,DEX_larder,Drone Tanker,Explorarium,flarelauncher,1,600,200,1500,1250,50,30,,120,70,50,30,60,200,NONE,,0,0,0,,,0,0,15,300,1,100,9,2000,5,20,720,0.15,3,1,"CIVILIAN, TANKER, UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec, merc",,0.7,2,4,,209,,,,,,,,,
Tartar,DEX_tartar,Supply Drone,Explorarium,burndrive,5,4250,600,1800,2083,125,60,1,45,35,25,25,15,400,NONE,,0,0,0,,,0,0,350,80,2,27,8,18000,5,20,720,0.15,5,4,"CIVILIAN, FREIGHTER, UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec,",,0.5,2,3,,306,,,,,,,,,
Stockpile,DEX_stockpile,Supply Drone,Explorarium,flarelauncher,6,6000,500,5000,2500,250,60,0,35,30,20,25,15,2100,NONE,,0,0,0,,,0,0,700,550,2,20,8,20000,"5
",20,720,0.15,6,5,"CIVILIAN, TANKER, FREIGHTER, UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec,",,0.5,2,4,,310,,,,,,,,,
M.U.L.E.,DEX_condrone,Construction Drone,Explorarium,flarelauncher,1,2000,200,1000,1667,100,16,0,50,30,20,25,15,300,NONE,,,,,,,0,0,20,10,2,10,8,20000,5,20,720,0.15,1,3,"CIVILIAN, UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec",,0.75,2,3,,312,,,,,,,,,
#CRUISERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siege Tower,DEX_seigetower,Drone Lander,Explorarium,damper,9,8500,700,2000,2500,250,115,2,50,30,20,25,15,400,NONE,,0,0,0,,,0,160,400,200,2,20,7,40000,3,20,720,0.15,13,9,"COMBAT, CARRIER, HIDE_IN_CODEX","derelict, auto_rec,",,0.75,3,4,,311,,,,,,,,,
Silo,DEX_silo,Drone,Explorarium,forgevats,14,7000,600,3400,2813,325,130,0,45,25,15,18,18,1000,NONE,,0,0,0,,,0,0,400,100,2,20,8,80000,5,10,720,0.15,18,12,"CARRIER, UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec",0.8,2,3,4,,316,,,,,,,,,
Trench,DEX_trench,Drone,Explorarium,damper,10,19000,1700,10000,5625,450,120,0,25,20,10,12,10,2200,NONE,,0,0,0,,,0,0,100,100,4,15,8,120000,5,12,720,0.15,17,15,"COMBAT, UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec",,0.5,2,3,,412,,,,,,,,,
Trepart,DEX_trepart,Drone,Explorarium,burndrive,9,10000,1500,10000,5625,450,180,0,35,20,10,12,10,2200,NONE,,0,0,0,,,0,0,100,100,4,15,8,130000,5,12,720,0.15,22,25,"COMBAT, UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec",0.7,0.5,2,3,,412,,,,,,,,,
Torus,DEX_torus,Drone Cruiser,Explorarium,highenergyfocus,15,9000,1250,10000,5625,450,150,3,40,30,20,25,15,2200,NONE,,0,0,0,,,0,0,700,100,4,15,8,130000,5,12,720,0.15,20,15,"CARRIER, COMBAT, NO_AUTO_ESCORT, UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec",0.5,0.5,2,3,,413,,,,,,,,,
Barracks,DEX_barracks,Drone Carrier,Explorarium,reservewing,12,10000,1250,6000,4000,450,140,3,45,30,20,25,15,2200,NONE,,0,0,0,,,0,0,100,100,4,15,8,115000,4,12,720,0.15,17,20,"CARRIER, NO_AUTO_ESCORT, UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec,",,0.5,2,3,,312,,,,,,,,,
Garrison,DEX_garrison,Command Drone,Explorarium,targetingfeed,16,10000,1250,6000,2500,450,115,3,45,30,20,25,15,3000,NONE,,0,0,0,,,0,0,700,600,5,17,8,140000,4,12,720,0.15,18,20,"CARRIER, COMBAT, UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec, rare_bp",,1,2,4,,667,,,,,,,,,
Marathon,DEX_forerunner,Survey Drone,Explorarium,burndrive,14,10000,1250,6000,2500,450,115,0,60,30,20,25,15,2500,NONE,,0,0,0,,,0,0,700,600,4,20,9,100000,5,12,720,0.15,14,15,"COMBAT, UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec",,0.5,2,3,,412,,,,,,,,,
Wendigo,DEX_wendigo,Phase Cruiser,Explorarium,displacer_degraded,15,11000,1200,6000,12000,600,180,,70,60,60,15,20,1000,PHASE,phasecloak,,,,0.05,0.08,0,0,100,75,3,25,8,100000,5,20,480,0.25,18,18,"COMBAT, UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec",,0.7,3,4,,406.5,,,,,,,,,
Terminal,DEX_terminal,Shield Drone,Explorarium,fortressshield,15,10000,1000,30000,5625,600,135,0,50,20,10,12,10,2100,FRONT,,150,.8,1,,,0,0,100,100,4,15,8,100000,5,12,720,0.15,15,15,"UNBOARDABLE, CARRIER, COMBAT,, HIDE_IN_CODEX","derelict, auto_rec",,0.5,2,3,,412,,,,,,,,,
#CAPITALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battlement,DEX_battlement,Drone,Explorarium,burndrive,22,15000,1800,10000,5625,550,145,2,45,20,10,12,10,4000,NONE,,0,0,0,,,0,0,1000,600,4,150,8,100000,5,12,720,0.15,25,15,"COMBAT, UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec",,0.5,2,3,,412,,,,,,,,,
Decimator,DEX_decimator,Bombardment Drone,Explorarium,lidararray,28,15000,1500,20000,5625,750,220,0,20,20,20,2,2,6100,NONE,,0,0,0,,,0,0,1000,600,15,40,7,400000,4,12,720,0.15,35,20,"COMBAT, UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec, rare_bp",,1,4,6,,667,,,,,,,,,
Fort,DEX_fort,Command Drone,Explorarium,forgevats,25,17000,1500,10000,2500,550,300,4,30,20,20,2,2,6100,NONE,,0,0,0,,,0,0,1000,600,15,40,7,400000,4,12,720,0.15,35,20,"CARRIER, COMBAT, UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec, rare_bp",,1,4,6,,667,,,,,,,,,
Dreadnought,DEX_dreadnought,Drone Battleship,Explorarium,burndrive,30,20000,1800,15000,15000,600,360,0,25,10,10,6,6,3500,PHASE,damper,180,.8,1,,,0,0,1000,400,15,27,7,150000,3,12,720,0.15,40,30,"COMBAT, UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec, rare_bp",0.5,2,4,6,,500,,,,,,,,,
Castra,DEX_castra,Drone Battlecarrier,Explorarium,burndrive,30,20000,1750,17000,12500,500,325,3,30,15,15,6,6,3500,PHASE,damper,180,0,0,,,0,0,1000,300,15,10,7,175000,3,12,720,0.15,40,30,"CARRIER, COMBAT, NO_AUTO_ESCORT, HIDE_IN_CODEX","derelict, auto_rec, rare_bp",0.5,2,4,6,,507,,,,,,,,,
Redstone,DEX_redstone,Vanguard Drone,Explorarium,orion_device,25,11000,700,15000,12500,600,280,,55,40,40,8,5,2500,NONE,,0,0,0,,,0,0,800,500,10,50,8,170000,3,12,600,0.25,30,20,"SHIP_WITH_MODULES, COMBAT, UNBOARDABLE, HIDE_IN_CODEX","derelict, auto_rec, rare_bp",0.5,2,4,6,,513,,,,,,,,,
Foreplate,DEX_redstone_module,Armor,,,,10000,1500,0,0,0,35,,0,0,0,0,0,3000,NONE,,0,0,0,,,0,0,,,,,,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,2,,2224,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penance,DEX_luddstone,Excorcised Drone,Explorarium,orion_device,25,11000,700,15000,12500,600,280,,45,40,40,10,10,3000,NONE,,0,0,0,,,200,400,800,500,10,50,8,170000,3,12,600,0.25,40,20,"SHIP_WITH_MODULES, COMBAT,","rare_bp, LP_bp",0.5,2,4,6,,513,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viaduct,DEX_hyperduct,Automated Tanker,Explorarium,burndrive,18,30000,600,10000,5625,550,280,0,20,10,10,4,4,4000,NONE,,180,0.5,1.2,,,0,0,200,10000,15,1000,6,160000,5,12,720,0.25,30,30,"UNBOARDABLE, HIDE_IN_CODEX, CIVILIAN, TANKER","derelict_2, auto_rec, merc, ind, hist2t",0.2,0.75,3,5,,506,,,,,,,,,
Evergreen,DEX_megafreighter,Automated Hyperfreighter,Explorarium,burndrive,18,30000,600,10000,5625,550,280,0,20,10,10,4,4,4000,NONE,,180,0.5,1.2,,,0,0,20000,500,15,1000,6,160000,5,12,720,0.25,25,30,"UNBOARDABLE, HIDE_IN_CODEX, CIVILIAN","derelict_2, auto_rec, merc, ind, hist2t",0.2,0.75,3,5,,506,,,,,,,,,
Galaxia,DEX_galaxia,Autopiloted Colony Ship,Explorarium,burndrive,18,30000,600,1000,5625,550,50,0,20,10,10,4,4,4000,NONE,,180,0.5,1.2,,,0,10000,1000,500,15,1000,6,160000,5,12,720,0.25,40,30,"SHIP_WITH_MODULES, HIDE_IN_CODEX, CIVILIAN, LINER","derelict_2, merc, ind, hist2t",0.2,0.75,3,5,,506,,,,,,,,,
,DEX_galaxia_left,Port Access Bay,Explorarium,reservewing,,6000,300,10000,2500,700,150,2,0,5,5,2,0.5,5000,NONE,NONE,0,0,0,,,,,0,0,0,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,2,,2223,,,,,,,,,
,DEX_galaxia_right,Starboard Access Bay,Explorarium,reservewing,,6000,300,10000,2500,700,150,2,0,0,0,2,0.5,5000,NONE,NONE,0,0,0,,,,,0,0,0,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,2,,2223,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#SUPERCAP HELLSPAWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arsenal (Original),DEX_arsenal,Battle-Shipyard,Explorarium,targetingfeed,40,30000,1600,15000,2500,9000,500,8,30,20,20,2,2,10000,PHASE,canister_flak,0,0,0,,,0,0,5000,2000,20,50,6,1000000,1,20,720,0.15,80,40,"CARRIER, COMBAT, UNBOARDABLE, HIDE_IN_CODEX",,0.4,1,4,6,,667,,,,,,,,,
Arsenal,DEX_arsenal_core,Battle-Shipyard,Explorarium,targetingfeed,40,15000,1300,1500,2500,700,250,8,25,5,5,2,0.5,10000,PHASE,damper,0,0,0,,,0,0,5000,2000,20,50,6,1000000,1,20,720,0.15,80,40,"SHIP_WITH_MODULES, CARRIER, COMBAT, UNBOARDABLE, HIDE_IN_CODEX","derelict_2, auto_rec",0.4,1,4,6,,667,,,,,,,,,
,DEX_arsenal_L,Refinery Sector,,forgevats_station,,10000,1300,5000,2500,700,150,0,10,5,5,2,0.5,5000,PHASE,damper,0,0,0,,,,,0,0,0,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,2,,2223,,,,,,,,,
,DEX_arsenal_R,Assembly Sector,,forgevats_station,,10000,1300,5000,2500,700,155,0,10,5,5,2,0.5,5000,PHASE,damper,0,0,0,,,,,0,0,0,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,2,,2223,,,,,,,,,
Castle,DEX_castle,Mobile Fortress,Explorarium,burndrive,40,20000,1700,14000,2500,700,100,0,25,5,5,2,0.5,10000,PHASE,canister_flak,90,0,1,,,0,0,1000,400,20,50,6,950000,1,20,720,0.15,80,40,"SHIP_WITH_MODULES, COMBAT, UNBOARDABLE, NO_AUTO_ESCORT, HIDE_IN_CODEX","derelict_2, auto_rec",0.5,1,3,5,,666,,,,,,,,,
,DEX_castlesideR,Fortress Quarter,,ammofeed,,25000,1700,5000,2500,700,150,0,10,5,5,2,0.5,5000,PHASE,damper,0,0,0,,,,,0,0,0,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,2,,2223,,,,,,,,,
,DEX_castleside,Fortress Quarter,,ammofeed,,25000,1700,5000,2500,700,150,0,10,5,5,2,0.5,5000,PHASE,damper,0,0,0,,,,,0,0,0,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,2,,2223,,,,,,,,,
,DEX_castlebow,Fortress Prow,,ammofeed,,40000,2000,15000,2500,700,230,0,0,0,0,2,0.5,5000,PHASE,damper,0,0,0,,,,,0,0,0,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,2,,2222,,,,,,,,,
#THAT ONE UNUSED BOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nomad,DEX_nomadboss,Rogue Droneship,Unknown,temporalshell,60,20000,2000,55000,25000,1200,500,6,50,30,20,10,10,4000,OMNI,,230,0.4,0.6,,,0,0,100,400,9,27,7,400000,3,12,720,0.25,60,20,"UNBOARDABLE, HIDE_IN_CODEX",restricted,,0.4,2,4,,508,,,,,,,,,
Nomad Drone,DEX_nomad_drone,Drone Fighter,Unknown,highenergyfocus,,500,50,200,,50,0,,300,400,400,200,400,5,OMNI,,360,0,1,,,0,0,,,,,,,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",restricted,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#CRINGE AWFUL OVERWRITE SHIT SO PEOPLE WILL STOP BEING MAD ABOUT GUARDIAN BP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guardian,guardian,Drone Battleship,Explorarium,plasmajets,30,20000,1700,25000,25000,1000,450,,40,30,20,7,10,3500,FRONT,,200,0.4,1,,,0,0,300,400,15,27,7,500000,3,12,720,0.25,40,40,"UNBOARDABLE, HIDE_IN_CODEX","no_autofit, derelict_2",,0.4,2,4,,508,,,,,,,,,
,station_derelict_survey_mothership,Domain-era Survey Mothership,Explorarium,,30,40000,1600,1000,2500,100,0,,30,200,200,2,2,5000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,50,50,"STATION, UNBOARDABLE, HIDE_IN_CODEX","restricted, derelict_2",,0,,,,2001,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#CIVILIANS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stockpile(C),DEX_stockpile_c,Modified Drone,Explorarium,flarelauncher,6,6000,500,5000,2500,250,50,,35,30,20,25,15,2100,FRONT,,270,0.4,1,,,10,18,500,350,2,20,8,20000,"5
",20,480,0.25,6,6,"CIVILIAN, TANKER, FREIGHTER, ","merc, ind",0.5,0.5,2,4,,310,,,,,,,,,
Larder(C),DEX_larder_c,Modified Drone,Explorarium,flarelauncher,1,600,200,1500,1250,50,30,,120,70,50,30,60,200,FRONT,,270,0.4,1,,,10,18,15,300,1,300,9,2000,5,20,180,0.25,3,1,"CIVILIAN, TANKER,","merc, ind",0.5,0.7,2,4,,209,,,,,,,,,
#PIRATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warden(P),DEX_warden_p,Hacked Drone,Pirate,ammofeed,5,1400,200,750,1250,200,39,,120,100,90,90,120,150,FRONT,,270,0.4,1,,,10,18,20,20,1,20,9,15000,5,5,480,0.25,3,5,"COMBAT, ","pirate_bp, pirates",,0.5,2,2,,222,,,,,,,,,
Defender(P),DEX_defender_p,Hacked Drone,Pirate,emp,5,1800,250,750,1250,200,30,,100,90,90,90,110,160,FRONT,,360,0.4,1,,,10,18,20,20,1,20,9,15000,5,5,480,0.25,3,5,"COMBAT, ","pirate_bp, pirates",,0.5,2,2,,223,,,,,,,,,
Picket(P),DEX_picket_p,Hacked Drone,Pirate,maneuveringjets,5,1400,150,750,1250,200,25,,200,175,150,100,120,120,FRONT,,180,0.4,1,,,10,18,20,20,1,20,9,15000,5,5,480,0.25,3,5,"COMBAT,","pirate_bp, pirates",,0.5,2,2,,224,,,,,,,,,
Sentry(P),DEX_sentry_p,Hacked Drone,Pirate,fastmissileracks,5,1200,150,750,1250,200,25,,110,90,90,60,100,120,FRONT,,90,0.4,1,,,10,18,20,20,1,20,9,15000,5,5,480,0.25,3,5,"COMBAT, ","pirate_bp, pirates",,0.5,2,2,,225,,,,,,,,,
Pallisade(P),DEX_pallisade_p,Hacked Drone,Pirate,maneuveringjets,3,2250,600,1500,1250,350,30,,130,150,120,120,120,150,PHASE,phasecloak,,,,0.06,0.06,10,18,20,40,1,40,9,15000,5,3,240,0.25,3,5,"COMBAT,","pirate_bp, pirates",,0.5,2,3,,2001,,,,,,,,,
Palahound,DEX_palahound,Hacked Drone,Pirate,maneuveringjets,3,2250,600,750,1250,250,30,,130,150,120,120,120,150,NONE,,90,0.4,1,,,10,18,40,40,1,40,9,15000,5,3,240,0.25,5,5,"COMBAT,","pirate_bp, pirates",,0.5,2,3,,2001,,,,,,,,,
Bailey(P),DEX_bailey_p,Hacked Drone,Pirate,fastmissileracks,4,2750,400,750,1250,200,30,,120,100,90,90,120,150,FRONT,,90,0.4,1,,,10,18,60,40,1,40,9,17000,5,20,240,0.25,8,5,"COMBAT, ","pirate_bp, pirates",,0.5,2,3,,2001,,,,,,,,,
Bastillon(Ph),DEX_bastillon_P,Hacked Drone,Pirate,acausaldisruptor,10,5000,400,3500,3125,450,60,0,60,40,20,20,20,400,PHASE,phasecloak,,,,0.06,0.06,10,18,80,40,1,20,8,50000,5,10,540,0.25,8,8,"COMBAT, ","pirate_bp, pirates",,0.5,2,3,,315,,,,,,,,,
Bastillon (P),DEX_bastillon2_p,Hacked Drone,Pirate,canister_flak,6,5000,600,3500,3125,250,60,0,60,40,20,10,5,400,FRONT,,180,0.5,1,,,10,18,80,40,1,20,8,50000,5,10,540,0.25,8,8,"COMBAT, ","pirate_bp, pirates",,0.5,2,3,,315,,,,,,,,,
Brigadier(P),DEX_brigadeer_p,Hacked Drone,Pirate,maneuveringjets,10,3000,600,4000,3333,200,110,,60,40,20,30,20,500,FRONT,,180,0.5,1,,,10,18,90,90,3,30,9,20000,5,12,420,0.25,8,12,"COMBAT,",,,0.4,2,3,,303,,,,,,,,,
Beserker(P),DEX_berserker_p,Hacked Drone,Pirate,ammofeed,10,4000,400,3400,2813,425,105,0,75,45,15,28,18,450,FRONT,,270,0.5,1,,,10,18,80,40,2,20,9,46000,5,10,540,0.25,12,8,"COMBAT, ","pirate_bp, pirates",,0.5,2,4,,316,,,,,,,,,
Barracks(P),DEX_barracks_p,Hacked Drone,Pirate,fastmissileracks,12,10000,1250,4000,4000,450,115,3,45,30,20,25,15,2200,FRONT,,270,0.5,1,,,10,18,100,60,4,15,8,120000,4,12,420,0.25,14,22,"CARRIER, NO_AUTO_ESCORT, ","pirate_bp, pirates",,0.5,2,3,,312,,,,,,,,,
