name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
Modulized Shield,dpl_modulizedshield,5,,,,,,,TRUE,,0,0,0,0,data.hullmods.dpl_ModulizedShields,"This ship has compact shield modules, it makes the ship impossible to install other shield generators. Such design has advantage that the shields are less affected by the ship's plasma cores and have independent flux status. But whenever each module is destroyed, its explosion will also cause great amount damage to the ship.",Install shields as independent modules,graphics/hullmods/dpl_modulized_shields.png
Phase Coil Extension,dpl_phase_extension,3,,Domain Phase Lab,"req_spaceport, phase, no_build_in, special",Phase,15000,,,,15,20,25,35,data.hullmods.dpl_ExtendedCoils,"Phase coils are less able to maintain a connection with normal space as the ship's hard flux levels rise, resulting in a greatly reduced top speed as the coils struggle to gain traction.

By making fractal extensions of the phase coils into the ship hull, the threshold at which speed bottoms out can be increased by %s. For standard-design coils with no other modifications, this takes the threshold from %s to %s. This hull mod is compatible with all other hullmods, but can't be built-in.",Reduces impact of hard flux level on top speed while phased.,graphics/hullmods/dpl_phase_coils_extended.png
Entangled Systems,dpl_entangled_systems,5,,,,,,,TRUE,,0,0,0,0,data.hullmods.dpl_EntangledSystem,"As a complicated experimental platform, all ship systems on this ship are entangled. If the ship has a D-Mod, all systems on the ship will be affected and the mote induction process will be disturbed. Resulting in a %s penalty on the ship's damage.","If the ship has any D-Mod, it will suffer a damage penalty.",graphics/hullmods/detach_never.png
Special Hanger,dpl_special_hanger,5,,,,,,,TRUE,,0,0,0,0,data.hullmods.dpl_SpecialHanger,"The fighter bays on this craft are specialized to support Domain Phase Lab fighters, and it cannot support fighters with other designs that cost more than 15 ordinary points.",Specialized bays for Domain Phase Lab fighters.,graphics/hullmods/dpl_special_hanger.png
Target Analysis System,dpl_energy_charger,,,Domain Phase Lab,,,,,TRUE,,0,0,0,0,data.hullmods.dpl_EnergyCharger,"The ship has an advanced device that helps the weapon operators perform target analysis when firing, increases ship's all weapon damage and reloading time both by %s. The effect of this device can be greatly enhanced if the ship has phase coils, so the weapon damage effect is doubled for phase ships.

""Ready! Aim! Fire!""",Increase weapon damage and reloading time.,graphics/hullmods/dpl_energy_charger.png
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,, 
