name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number
Requiem,requiem,Destroyer,Low Tech,dynamic_stabilizer,8,4000,800,3500,3000,250,80,,100,80,60,30,60,350,PHASE,damper,300,0.4,0.8,,,50,100,100,50,2,25,9,35000,5,10,420,0.25,8,8,,"rare_bp, eridani, independent, luddic_church, luddic_path, special_allows_system_use, system_allows_special_use",,0.5,2,3,300
Haymaker,haymaker,Missile Frigate,Low Tech,flarelauncher,7,2500,500,2000,2000,150,50,,115,180,120,75,120,250,NONE,,,,,,,15,30,40,20,1,20,9,12000,5,10,300,0.25,4,4,ALWAYS_PANIC,"rare_bp, eridani, independent, luddic_church, luddic_path,",,0.4,2,2,207
Cerberus (EU),eridani_cerberus,Combat Freighter,Eridani Utopia,burndrive,5,2500,400,1250,1875,150,50,,110,100,75,60,120,300,OMNI,,90,0.4,1,,,20,50,100,40,1,40,10,9000,8,10,240,0.25,4,4,,"rare_bp, eridani,",,0.3,2,2,213
Manta,manta,Explorer,High Tech,acausaldisruptor,6,4500,300,6000,7000,350,70,,80,40,30,20,25,400,FRONT,,270,0.4,0.8,,,60,180,200,100,1,100,9,36000,3,10,360,0.25,8,8,,"rare_bp, eridani, persean",,0.6,2,3,305
Hinny,eridani_mule,Combat Explorer,Low Tech,burndrive,9,5500,650,3000,2500,150,80,1,60,40,20,20,15,500,OMNI,,120,0.4,0.8,,,50,100,200,80,2,40,9,35000,5,10,420,0.25,7,7,,"rare_bp, eridani, persean",,0.5,2,3,310
# (+ 3 skins),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bhilai Astra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muninn,muninn,Frigate,Bhilai Astra,dynamic_stabilizer,4,2000,300,2000,1850,150,55,,120,90,90,40,80,300,FRONT,,150,0.4,0.8,,,30,50,50,25,1,25,10,20000,8,10,240,0.25,5,5,,"rare_bp, independent, Bhilai, merc",,0.4,2,2,219
Freki,bodkin_esc,Destroyer,Bhilai Astra,dynamic_stabilizer,10,4000,500,3000,3000,250,80,1,80,60,60,30,45,400,FRONT,,150,0.4,0.8,,,70,100,50,80,2,40,9,30000,5,15,360,0.25,10,10,,"rare_bp, independent, Bhilai, merc",,0.5,2,3,307
Sleipnir,valkyrie_ass,Destroyer,Bhilai Astra,dynamic_stabilizer,8,3500,400,2500,1833,150,65,,80,60,60,30,45,400,FRONT,,90,0.4,0.8,,,40,80,50,80,2,40,9,20000,5,15,360,0.25,8,8,,"rare_bp, independent, Bhilai, merc,  luddic_path,",,0.5,2,3,308
Valhalla,valhalla,Freighter,Bhilai Astra,burndrive,5,3500,400,2250,1833,110,45,,80,60,60,30,45,400,FRONT,,90,0.4,0.8,,,10,50,150,300,2,40,9,20000,5,15,360,0.25,3,3,"CIVILIAN, TANKER, FREIGHTER","rare_bp, independent, Bhilai, merc,",,0.5,2,3,307
Valkyrie (BA),valkyrie_sup,Troop Transport,Bhilai Astra,burndrive,8,3500,400,2250,1833,110,55,,80,60,60,30,45,400,FRONT,,90,0.4,0.8,,,10,250,50,80,2,40,9,20000,5,15,360,0.25,3,3,"CIVILIAN, TRANSPORT","rare_bp, independent, Bhilai, merc,",,0.5,2,3,308
Gizzard,gizzard,Missile Destroyer,Midline,burndrive,10,4000,450,3550,2084,225,90,,100,50,30,30,75,425,FRONT,,90,0.4,0.8,,,50,100,110,60,2,30,9,45000,5,8,360,0.25,10,10,ALWAYS_PANIC,"rare_bp, merc, hegemony, sindrian_diktat",,0.5,2,3,300
Astrum,astrum,Battlecruiser,Bhilai Astra,dynamic_stabilizer,25,10000,1000,15000,25000,1000,275,2,70,50,40,8,12,2500,OMNI,,160,0.25,1,,,400,800,400,450,8,56,8,330000,4,20,600,0.25,45,45,,"rare_bp, Bhilai",,0.6,2,4,505
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#InDevHell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truncheon,truncheon,Destroyer,Eridani Utopia,damper,10,5500,700,4000,3500,300,90,,60,40,20,30,20,500,FRONT,,150,0.4,0.8,,,50,100,80,90,3,30,9,42000,5,12,420,0.25,10,10,,,,0.4,2,3,302
Parallax,cpbf,Prototype Beam Frigate,High Tech,displacer,10,2000,250,4000,4000,500,25,,110,100,75,60,120,200,NONE,,0,0,0,,,10,50,10,15,1,15,10,50000,8,40,120,0.25,15,15,,,0.5,0.75,2,2,202
