id,type,size,intensity,fadeout,color,offset,hit size,hit intensity,hit fadeout,hit color,flash size,flash intensity,flash fadeout,flash color,flash offset,chance,fighter dim
prv_heavyspattergun_main_shot,projectile,120,0.45,,"[220,160,255]",,125,0.495,,"[199,102,255]",150,0.3,0.3,"[220,160,255]",,1,TRUE
prv_spattergun_main_shot,projectile,80,0.3,,"[220,160,255]",,75,0.33,,"[199,102,255]",100,0.3,0.2,"[220,160,255]",,1,TRUE
prv_spattergun_1_shot,projectile,40,0.225,,"[199,102,255]",,25,0.25,,"[122,60,166]",35,0.3,0.2,"[220,160,255]",,0.6,TRUE
prv_spattergun_2_shot,projectile,30,0.225,,"[122,60,166]",,15,0.25,,"[103,50,140]",25,0.3,0.2,"[220,160,255]",,0.4,TRUE
prv_spattergun_fighter_main_shot,projectile,60,0.2,,"[220,160,255]",,35,0.225,,"[199,102,255]",50,0.3,0.2,"[220,160,255]",,1,TRUE
prv_spattergun_fighter_1_shot,projectile,30,0.15,,"[199,102,255]",,15,0.2,,"[122,60,166]",25,0.3,0.2,"[220,160,255]",,0.6,TRUE
prv_spattergun_fighter_2_shot,projectile,20,0.15,,"[122,60,166]",,10,0.2,,"[103,50,140]",15,0.3,0.2,"[220,160,255]",,0.4,TRUE
,,,,,,,,,,,,,,,,,
prv_pskd_shot,projectile,25,0.15,0.3,"[180,180,255]",,20,0.25,0.1,"[180,180,255]",25,0.2,0.11,"[255,255,200]",,0.7,TRUE
prv_akc_shot,projectile,25,0.15,0.2,"[180,180,255]",,20,0.25,0.1,"[180,180,255]",25,0.2,0.11,"[255,255,200]",,0.5,TRUE
prv_akers_shot,projectile,40,0.2,0.3,"[180,180,255]",,25,0.2,0.2,"[220,220,255]",25,0.3,0.11,"[255,255,200]",,0.7,TRUE
prv_heavyakers_shot,projectile,80,0.25,0.2,"[180,180,255]",,30,0.2,0.25,"[220,220,255]",50,0.3,0.11,"[255,255,200]",,1,TRUE
prv_akers_nova_shot,projectile,80,0.3,0.2,"[255,180,255]",,40,0.225,0.3,"[255,180,255]",75,0.3,0.11,"[255,220,255]",,1,TRUE
prv_akers_denova_shot,projectile,80,0.3,0.2,"[255,196,0]",,40,0.225,0.3,"[255,196,0]",75,0.3,0.11,"[255,191,128]",,1,TRUE
prv_akers_fighter_shot,projectile,100,0.4,0.3,"[180,180,255]",,100,0.4,0.55,"[220,220,255]",75,0.3,0.11,"[255,255,200]",,1,TRUE
prv_siege_akers_shot,projectile,125,0.4,0.3,"[180,180,255]",,125,0.4,0.65,"[220,220,255]",100,0.35,0.11,"[255,255,200]",,1,TRUE
prv_gravkan_shot,projectile,90,0.3,0.15,"[102,255,153]",,45,0.35,0.9,"[102,255,153]",85,0.25,0.22,"[178,255,204]",,1,TRUE
prv_bounder_shot,projectile,90,0.3,0.15,"[255,128,0]",,45,0.35,0.9,"[255,128,0]",85,0.25,0.22,"[255,191,128]",,1,TRUE
prv_heavybounder_shot,projectile,40,0.2,0.25,"[255,128,0]",,30,0.35,0.9,"[255,128,0]",35,0.3,0.22,"[255,191,128]",,0.6,TRUE
prv_heavybounder_1_shot,projectile,40,0.2,0.25,"[255,128,0]",,30,0.35,0.9,"[255,128,0]",35,0.3,0.22,"[255,191,128]",,0.6,TRUE
prv_jursla_shot,projectile,125,0.45,0.2,"[180,180,255]",,150,0.4,0.3,"[180,180,255]",225,0.45,0.33,"[255,255,200]",,1,TRUE
prv_jursla_fighter_shot,projectile,25,0.3,0.2,"[180,180,255]",,40,0.25,0.3,"[180,180,255]",75,0.3,0.11,"[255,255,200]",,1,TRUE
,,,,,,,,,,,,,,,,,
prv_skatunge_srm,projectile,80,0.3,0.75,"[255,204,51]",5,200,0.6,1.25,"[165,225,100]",,,,,,1,FALSE
prv_kaja_mrm,projectile,90,0.3,0.75,"[100,165,255]",5,200,0.45,1,"[100,100,255]",100,0.2,0.25,"[100,165,255]",,1,FALSE
prv_kraka_mrm,projectile,120,0.3,0.75,"[100,165,255]",7,225,0.45,1,"[100,100,255]",125,0.25,0.25,"[100,165,255]",,1,FALSE
prv_korp_mrm,projectile,150,0.3,0.75,"[100,165,255]",5,250,0.45,1,"[100,100,255]",150,0.3,0.25,"[153,187,255]",,1,FALSE
prv_sidensvans_srm,projectile,80,0.3,0.5,"[255,204,51]",5,125,0.4,0.75,"[165,225,100]",,,,,,1,FALSE
prv_skata_lrm,projectile,80,0.3,0.75,"[255,204,51]",5,200,0.6,1.25,"[165,225,100]",,,,,,1,FALSE
prv_raka_torpedo,projectile,150,0.3,0.75,"[255,204,51]",4,250,0.6,1.25,"[165,225,100]",150,0.3,0.25,"[165,225,100]",,1,FALSE
prv_berguv_torpedo,projectile,125,0.5,0.75,"[199,102,255]",10,450,0.6,1.25,"[199,102,255]",,,,,,1,FALSE
prv_blames_missile,projectile,90,0.3,0.75,"[51,0,153]",5,200,0.45,1,"[51,0,153]",100,0.2,0.25,"[51,0,153]",,1,FALSE
,,,,,,,,,,,,,,,,,
prv_mine_emp,projectile,125,0.3,0.3,"[125,215,255]",,200,0.6,1.5,"[125,215,255]",,,,,,1,TRUE
prv_mine_gravity,projectile,250,0.5,0.3,"[255,85,0,255]",,400,0.85,0.75,"[255,85,0,255]",,,,,,1,TRUE
,,,,,¨,,,,,,,,,,,,
