name,id,tier,rarity,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,tech/manufacturer,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
,,,,,,,,,,,,,,,,,,
#Voltaire,,,,,,,,,,,,,,,,,,
Improved Turret Assembly,NES_StabilizedTurrets,,,,,,,TRUE,,,0,0,0,0,data.scripts.hullmods.NES_StabilizedTurrets,"Increases the base range of small non-beam energy weapons by %s.

""Replacing key components with exotic alloys does wonders indeed! The cost? Well, you see...""
  - Huey Randolph, chief engineer",Increases small weapon range,graphics/hullmods/nes_stabilizedturrets.png
Volt Color Selector,NES_ColorSelector_Volt,,,,,,,TRUE,TRUE,,0,0,0,0,data.scripts.hullmods.NES_ColorSelector_Volt,The Light Fantastic,,
Hull Livery: Classic,NES_Default,,,"req_spaceport, no_build_in",,,,TRUE,,,0,0,0,0,data.scripts.hullmods.NES_Volt_Default,"This ship can be personalized with custom markings. By tradition, the costs are covered from the captain's personal account, and as such, not reflected on the running fleet finances.

""Engravings... give you no tactical advantage whatsoever.""
  - Adam Baker, COMSEC operative",,graphics/hullmods/nes_voltaire_hullmod_Standard.png
Hull Livery: Vermillion,NES_Crimson,,,"req_spaceport, no_build_in",,,,TRUE,,,0,0,0,0,data.scripts.hullmods.NES_Volt_Crimson,"This ship can be personalized with custom markings. By tradition, the costs are covered from the captain's personal account, and as such, not reflected on the running fleet finances.

""Engravings... give you no tactical advantage whatsoever.""
  - Adam Baker, COMSEC operative",,graphics/hullmods/nes_voltaire_hullmod_Crimson.png
Hull Livery: Hazard,NES_Hazard,,,"req_spaceport, no_build_in",,,,TRUE,,,0,0,0,0,data.scripts.hullmods.NES_Volt_Hazard,"This ship can be personalized with custom markings. By tradition, the costs are covered from the captain's personal account, and as such, not reflected on the running fleet finances.

""Engravings... give you no tactical advantage whatsoever.""
  - Adam Baker, COMSEC operative",,graphics/hullmods/nes_voltaire_hullmod_Hazard.png
Hull Livery: Verdant,NES_Verdant,,,"req_spaceport, no_build_in",,,,TRUE,,,0,0,0,0,data.scripts.hullmods.NES_Volt_Verdant,"This ship can be personalized with custom markings. By tradition, the costs are covered from the captain's personal account, and as such, not reflected on the running fleet finances.

""Engravings... give you no tactical advantage whatsoever.""
  - Adam Baker, COMSEC operative",,graphics/hullmods/nes_voltaire_hullmod_Verdant.png
Hull Livery: Starlight,NES_Sparkle,,,"req_spaceport, no_build_in",,,,TRUE,,,0,0,0,0,data.scripts.hullmods.NES_Volt_Sparkle,"This ship can be personalized with custom markings. By tradition, the costs are covered from the captain's personal account, and as such, not reflected on the running fleet finances.

""Engravings... give you no tactical advantage whatsoever.""
  - Adam Baker, COMSEC operative",,graphics/hullmods/nes_voltaire_hullmod_Sparkle.png
Hull Livery: Black Ops,NES_Commando,,,"req_spaceport, no_build_in",,,,TRUE,,,0,0,0,0,data.scripts.hullmods.NES_Volt_Commando,"This ship can be personalized with custom markings. By tradition, the costs are covered from the captain's personal account, and as such, not reflected on the running fleet finances.

""Engravings... give you no tactical advantage whatsoever.""
  - Adam Baker, COMSEC operative",,graphics/hullmods/nes_voltaire_hullmod_Commando.png
,,,,,,,,,,,,,,,,,,
#Hammerfall,,,,,,,,,,,,,,,,,,
HF Color Selector,NES_ColorSelector_HF,,,,,,,TRUE,TRUE,,0,0,0,0,data.scripts.hullmods.NES_ColorSelector_HF,A Hat Full of Sky,,
Hull Livery: Explorer,NES_Explorer,,,"req_spaceport, no_build_in",,,,TRUE,,,0,0,0,0,data.scripts.hullmods.NES_HF_Explorer,"This ship can be personalized with custom markings. By tradition, the costs are covered from the captain's personal account, and as such, not reflected on the running fleet finances.

""Engravings... give you no tactical advantage whatsoever.""
  - Adam Baker, COMSEC operative",,graphics/hullmods/nes_hammerfall_hullmod_standard.png
Hull Livery: Surveyor,NES_Surveyor,,,"req_spaceport, no_build_in",,,,TRUE,,,0,0,0,0,data.scripts.hullmods.NES_HF_Surveyor,"This ship can be personalized with custom markings. By tradition, the costs are covered from the captain's personal account, and as such, not reflected on the running fleet finances.

""Engravings... give you no tactical advantage whatsoever.""
  - Adam Baker, COMSEC operative",,graphics/hullmods/nes_hammerfall_hullmod_surveyor.png
Hull Livery: Rogue,NES_Rogue,,,"req_spaceport, no_build_in",,,,TRUE,,,0,0,0,0,data.scripts.hullmods.NES_HF_Rogue,"This ship can be personalized with custom markings. By tradition, the costs are covered from the captain's personal account, and as such, not reflected on the running fleet finances.

""Engravings... give you no tactical advantage whatsoever.""
  - Adam Baker, COMSEC operative",,graphics/hullmods/nes_hammerfall_hullmod_rogue.png
Hull Livery: Infiltrator,NES_Infiltrator,,,"req_spaceport, no_build_in",,,,TRUE,,,0,0,0,0,data.scripts.hullmods.NES_HF_Infiltrator,"This ship can be personalized with custom markings. By tradition, the costs are covered from the captain's personal account, and as such, not reflected on the running fleet finances.

""Engravings... give you no tactical advantage whatsoever.""
  - Adam Baker, COMSEC operative",,graphics/hullmods/nes_hammerfall_hullmod_infiltrator.png
,,,,,,,,,,,,,,,,,,
#Hermitaur,,,,,,,,,,,,,,,,,,
Hot-Loaded Missiles,NES_FluxMissiles,,,,,,,TRUE,,,0,0,0,0,data.scripts.hullmods.NES_FluxMissiles,"Increases rate of fire, charge generation and reduces flux use for all missile weapons depending on the %s level, up to the maximum of %s at %s flux.

Reduces the ordnance point cost of large missile weapons by %s.",missile knows where it is,graphics/hullmods/nes_fluxmissiles.png
Herm Color Selector,NES_ColorSelector_Herm,,,,,,,TRUE,TRUE,,0,0,0,0,data.scripts.hullmods.NES_ColorSelector_Herm,Soul Music,,
Hull Livery: Antique,NES_Standard,,,"req_spaceport, no_build_in",,,,TRUE,,,0,0,0,0,data.scripts.hullmods.NES_Herm_Standard,"This ship can be personalized with custom markings. By tradition, the costs are covered from the captain's personal account, and as such, not reflected on the running fleet finances.

""Engravings... give you no tactical advantage whatsoever.""
  - Adam Baker, COMSEC operative",,graphics/hullmods/nes_hermitaur_hullmod_standard.png
Hull Livery: Devout,NES_Devout,,,"req_spaceport, no_build_in",,,,TRUE,,,0,0,0,0,data.scripts.hullmods.NES_Herm_Devout,"This ship can be personalized with custom markings. By tradition, the costs are covered from the captain's personal account, and as such, not reflected on the running fleet finances.

""Engravings... give you no tactical advantage whatsoever.""
  - Adam Baker, COMSEC operative",,graphics/hullmods/nes_hermitaur_hullmod_devout.png
Hull Livery: Riftborn,NES_Riftborn,,,"req_spaceport, no_build_in",,,,TRUE,,,0,0,0,0,data.scripts.hullmods.NES_Herm_Riftborn,"This ship can be personalized with custom markings. By tradition, the costs are covered from the captain's personal account, and as such, not reflected on the running fleet finances.

""Engravings... give you no tactical advantage whatsoever.""
  - Adam Baker, COMSEC operative",,graphics/hullmods/nes_hermitaur_hullmod_riftborn.png
Hull Livery: Marauder,NES_Marauder,,,"req_spaceport, no_build_in",,,,TRUE,,,0,0,0,0,data.scripts.hullmods.NES_Herm_Marauder,"This ship can be personalized with custom markings. By tradition, the costs are covered from the captain's personal account, and as such, not reflected on the running fleet finances.

""Engravings... give you no tactical advantage whatsoever.""
  - Adam Baker, COMSEC operative",,graphics/hullmods/nes_hermitaur_hullmod_marauder.png
,,,,,,,,,,,,,,,,,,
#Hampter,,,,,,,,,,,,,,,,,,
Hamter Color Selector,NES_ColorSelector_Hamter,,,,,,,TRUE,TRUE,,0,0,0,0,data.scripts.hullmods.NES_ColorSelector_Hamter,Sourcery,,
Hull Livery: Standard,NES_Austere,,,"req_spaceport, no_build_in",,,,TRUE,,,0,0,0,0,data.scripts.hullmods.NES_Hamter_Austere,"This ship can be personalized with custom markings. By tradition, the costs are covered from the captain's personal account, and as such, not reflected on the running fleet finances.

""Engravings... give you no tactical advantage whatsoever.""
  - Adam Baker, COMSEC operative",,graphics/hullmods/nes_hamter_hullmod_austere.png
Hull Livery: Cardinal,NES_Cardinal,,,"req_spaceport, no_build_in",,,,TRUE,,,0,0,0,0,data.scripts.hullmods.NES_Hamter_Cardinal,"This ship can be personalized with custom markings. By tradition, the costs are covered from the captain's personal account, and as such, not reflected on the running fleet finances.

""Engravings... give you no tactical advantage whatsoever.""
  - Adam Baker, COMSEC operative",,graphics/hullmods/nes_hamter_hullmod_cardinal.png
Hull Livery: Ivory,NES_Ivory,,,"req_spaceport, no_build_in",,,,TRUE,,,0,0,0,0,data.scripts.hullmods.NES_Hamter_Ivory,"This ship can be personalized with custom markings. By tradition, the costs are covered from the captain's personal account, and as such, not reflected on the running fleet finances.

""Engravings... give you no tactical advantage whatsoever.""
  - Adam Baker, COMSEC operative",,graphics/hullmods/nes_hamter_hullmod_ivory.png
Hull Livery: Starling,NES_Starling,,,"req_spaceport, no_build_in",,,,TRUE,,,0,0,0,0,data.scripts.hullmods.NES_Hamter_Starling,"This ship can be personalized with custom markings. By tradition, the costs are covered from the captain's personal account, and as such, not reflected on the running fleet finances.

""Engravings... give you no tactical advantage whatsoever.""
  - Adam Baker, COMSEC operative",,graphics/hullmods/nes_hamter_hullmod_starling.png
