fieldID,fieldName,fieldType,defaultValue,secondaryValue,fieldDescription,minValue,maxValue,tab
LUNA_CM_BIOFACTORY_REQUIRED_ORGANICS,BIOFACTORY_REQUIRED_ORGANICS,Int,8,,"Required organics to produce harvested organs.

[Default]: 8",0,100,Custom Stats
,,,,,,,,
shu_combatDroneReplicator,Expanded Fighter Manufactory,Header,Expanded Fighter Manufactory (Combat Drone Replicator),,,,,Custom Stats
LUNA_CM_DRONE_REPLICATOR_FIGHTER_REPLACEMENT_RATE_BONUS,DRONE_REPLICATOR_FIGHTER_REPLACEMENT_RATE_BONUS,Double,10,,"Reduces decay of fighter replacement rate.

[Default]: 10",0,500,Custom Stats
LUNA_CM_DRONE_REPLICATOR_RATE_DECREASE_MODIFIER,DRONE_REPLICATOR_RATE_DECREASE_MODIFIER,Double,20,,"Reduces fighter refit time.

[Default]: 20",0,500,Custom Stats
LUNA_CM_DRONE_REPLICATOR_COST_REDUCTION_FIGHTER_LPC,DRONE_REPLICATOR_COST_REDUCTION_FIGHTER_LPC,Double,1,,"Reduces OP cost of fighter LPC.

[Default]: 1",0,100,Custom Stats
LUNA_CM_DRONE_REPLICATOR_COST_REDUCTION_BOMBER_LPC,DRONE_REPLICATOR_COST_REDUCTION_BOMBER_LPC,Double,2,,"Reduces OP cost of bomber LPC.

[Default]: 2",0,100,Custom Stats
LUNA_CM_DRONE_REPLICATOR_EXTRA_BAY,DRONE_REPLICATOR_EXTRA_BAY,Double,1,,"Adds extra fighter bay.

[Default]: 1",0,50,Custom Stats
,,,,,,,,
shu_dealmakerHolosuite,Fleet Tactical Relay,Header,Fleet Tactical Relay (Dealmaker Holosuite),,,,,Custom Stats
LUNA_CM_DEALMAKER_FLEET_SPEED_FRIGATE_BONUS,DEALMAKER_FLEET_SPEED_FRIGATE_BONUS,Double,4,,"Grants bonus ECM rating in combat. (Frigate)

[Default]: 4",0,500,Custom Stats
LUNA_CM_DEALMAKER_FLEET_SPEED_DESTROYER_BONUS,DEALMAKER_FLEET_SPEED_DESTROYER_BONUS,Double,6,,"Grants bonus ECM rating in combat. (Destroyer)

[Default]: 6",0,500,Custom Stats
LUNA_CM_DEALMAKER_FLEET_SPEED_CRUISER_BONUS,DEALMAKER_FLEET_SPEED_CRUISER_BONUS,Double,8,,"Grants bonus ECM rating in combat. (Cruiser)

[Default]: 8",0,500,Custom Stats
LUNA_CM_DEALMAKER_FLEET_SPEED_CAPITAL_BONUS,DEALMAKER_FLEET_SPEED_CAPITAL_BONUS,Double,10,,"Grants bonus ECM rating in combat. (Capital)

[Default]: 10",0,500,Custom Stats
LUNA_CM_DEALMAKER_ECM_FRIGATE_BONUS,DEALMAKER_ECM_FRIGATE_BONUS,Double,5,,"Increases top speed of allies in combat. (Frigate)

[Default]: 5",0,500,Custom Stats
LUNA_CM_DEALMAKER_ECM_DESTROYER_BONUS,DEALMAKER_ECM_DESTROYER_BONUS,Double,10,,"Increases top speed of allies in combat. (Destroyer)

[Default]: 10",0,500,Custom Stats
LUNA_CM_DEALMAKER_ECM_CRUISER_BONUS,DEALMAKER_ECM_CRUISER_BONUS,Double,15,,"Increases top speed of allies in combat. (Cruiser)

[Default]: 15",0,500,Custom Stats
LUNA_CM_DEALMAKER_ECM_CAPITAL_BONUS,DEALMAKER_ECM_CAPITAL_BONUS,Double,20,,"Increases top speed of allies in combat. (Capital)

[Default]: 20",0,500,Custom Stats
LUNA_CM_DEALMAKER_COMMAND_RECOVERY_BONUS,DEALMAKER_COMMAND_RECOVERY_BONUS,Double,150,,"Increases command point recovery rate.

[Default]: 150",0,500,Custom Stats
,,,,,,,,
shu_hypershuntTap,Flux Hypershunt,Header,Flux Hypershunt (Hypershunt Tap),,,,,Custom Stats
LUNA_CM_HYPERSHUNT_VENT_BONUS,HYPERSHUNT_VENT_BONUS,Double,10,,"Increases flux dissipation.

[Default]: 10",0,500,Custom Stats
LUNA_CM_HYPERSHUNT_HARD_FLUX_DISSIPATION_PERCENT,HYPERSHUNT_HARD_FLUX_DISSIPATION_PERCENT,Double,25,,"Dissipates hard flux while shields are up.

[Default]: 25",0,500,Custom Stats
LUNA_CM_HYPERSHUNT_FLUX_DISSIPATION_MULT,HYPERSHUNT_FLUX_DISSIPATION_MULT,Double,40,,"Improves active vent rate.

[Default]: 40",0,500,Custom Stats
,,,,,,,,
shu_mantleBore,High-Throttled Weapon Torque,Header,High-Throttled Weapon Torque (Mantle Bore),,,,,Custom Stats
LUNA_CM_MANTLEBORE_BALLISTIC_RANGE_BONUS,MANTLEBORE_BALLISTIC_RANGE_BONUS,Double,10,,"Increases ballistic weapon range.

[Default]: 10",0,500,Custom Stats
LUNA_CM_MANTLEBORE_HIT_STR,MANTLEBORE_HIT_STR,Double,10,,"Increases hit strength of weapons to armor.

[Default]: 10",0,500,Custom Stats
LUNA_CM_MANTLEBORE_PROJ_SPEED_BONUS,MANTLEBORE_PROJ_SPEED_BONUS,Double,30,,"Increases weapon projectile speed.

[Default]: 30",0,500,Custom Stats
LUNA_CM_MANTLEBORE_RECOIL_BONUS,MANTLEBORE_RECOIL_BONUS,Double,60,,"Reduces weapon recoil.

[Default]: 60",0,500,Custom Stats
,,,,,,,,
shu_catalyticCore,Maintenance Optimizer,Header,Maintenance Optimizer (Catalytic Core),,,,,Custom Stats
LUNA_CM_CATALYTIC_CORE_MALFUNCTION_REDUCTION,CATALYTIC_CORE_MALFUNCTION_REDUCTION,Double,25,,"Reduces chance of ship's critical malfunctions.

[Default]: 25",0,500,Custom Stats
LUNA_CM_CATALYTIC_DEGRADE_REDUCTION_PERCENT,CATALYTIC_DEGRADE_REDUCTION_PERCENT,Double,30,,"Reduces the CR degradation rate.

[Default]: 30",0,500,Custom Stats
LUNA_CM_CATALYTIC_CR_PEAK_BONUS,CATALYTIC_CR_PEAK_BONUS,Double,40,,"Increases maximum peak operating time.

[Default]: 40",0,500,Custom Stats
LUNA_CM_CATALYTIC_SUPPLY_REDUCTION,CATALYTIC_SUPPLY_REDUCTION,Double,50,,"Decreases the supply usage.

[Default]: 50",0,500,Custom Stats
,,,,,,,,
shu_soilNanite,Nanite Swarm Cluster,Header,Nanite Swarm Cluster (Soil Nanite),,,,,Custom Stats
LUNA_CM_SOILNANITE_COMBAT_REPAIR_BONUS,SOILNANITE_COMBAT_REPAIR_BONUS,Double,60,,"Increases engine & weapon repair rate in combat.

[Default]: 60",0,500,Custom Stats
LUNA_CM_SOILNANITE_ARMOR_FRIGATE_BONUS,SOILNANITE_ARMOR_FRIGATE_BONUS,Double,50,,"Increases ship's armor rating. (Frigate)

[Default]: 50",0,500,Custom Stats
LUNA_CM_SOILNANITE_ARMOR_DESTROYER_BONUS,SOILNANITE_ARMOR_DESTROYER_BONUS,Double,100,,"Increases ship's armor rating. (Destroyer)

[Default]: 100",0,500,Custom Stats
LUNA_CM_SOILNANITE_ARMOR_CRUISER_BONUS,SOILNANITE_ARMOR_CRUISER_BONUS,Double,150,,"Increases ship's armor rating. (Cruiser)

[Default]: 150",0,500,Custom Stats
LUNA_CM_SOILNANITE_ARMOR_CAPITAL_BONUS,SOILNANITE_ARMOR_CAPITAL_BONUS,Double,200,,"Increases ship's armor rating. (Capital)

[Default]: 200",0,500,Custom Stats
,,,,,,,,
shu_fullreneSpool,Orbital Filament Anchor,Header,Orbital Filament Anchor (Fullerene Spool),,,,,Custom Stats
LUNA_CM_FULLLERENESPOOL_SURVEY_REDUCTION_FRIGATE,FULLLERENESPOOL_SURVEY_REDUCTION_FRIGATE,Double,10,,"Reduces survey operation cost. (Frigate)

[Default]: 10",0,500,Custom Stats
LUNA_CM_FULLLERENESPOOL_SURVEY_REDUCTION_DESTROYER,FULLLERENESPOOL_SURVEY_REDUCTION_DESTROYER,Double,20,,"Reduces survey operation cost. (Destroyer)

[Default]: 20",0,500,Custom Stats
LUNA_CM_FULLLERENESPOOL_SURVEY_REDUCTION_CRUISER,FULLLERENESPOOL_SURVEY_REDUCTION_CRUISER,Double,30,,"Reduces survey operation cost. (Cruiser)

[Default]: 30",0,500,Custom Stats
LUNA_CM_FULLLERENESPOOL_SURVEY_REDUCTION_CAPITAL,FULLLERENESPOOL_SURVEY_REDUCTION_CAPITAL,Double,50,,"Reduces survey operation cost. (Capital)

[Default]: 50",0,500,Custom Stats
LUNA_CM_FULLLERENESPOOL_SALVAGE_BONUS_FRIGATE,FULLLERENESPOOL_SALVAGE_BONUS_FRIGATE,Double,5,,"Increases resources gained from salvage. (Frigate)

[Default]: 5",0,500,Custom Stats
LUNA_CM_FULLLERENESPOOL_SALVAGE_BONUS_DESTROYER,FULLLERENESPOOL_SALVAGE_BONUS_DESTROYER,Double,10,,"Increases resources gained from salvage. (Destroyer)

[Default]: 10",0,500,Custom Stats
LUNA_CM_FULLLERENESPOOL_SALVAGE_BONUS_CRUISER,FULLLERENESPOOL_SALVAGE_BONUS_CRUISER,Double,15,,"Increases resources gained from salvage. (Cruiser)

[Default]: 15",0,500,Custom Stats
LUNA_CM_FULLLERENESPOOL_SALVAGE_BONUS_CAPITAL,FULLLERENESPOOL_SALVAGE_BONUS_CAPITAL,Double,20,,"Increases resources gained from salvage. (Capital)

[Default]: 20",0,500,Custom Stats
LUNA_CM_FULLLERENESPOOL_RARE_LOOT_BONUS_FRIGATE,FULLLERENESPOOL_RARE_LOOT_BONUS_FRIGATE,Double,2,,"Increases chance of rare loot from salvage. (Frigate)

[Default]: 2",0,500,Custom Stats
LUNA_CM_FULLLERENESPOOL_RARE_LOOT_BONUS_DESTROYER,FULLLERENESPOOL_RARE_LOOT_BONUS_DESTROYER,Double,4,,"Increases chance of rare loot from salvage. (Destroyer)

[Default]: 4",0,500,Custom Stats
LUNA_CM_FULLLERENESPOOL_RARE_LOOT_BONUS_CRUISER,FULLLERENESPOOL_RARE_LOOT_BONUS_CRUISER,Double,6,,"Increases chance of rare loot from salvage. (Cruiser)

[Default]: 6",0,500,Custom Stats
LUNA_CM_FULLLERENESPOOL_RARE_LOOT_BONUS_CAPITAL,FULLLERENESPOOL_RARE_LOOT_BONUS_CAPITAL,Double,8,,"Increases chance of rare loot from salvage. (Capital)

[Default]: 8",0,500,Custom Stats
,,,,,,,,
shu_plasmaDynamo,Plasma-Charged Shield Emitter,Header,Plasma-Charged Shield Emitter (Plasma Dynamo),,,,,Custom Stats
LUNA_CM_PLASMADYNAMO_SHIELD_BONUS,PLASMADYNAMO_SHIELD_BONUS,Double,25,,"Reduces damage taken by shields.

[Default]: 25",0,500,Custom Stats
LUNA_CM_PLASMADYNAMO_SHIELD_RATE,PLASMADYNAMO_SHIELD_RATE,Double,50,,"Improves shield raise and turn rate.

[Default]: 50",0,500,Custom Stats
LUNA_CM_PLASMADYNAMO_SHIELD_UPKEEP_BONUS,PLASMADYNAMO_SHIELD_UPKEEP_BONUS,Double,60,,"Reduces shield upkeep.

[Default]: 60",0,500,Custom Stats
LUNA_CM_PLASMADYNAMO_SHIELD_ARC_BONUS,PLASMADYNAMO_SHIELD_ARC_BONUS,Double,90,,"Increases the shield's coverage.

[Default]: 90",0,500,Custom Stats
,,,,,,,,
shu_cryoarithmeticEngine,Quantum Heatsink,Header,Quantum Heatsink (Cryoarithmetic Engine),,,,,Custom Stats
LUNA_CM_CRYOARITHMETICENGINE_FLUX_REDUC_PERCENT,CRYOARITHMETICENGINE_FLUX_REDUC_PERCENT,Double,25,,"Reduces weapon flux cost.

[Default]: 25",0,500,Custom Stats
LUNA_CM_CRYOARITHMETICENGINE_ENGINE_HEALTH_BONUS,CRYOARITHMETICENGINE_ENGINE_HEALTH_BONUS,Double,100,,"Increases engine durability.

[Default]: 100",0,500,Custom Stats
LUNA_CM_CRYOARITHMETICENGINE_SPEED_FRIGATE_BONUS,CRYOARITHMETICENGINE_SPEED_FRIGATE_BONUS,Double,20,,"Maximum top speed increase. (Frigate)

[Default]: 20",0,500,Custom Stats
LUNA_CM_CRYOARITHMETICENGINE_SPEED_DESTROYER_BONUS,CRYOARITHMETICENGINE_SPEED_DESTROYER_BONUS,Double,15,,"Maximum top speed increase. (Destroyer)

[Default]: 15",0,500,Custom Stats
LUNA_CM_CRYOARITHMETICENGINE_SPEED_CRUISER_BONUS,CRYOARITHMETICENGINE_SPEED_CRUISER_BONUS,Double,10,,"Maximum top speed increase. (Cruiser)

[Default]: 10",0,500,Custom Stats
LUNA_CM_CRYOARITHMETICENGINE_SPEED_CAPITAL_BONUS,CRYOARITHMETICENGINE_SPEED_CAPITAL_BONUS,Double,5,,"Maximum top speed increase. (Capital)

[Default]: 5",0,500,Custom Stats
,,,,,,,,
shu_synchrotonCore,Synchro-Fuel Loader,Header,Synchro-Fuel Loader (Synchroton Core),,,,,Custom Stats
LUNA_CM_SYNCHROTON_MAX_BURN_BONUS,SYNCHROTON_MAX_BURN_BONUS,Double,1,,"Increases ship's max burn level.

[Default]: 1",0,500,Custom Stats
LUNA_CM_SYNCHROTON_FLEET_BOMBARDMENT_REDUCTION_FRIGATE_BONUS,SYNCHROTON_FLEET_BOMBARDMENT_REDUCTION_FRIGATE_BONUS,Double,30,,"Orbital bombardment cost reduction. (Frigate)

[Default]: 30",0,500,Custom Stats
LUNA_CM_SYNCHROTON_FLEET_BOMBARDMENT_REDUCTION_DESTROYER_BONUS,SYNCHROTON_FLEET_BOMBARDMENT_REDUCTION_DESTROYER_BONUS,Double,60,,"Orbital bombardment cost reduction. (Destroyer)

[Default]: 60",0,500,Custom Stats
LUNA_CM_SYNCHROTON_FLEET_BOMBARDMENT_REDUCTION_CRUISER_BONUS,SYNCHROTON_FLEET_BOMBARDMENT_REDUCTION_CRUISER_BONUS,Double,80,,"Orbital bombardment cost reduction. (Cruiser)

[Default]: 80",0,500,Custom Stats
LUNA_CM_SYNCHROTON_FLEET_BOMBARDMENT_REDUCTION_CAPITAL_BONUS,SYNCHROTON_FLEET_BOMBARDMENT_REDUCTION_CAPITAL_BONUS,Double,100,,"Orbital bombardment cost reduction. (Capital)

[Default]: 100",0,500,Custom Stats
,,,,,,,,
shu_fusionLamp,Variable Fusion Capacitors,Header,Variable Fusion Capacitors (Fusion Lamp),,,,,Custom Stats
LUNA_CM_FUSIONLAMP_DAMAGE_BONUS,FUSIONLAMP_DAMAGE_BONUS,Double,5,,"Increases beam and energy weapon damage.

[Default]: 5",0,500,Custom Stats
LUNA_CM_FUSIONLAMP_FLUX_REDUC,FUSIONLAMP_FLUX_REDUC,Double,10,,"Reduces flux cost of beam weapons.

[Default]: 10",0,500,Custom Stats
LUNA_CM_FUSIONLAMP_SHIELD_DAMAGE_BONUS,FUSIONLAMP_SHIELD_DAMAGE_BONUS,Double,15,,"Increases damage dealt to shields.

[Default]: 15",0,500,Custom Stats
LUNA_CM_FUSIONLAMP_RANGE_BONUS,FUSIONLAMP_RANGE_BONUS,Double,20,,"Increases beam and energy weapon range.

[Default]: 20",0,500,Custom Stats
,,,,,,,,
#COLLABORATION HULLMODS,,,,,,,,
shu_collabHullmodsSFC,Sindrian Fuel Company Collaboration Hullmods,Header,Sindrian Fuel Company Collaboration Hullmods,,,,,Custom Stats
shu_fighterNanoboosters,Fighter Nanoboosters,Header,Fighter Nanoboosters (Aquatic Stimulator),,Fighter Nanoboosters (Aquatic Stimulator),,,Custom Stats
LUNA_CM_SFC_AQUATICSTIMULATOR_BEAM_DAMAGE_ENERGY_REDUCTION_BONUS,AQUATICSTIMULATOR_BEAM_DAMAGE_ENERGY_REDUCTION_BONUS,Double,20,,"Reduces beam and energy damage taken.

[Default]: 20",0,500,Custom Stats
LUNA_CM_SFC_AQUATICSTIMULATOR_EMP_DAMAGE_REDUCTION_BONUS,AQUATICSTIMULATOR_EMP_DAMAGE_REDUCTION_BONUS,Double,25,,"Reduces EMP damage taken.

[Default]: 25",0,500,Custom Stats
LUNA_CM_SFC_AQUATICSTIMULATOR_SOLAR_CORONA_STORM_NEGATIVE_REDUCTION_BONUS,AQUATICSTIMULATOR_SOLAR_CORONA_STORM_NEGATIVE_REDUCTION_BONUS,Double,25,,"Resistance to solar corona and hyperspace storm.

[Default]: 25",0,500,Custom Stats
,,,,,,,,
shu_pspaceStabilizer,P-Space Stabilizer,Header,P-Space Stabilizer (Mote Megacondenser),,P-Space Stabilizer (Mote Megacondenser),,,Custom Stats
LUNA_CM_SFC_MOTEMEGACONDENSER_PHASE_CD_REDUCTION_BONUS,MOTEMEGACONDENSER_PHASE_CD_REDUCTION_BONUS,Double,10,,"Reduces phase cooldown.

[Default]: 10",0,500,Custom Stats
LUNA_CM_SFC_MOTEMEGACONDENSER_PHASE_UPKEEP_REDUCTION_BONUS,MOTEMEGACONDENSER_PHASE_UPKEEP_REDUCTION_BONUS,Double,15,,"Reduces phase upkeep cost.

[Default]:15",0,500,Custom Stats
LUNA_CM_SFC_MOTEMEGACONDENSER_PHASE_ACTIVATION_COSE_REDUCTION_BONUS,MOTEMEGACONDENSER_PHASE_ACTIVATION_COSE_REDUCTION_BONUS,Double,20,,"Reduces phase activation cost.

[Default]: 20",0,500,Custom Stats
LUNA_CM_SFC_MOTEMEGACONDENSER_PHASE_HARDFLUX_IMPACT_REDUCTION_BONUS,MOTEMEGACONDENSER_PHASE_HARDFLUX_IMPACT_REDUCTION_BONUS,Double,60,,"Reduces impact of hard flux level on top speed while phased.

[Default]: 60",0,500,Custom Stats
,,,,,,,,
shu_collabHullmodsUAF,United Auroran Federation Collaboration Hullmods,Header,United Auroran Federation Collaboration Hullmods,,,,,Custom Stats
shu_auroranServosyncPump,Drive Field Actuator,Header,Drive Field Actuator (Auroran Servosync Pump),,Drive Field Actuator (Auroran Servosync Pump),,,Custom Stats
LUNA_CM_UAF_SERVOSYNCPUMP_ENGINE_DURABILITY_BONUS,SERVOSYNCPUMP_ENGINE_DURABILITY_BONUS,Double,50,,"Increases engine durability.

[Default]: 50",0,500,Custom Stats
LUNA_CM_UAF_SERVOSYNCPUMP_ZERO_FLUX_SPEED_BONUS,SERVOSYNCPUMP_ZERO_FLUX_SPEED_BONUS,Double,20,,"Increases zero-flux speed bonus.

[Default]: 20",0,500,Custom Stats
LUNA_CM_UAF_SERVOSYNCPUMP_ZERO_FLUX_LEVEL_MOVEMENT_BONUS,SERVOSYNCPUMP_ZERO_FLUX_LEVEL_MOVEMENT_BONUS,Double,30,,"Zero-flux movement speed bonus at 30 percent flux level and below.

[Default]: 30",0,500,Custom Stats
,,,,,,,,
shu_auroranDimensionalStove,Dynamic Utility System,Header,Dynamic Utility System (Auroran Dimensional Stove),,Dynamic Utility System (Auroran Dimensional Stove),,,Custom Stats
LUNA_CM_UAF_DIMENSIONALSTOVE_MAX_CR_BONUS,DIMENSIONALSTOVE_MAX_CR_BONUS,Double,10,,"Increases max combat readines.

[Default]: 10",0,500,Custom Stats
LUNA_CM_UAF_DIMENSIONALSTOVE_SYSTEM_COOLDOWN_REDUCTION,DIMENSIONALSTOVE_SYSTEM_COOLDOWN_REDUCTION,Double,30,,"Decreases ship's system cooldown.

[Default]: 30",0,500,Custom Stats
LUNA_CM_UAF_DIMENSIONALSTOVE_SYSTEM_REGEN_BONUS,DIMENSIONALSTOVE_SYSTEM_REGEN_BONUS,Double,40,,"Increases ship's system regeneration rate.

[Default]: 40",0,500,Custom Stats
,,,,,,,,
shu_auroranDimensionalNanoforge,Fighter Autoforge,Header,Fighter Autoforge (Auroran Dimensional Nanoforge),,Fighter Autoforge (Auroran Dimensional Nanoforge),,,Custom Stats
LUNA_CM_UAF_DIMENSIONALNANOFORGE_FIGHTER_REFIT_TIME_REDUCTION,DIMENSIONALNANOFORGE_FIGHTER_REFIT_TIME_REDUCTION,Double,20,,"Reduces fighter refit time.

[Default]: 20",0,500,Custom Stats
LUNA_CM_UAF_DIMENSIONALNANOFORGE_FIGHTER_HULL_ARMOR_BONUS,DIMENSIONALNANOFORGE_FIGHTER_HULL_ARMOR_BONUS,Double,30,,"Increases fighter's hull & armor rating.

[Default]: 30",0,500,Custom Stats
LUNA_CM_UAF_DIMENSIONALNANOFORGE_FIGHTER_WEAPON_AMMO_BONUS,DIMENSIONALNANOFORGE_FIGHTER_WEAPON_AMMO_BONUS,Double,50,,"Increases fighter's weapon ammo count.

[Default]: 50",0,500,Custom Stats
,,,,,,,,
shu_auroranGarrisonTransmitter,Flight Control Transmitter,Header,Flight Control Transmitter (Auroran Garrison Transmitter),,Flight Control Transmitter (Auroran Garrison Transmitter),,,Custom Stats
LUNA_CM_UAF_GARRISONTRANSMITTER_FIGHTER_SPEED_BONUS,GARRISONTRANSMITTER_FIGHTER_SPEED_BONUS,Double,20,,"Increases fighter speed.

[Default]: 20",0,500,Custom Stats
LUNA_CM_UAF_GARRISONTRANSMITTER_FIGHTER_DAMAGE_TO_SHIP_BONUS,GARRISONTRANSMITTER_FIGHTER_DAMAGE_TO_SHIP_BONUS,Double,20,,"Increases fighter's damage dealt to ships.

[Default]: 20",0,500,Custom Stats
LUNA_CM_UAF_GARRISONTRANSMITTER_FIGHTER_DAMAGE_TO_MISSILE_BONUS,GARRISONTRANSMITTER_FIGHTER_DAMAGE_TO_MISSILE_BONUS,Double,30,,"Increases fighter's damage dealt to missiles.

[Default]: 30",0,500,Custom Stats
,,,,,,,,
shu_auroranModularPurifier,Logistic Analyzer,Header,Logistic Analyzer (Auroran Modular Purifier),,Logistic Analyzer (Auroran Modular Purifier),,,Custom Stats
LUNA_CM_UAF_MODULARPURIFIER_MIN_CREW_REQUIREMENT_REDUCTION,MODULARPURIFIER_MIN_CREW_REQUIREMENT_REDUCTION,Double,30,,"Reduces minimum crew requirement.

[Default]: 30",0,500,Custom Stats
LUNA_CM_UAF_MODULARPURIFIER_SUPPLY_COST_RECOVER_FROM_DEPLOYMENT_REDUCTION,MODULARPURIFIER_SUPPLY_COST_RECOVER_FROM_DEPLOYMENT_REDUCTION,Double,40,,"Reduces supply cost to recover from deployment.

[Default]: 40",0,500,Custom Stats
LUNA_CM_UAF_MODULARPURIFIER_DEPLOYMENT_COST_REDUCTION_REDUCTION,MODULARPURIFIER_DEPLOYMENT_COST_REDUCTION_REDUCTION,Double,5,,"Reduces deployment cost.

[Default]: 5",0,500,Custom Stats
,,,,,,,,
