bounty_id,level,rank,firstName,lastName,captainPersonality,fleetName,flagshipName,gender,faction,portrait,greetingText,suppressIntel,postedByFaction,creditReward,repReward,intelText,flagshipVariantId,fleetVariantIds,minimumFleetFP,playerFPScalingFactor,chanceToAutoRecover,specialItemRewards,neverSpawnUnlessBountiesCompleted,neverSpawnWhenFactionHostile,neverSpawnWhenFactionNonHostile,neverSpawnBeforeCycle,neverSpawnBeforeLevel,neverSpawnBeforeFleetPoints
# fleetName : full name of bounty fleet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# flagshipName : name of flagship. Needs to include prefix as it won't have it otherwise,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# gender : must match a gender enum in FullName,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# faction : faction id for bounty fleet and captain,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# portrait : filepath for bounty portrait. Must be loaded by the game,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# greetingText : full text that displays if/when you open comms with bounty fleet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# suppressIntel : if TRUE do not show intel event when bounty spawns,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# postedByFaction : faction shown in intel panel as issuer of bounty. Also faction which rep reward applies to,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# creditReward : credits paid out for bounty,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# repReward : reputation points with issuing faction paid out for bounty on a 100 point scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# intelText : text what goes in the intel panel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# flagshipVariant : variant ID of bounty flagship. Will NOT use autofit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# fleetVariants : comma seperated list of variant ids for rest of bounty fleet. Will NOT use autofit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# minimumFleetFP : random autofit faction ships will be added to fleet until its FP passes this number. Will NOT use autofit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# playerFPScalingFactor : random faction ships will be added to fleet until its FP passes the player fleet FP multiplied by this number. Will NOT use autofit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# chanceToAutoRecover : fractional chance to automatically recover with maximum D-mods. Does NOT affect standard recovery chance. Optional: default 1 aka 100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# specialItemsList : comma seperated list of special item ids dropped by fleet.  CURRENTLY DOES NOT WORK SORRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnUnlessBountiesCompleted : comma seperated list of unique bounty IDs required to be in 'spent bounties' list before bounty will spawn. Will account for bounties which have been manually deactivated via script as well as those are 'spent' to remove them.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnWhenFactionHostile : if TRUE never spawn when player is hostile to issuing faction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnWhenFactionNonHostile: if TRUE never spawn when player is friendly or neutral to target faction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnBeforeCycle : if over 206 never spawn before said cycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnBeforeLevel : if over 1 never spawn when player is below said character level,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnBeforeFleetPoints : if over 1 never spawn when player fleet is less than said fleet points,,,,,,,,,,,,,,,,,,,,,,,,,,,,
