name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number,Column 48,Column 49
,all_goat_fire_b,,,,500,,200,,,,,,,,HIGH_EXPLOSIVE,,,,,,,,,,,,400,,,,SYSTEM,,,,,,,,,,,,,,,,,
Dazzle MRM Pod,all_goat_dazzle_m,2,,2500,1800,,800,,100,5,15,13,,,KINETIC,,,0,8.85,3,0.05,15,15,0,0,,650,50,5,50,DO_NOT_AIM,"missile7, goat_bp_w",,Goathead Aviation,,Anti-Shield,Fast,Good,,,,,,,TRUE,,,
Convection LRM Launcher,all_goat_hot,1,,1300,5000,,500,,,6,9,80,,,HIGH_EXPLOSIVE,,,,6.5,2,0.5,0,0,0,0,,200,220,19,600,DO_NOT_AIM,goat_bp_w,,Goathead Aviation,,Anti Point Defense,Fast,Good,,,Splits into several flares that closely orbit the target.,,,,TRUE,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Small Missile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gloom E-SRM Launcher,all_goat_gloomy_s,0,0.8,550,900,,150,,,30,5,25,,,ENERGY,,,,2.75,5,0.05,2,15,5,1,,500,100,1.8,30,"PD,DO_NOT_AIM","missile7, goat_bp_w",,Goathead Aviation,,Anti-Small Craft,Fast,Excellent,,,,,,,TRUE,,,
Megahalberd LRT,all_goat_giant_halberd_s,1,0.5,450,3500,,4500,,500,10,4,1,,,HIGH_EXPLOSIVE,2000,,0,15,1,,0,0,0,0,,850,100,4,1200,DO_NOT_AIM,"missile6, strike0, goat_bp_w",,Goathead Aviation,,Destruction Strike,Fast,Pre-Aimed,,,"Carries a two-stage engine: after acquiring the target, stage two will engage and propel the missile at incredible velocity.",,,,TRUE,,,
,all_goat_giant_halberd_s1,,,,4000,,4500,,500,,,,,,HIGH_EXPLOSIVE,0,,,,,,,,,,,900,50,3.0,500,SYSTEM,,,,,,,,,,,,,,,,,
,all_goat_giant_halberd_s2,,,,4000,,1,,,,,,,,HIGH_EXPLOSIVE,0,,,,,,,,,,,0,0,3,50,SYSTEM,,,,,,,,,,,,,,,,,
,all_goat_giant_halberd_s3,,,,4000,,1,,,,,,,,HIGH_EXPLOSIVE,0,,,,,,,,,,,0,0,3,50,SYSTEM,,,,,,,,,,,,,,,,,
,all_goat_giant_halberd_s4,,,,4000,,1,,,,,,,,HIGH_EXPLOSIVE,0,,,,,,,,,,,0,0,3,50,SYSTEM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Large Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moonrider Accelerator,all_goat_diiscipline,3,0.5,9000,500,,1000,,8258100,7,28,4,0.3,4,KINETIC,1600,,0,1.5,,,0,0.1,0.01,0.1,,1900,,,,FIRE_WHEN_INEFFICIENT,"energy20, beam15, LR, goat_bp_w",,Goathead Aviation,,Rapid Shield Breaking,,,,,Base range is increased by %s when mounted in a hybrid slot.,200,,,,9196331,,
Thermal Autoblaster,all_goat_admonish,2,,7500,350,1000,500,,200,6,25,,,,ENERGY,600,,,0.5,,,2,10,2,5,,650,,,,FIRE_WHEN_INEFFICIENT,"energy20, hist1t, merc, goat_bp_w",,Goathead Aviation,,General Purpose,,,,,Base range is increased by %s when mounted in a hybrid slot.,200,,,,9196332,,
Bristle Explosion Lance,all_goat_punish,2,,8000,900,3273,,,50,5,30,,,,HIGH_EXPLOSIVE,,1966,1.1,1.2,0.3,2.9,0,0.1,0.01,0.1,6200,,,,,"CONSERVE_FOR_ANTI_ARMOR,STRIKE, USE_VS_FRIGATES","energy20, beam15, LR, hist1t, merc, goat_bp_w",,Goathead Aviation,,Armor Erasure,,,,,"The beam will generate phase explosions along its length, each explosion doing %s fragmentation damage: more explosions will hit the enemy the closer they are when the beam makes contact.",150,,,,,,
,all_goat_punish_minelayer,,,,,,150,,25,,,,,,FRAGMENTATION,0,,,,1,,,,,,,0,0,20,1000,SYSTEM,,SYSTEM,,,,,,,,,,,,,,,38.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Medium Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polarity Autopulser,all_goat_implement,1,,1800,600,85,40,700,,25,14,,,,ENERGY,65,,0.2,0.7,4,0.1,3,6,0.5,5.5,,750,,,,ANTI_FTR,"energy2, goat_bp_w",,Goathead Aviation,,Suppression,,,,,"When hitting a non-missile target on armor or hull, there is a %s chance of generating an EMP arc which strikes weapons and engines, dealing damage equal to the original hit. Unstable projectiles may randomly detonate past half range.

Base range is increased by %s when mounted in a hybrid slot.",40%|300,,,,,,
Triple Gravitic Laser,all_goat_rhythm,0,,1800,800,250,,5,300,55,10,,,,FRAGMENTATION,,150,0.3,0.1,0.3,0.1,5,0,0,0,10500,,,,,PD,"energy10, goat_bp_w",,Goathead Aviation,,Point Defense,,,,,Gravitic effects slow and push target off-course. The effect is most noticeable vs fighters and missiles.,,,,,,,
Beachhead Polarization Lance,all_goat_invasion,2,,1800,700,950,,,2,45,15,,,,KINETIC,,2000,,3,0.5,1,5,0,0,0,2100,,,,,,"energy20, goat_bp_w",,Goathead Aviation,,Anti-Shield,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Large Ballistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howler Breach Cannon,all_goat_howl,2,,5400,1200,,550,,50,8,24,,,,HIGH_EXPLOSIVE,900,,0.4,2.3,,,1,10,1,2,,1500,,,,,"he18,goat_bp_w",,Goathead Aviation,,Suppression,,,,,Deals an additional %s damage to armor: this damage is not affected by armor damage reduction.,150,,,,,,
Bombard Cannon,all_goat_bombard,1,,3800,800,,550,,120,4,28,,,,HIGH_EXPLOSIVE,450,,,3,2,0.3,1,12,1,1,,850,,,,,"he18,goat_bp_w",,Goathead Aviation,,Anti Armor,,,,,,,,,,,,
Cloudcover Chaingun,all_goat_zeal,0,,5000,1000,1000,166,,10,13,26,,,,FRAGMENTATION,35,,,0.101,,,0.5,10,0.05,1,,1100,,,,ANTI_FTR,goat_bp_w,,Goathead Aviation,,Anti Hull,,,,,,,,,,,,
Rising Tide Superheavy Mortar,all_goat_raise,1,,3800,1000,,850,,920,4,20,,,,KINETIC,1150,,,4.5,,,1,25,5,2,,550,,,,,goat_bp_w,,Goathead Aviation,,Anti Shield,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Medium Ballistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shattercannon,all_goat_gnaw,2,,2000,600,,100,,10,20,13,6,1.5,6,KINETIC,115,,0.3,0.5,2,0.05,1,8,2,6,,650,,,,,"kinetic15, remnant,goat_bp_w",,Goathead Aviation,,Anti Shield,,,,,Base range is increased by %s when installed in a hybrid slot.,150,,,,,,
,all_goat_gnaw1,,,,800,,100,,10,,,,,,KINETIC,,,,,,,,,,,,1200,,,,SYSTEM,,,,,,,,,,,,,,,,,
Heavy Oilgun,all_goat_lash,0,,2300,650,,120,,100,15,10,,,,HIGH_EXPLOSIVE,100,,0.2,1.2,,,4,20,4,5,,560,,,,ANTI_FTR,goat_bp_w,,Goathead Aviation,,Anti Armor,,,,,"Each shell has a fuse set to explode at a random distance, resulting in a barrage that's increasingly more deadly at closer ranges.",,,,,,,
Pounder Compact Cannon,all_goat_dash,1,,1200,800,,450,,,11,12,,,,HIGH_EXPLOSIVE,400,,,4,,,2,12,0.5,6,,888,,,,,goat_bp_w,,Goathead Aviation,,Anti Armor,,,,,,,,,,,,
Powerfist Autocannon,all_goat_heavyfist,1,,2000,1000,,130,,50000000,6,11,,,,KINETIC,120,,,1,,,0,15,0.5,3.5,,1100,,,,,"kinetic10,goat_bp_w",,Goathead Aviation,,Anti Shield,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Small Ballistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thunderfist Coilgun,all_goat_punch,1,,350,800,80,80,,,24,6,,,,KINETIC,100,40,,4.2,6,0.06,0,4,1,2,,1600,,,,,"kinetic8, LR, remnant,goat_bp_w",,Goathead Aviation,,Anti Shield,,,,,,,,,,,,
Grapple Typewriter,all_goat_grasp,0,,200,200,250,45,,10,40,4,,,,FRAGMENTATION,1.5,25,,0.1,,,0,5,1,1,,1200,,,,PD,"pd7, SR, goat_bp_w",,Goathead Aviation,,Point Defense,,,,,,,,,,,,
Light Oilgun,all_goat_lash_s,0,,230,650,,120,,,15,5,,,,HIGH_EXPLOSIVE,150,,0.1,1.1,,,4,20,4,5,,560,,,,ANTI_FTR,goat_bp_w,,Goathead Aviation,,Anti Armor,,,,,"Each shell has a fuse set to explode at a random distance, resulting in a barrage that's increasingly more deadly at closer ranges.",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Small energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gravitic Laser,goat_pdlr,3,,100,200,10,,,6,50,1,,,,ENERGY,,10,0,1.25,,,,,,,2400,,,,,PD,goat_bp_w,,Saxton,,Point Defense,,,,,Generates weak gravitic forces that can push aside small targets.,,,,,,,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Fighter Weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photon Deathray,goat_pdlaser,1,,20000,500,50,,,3,50,4,,,,ENERGY,,40,0,0.25,,,,,,,2400,,,,,"PD,SYSTEM",,,Goathead Aviation,,Point Defense,,Point Defense,,,,,,,,,,17
Refraction Array,goat_pdlaser_plus,1,,200,400,60,,,1,500,4,,,,FRAGMENTATION,,40,0,0.25,0.55,0.05,,,,,2400,,,,,"PD,SYSTEM",,,Goathead Aviation,,Point Defense,,Point Defense,,,"Causes meltdown effects on fighters and missiles, dealing {%s} weapon damage, as well as strongly interfering with fighter engines.",2000%,,,,,,17
Thunderfist Coilgun (Fighter),all_goat_punch_fighter,1,,350,350,80,90,,,22,6,,,,KINETIC,50,40,,1,3,0.1,0,2,1,2,,2500,,,,SYSTEM,,,Goathead Aviation,,Anti Shield,,,,,,,,,,,,
Gloom SRM (Fighter),all_goat_gloomy_s_fighter,0,0.8,550,900,,200,,,30,3,12,,,FRAGMENTATION,,,,2,4,0.1,2,15,5,1,,800,100,2.8,80,"PD,SYSTEM",,,Goathead Aviation,,Anti Small Craft,Fast,Excellent,,,,,,,TRUE,,,
Scorchfire MRM Rack,all_goat_fire_fire_fighter,0,,1300,2000,,1100,,,0,0,1,,,HIGH_EXPLOSIVE,,,,2,,,0,0,0,0,,450,20,4,350,SYSTEM,,,Goathead Aviation,,Anti Armor,Average,Poor,,,,,,,TRUE,,,
Glitter Bomb,all_goat_bomb,1,,200,2000,,600,,11000,15,4,5,,,KINETIC,0,,0,0.8,1,,0,0,0,0,,170,80,25,750,SYSTEM,,,Goathead Aviation,,Anti Armor,,Beatdown,,,,,,,TRUE,,,3.5
Flare Rack,all_goat_induced,0,,500,400,,15,,0,40,0,44,,,HIGH_EXPLOSIVE,0,0,0,1.9,2,0.1,60,60,0,0,,180,300,3,1,"PD,SYSTEM",,,Goathead Aviation,,Anti Missile,,,,,,,,,TRUE,,,
Gravitic Inducer,all_goat_gravitation,1,,666,400,15,,,400,50,666,,,,KINETIC,,20,0,0.25,,,,,,,2400,,,,,"PD,SYSTEM",,,Goathead Aviation,,Suppression,,,,,Heavy gravitic effects will slow any target and push them off-course: smaller targets are more affected.,,,,,,,17
Gravitic Burst,all_goat_aka,2,,2500,2000,,250,500,100,5,,,,,KINETIC,,,,0,,,0,0,0,0,,500,,10,10000,SYSTEM,,,Goathead Aviation,,Anti Shield,极快,良好,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Built-In Weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fused Flak Array,goat_pd,,,,650,,100,0,0,20,0,,,,FRAGMENTATION,20,,0.1,0.6,2,0.05,5,20,5,5,,750,,,,"SYSTEM,PD,PD_ALSO",,,Goathead Aviation,,Point Defense(?),,,,,"Each shell is equipped with an unstable fuse which can prematurely detonate after reaching %s of its range, resulting in a barrage that's increasingly more deadly at closer ranges.",60%,,,,919601,,22.79
Fused Flak Cover,goat_pd_cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
Slammer Flak Array,goat_pd_bashmode,,,,650,,200,200,100,0,0,,,,HIGH_EXPLOSIVE,300,,,1,,,,,,,,1000,,,,SYSTEM,,,Goathead Aviation,,,,,,,,,,,,919602,,22.791
Meltbore Cannon,all_goat_mjolnir,,,,1500,,1000,,9000,2,0,8,0.1,2,HIGH_EXPLOSIVE,1000,,0.3,34.7,,,0,5,1,10,,800,,,75,SYSTEM,,,Goathead Aviation,,Anti Armor,,,,,,,,,,,,7.5
Hellgiver Torpedo Launcher,all_goat_purgatory_reprimand,1,,0,2000,,6660,,,2,0,6,,,FRAGMENTATION,,,0,34,2,0.3,50,50,0,0,,333,500,6,66,SYSTEM,,,Goathead Aviation,,Anti Hull,Average,Poor,,,,,,,TRUE,,,
Heavy Graviton Beam,all_goat_boostinvasion,,,,1200,200,,,900,260,0,,,,KINETIC,,600,,,,,5,0,0,0,3000,,,,,SYSTEM,,,Goathead Aviation,,Suppression,,,,,Heavy gravitic effects will slow any target and push them off-course: smaller targets are more affected.,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artichoke LRM Launcher,all_goat_artichoke_h,,,,5500,,900,,900,10,0,16,,,HIGH_EXPLOSIVE,,,1,10,4,0.5,10,10,0,0,,550,250,5,200,"SYSTEM,DO_NOT_AIM",,,Goathead Aviation,,Anti Armor,Fast,Normal,,,,,,,TRUE,,,
Artichoke MRM Pod,all_goat_artichoke_k_R,,,,2800,,100,,900,10,0,144,,,KINETIC,,,1,11.1,18,0.05,10,10,0,0,,950,550,3,300,"SYSTEM,DO_NOT_AIM",,,Goathead Aviation,,Anti Shield,Very Fast,Good,,,"Hits on hull or armor have a %s chance to arc to weapons and engines, dealing extra damage equal to the original hit.",25%,,,TRUE,,,
Artichoke MRM Pod,all_goat_artichoke_k_L,,,,2800,,100,,900,10,0,144,,,KINETIC,,,1,11.1,18,0.05,10,10,0,0,,950,550,3,300,"SYSTEM,DO_NOT_AIM",,,Goathead Aviation,,Anti Shield,Very Fast,Good,,,"Hits on hull or armor have a %s chance to arc to weapons and engines, dealing extra damage equal to the original hit.",25%,,,TRUE,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fortress Flares,goat_flarelauncher1,,,,600,,50,200,,,,,0,,HIGH_EXPLOSIVE,0,0,0,0.1,10,0.1,60,60,0,0,,150,300,3,10,SYSTEM,,,,,,,,,,,,,,,,,36
High-Energy Flares,goat_flarelauncher2,,,,600,,500,800,500,,,,0,,HIGH_EXPLOSIVE,0,0,0,0.1,10,0.1,60,60,0,0,,150,100,1.2,1,SYSTEM,,,,,,,,,,,,,,,,,36
Tracking flares,goat_flarelauncher3,,,,600,,50,400,300,,,,,,KINETIC,0,0,0,0.1,10,0.1,60,60,0,0,,150,100,1.2,1,SYSTEM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Decorative Weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
引擎转轮无色版,goat_runner_black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
引擎转轮,goat_runner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呼吸引擎,goat_breathing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
紫舌-系统R,goat_gentiles_system_R,,,,,,,,,,,,,,,,,,1,,,,,,,,,-400,1,,SYSTEM,,,,,,,,,,,,,,,,,
紫舌-系统L,goat_gentiles_system_L,,,,,,,,,,,,,,,,,,1,,,,,,,,,-400,1,,SYSTEM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
铁阁侧板5,goat_ironpavilion_side_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
铁阁散热,goat_ironpavilion_glow1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
铁阁侧板4,goat_ironpavilion_side_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
铁阁侧板11,goat_ironpavilion_side_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
铁阁侧板12,goat_ironpavilion_side_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
铁阁侧板22,goat_ironpavilion_side_22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
铁阁侧板21,goat_ironpavilion_side_21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
铁阁侧板31,goat_ironpavilion_side_31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
铁阁侧板32,goat_ironpavilion_side_32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
子谷鸟盖板,goat_arson_bird_x1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
铁阁正板1,goat_ironpavilion_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
铁阁正板2,goat_ironpavilion_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
铁阁正板3,goat_ironpavilion_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
护盾引擎-小-下,goat_engine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
护盾引擎-小-上,goat_engine1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
护盾引擎-大-下,goat_engine_longer1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
护盾引擎-大-上,goat_engine_longer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
系统烟雾,goat_fire_smoke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
系统烟雾-小,goat_fire_smoke_smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
系统烟雾-大,goat_fire_smoke_bigger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
系统烟雾-熔炉,goat_fire_smoke_ironpavilion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
超压漂移-装饰武器,goat_Overpressuredrift_D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
永生-毁灭号角-装饰武器,goat_immortality_glow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
熔炉模块,goat_ironpavilion1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
绿色灯光,blinker_goat_green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
双闪航道灯,blinker_goat_white_fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
航道灯,blinker_goat_white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
月核,goat_mooncore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
盖板,goat_moonh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
击剑甲板灯,evil_gaze_bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#盖板,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
游击锤帆索,goat_Guerrilla_hammer01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
游击锤盖板1,goat_Guerrilla_hammer001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
游击锤盖板2,goat_Guerrilla_hammer002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
游击锤盖板3,goat_Guerrilla_hammer003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拳击士盖板1,goat_Boxer001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
拳击士盖板2,goat_Boxer002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
拳击士盖板3,goat_Boxer003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
拳击士盖板4,goat_Boxer004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
半夜书线缆1,goat_midnight_book_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
紫舌线缆,goat_gentiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
斜风线缆,goat_Pathogenic_Wind_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
花潮线缆,goat_flowertide01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
矛盖板,goat_spear_thrower01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
砍刀盖板,goat_machete001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
