name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number,Column 48,Column 49
,all_goat_fire_b,,,,500,,200,,,,,,,,HIGH_EXPLOSIVE,,,,,,,,,,,,400,,,,SYSTEM,,,,,,,,,,,,,,,,,
眩光-MRM 发射台,all_goat_dazzle_m,2,,2500,1800,,800,,100,5,15,13,,,KINETIC,,,0,8.85,3,0.05,15,15,0,0,,650,50,5,50,DO_NOT_AIM,"missile7, goat_bp_w",,羊头航务局,,反护盾,极快,良好,,,,,,,TRUE,,,
热流-LRM 发射架,all_goat_hot,1,,1300,5000,,500,,,6,9,80,,,HIGH_EXPLOSIVE,,,,6.5,2,0.5,0,0,0,0,,200,220,19,600,DO_NOT_AIM,goat_bp_w,,羊头航务局,,反点防御,较慢,良好,,,分裂产生的热诱弹，在近距离发射时可环绕目标,,,,TRUE,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#小导弹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阴沉E-SRM,all_goat_gloomy_s,0,0.8,550,900,,150,,,30,5,25,,,ENERGY,,,,2.75,5,0.05,2,15,5,1,,500,100,1.8,30,"PD,DO_NOT_AIM","missile7, goat_bp_w",,羊头航务局,,反小型舰艇,极快,优秀,,,,,,,TRUE,,,
巨戟-LRM,all_goat_giant_halberd_s,1,0.5,450,3500,,4500,,500,10,4,1,,,HIGH_EXPLOSIVE,2000,,0,15,1,,0,0,0,0,,850,100,4,1200,DO_NOT_AIM,"missile6, strike0, goat_bp_w",,羊头航务局,,毁灭打击,较快,前段制导,,,,,,,TRUE,,,
,all_goat_giant_halberd_s1,,,,4000,,4500,,500,,,,,,HIGH_EXPLOSIVE,0,,,,,,,,,,,900,50,3.0,500,SYSTEM,,,,,,,,,,,,,,,,,
,all_goat_giant_halberd_s2,,,,4000,,1,,,,,,,,HIGH_EXPLOSIVE,0,,,,,,,,,,,0,0,3,50,SYSTEM,,,,,,,,,,,,,,,,,
,all_goat_giant_halberd_s3,,,,4000,,1,,,,,,,,HIGH_EXPLOSIVE,0,,,,,,,,,,,0,0,3,50,SYSTEM,,,,,,,,,,,,,,,,,
,all_goat_giant_halberd_s4,,,,4000,,1,,,,,,,,HIGH_EXPLOSIVE,0,,,,,,,,,,,0,0,3,50,SYSTEM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#大能量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月骑重炮,all_goat_diiscipline,3,0.5,9000,500,,1000,,8258100,7,28,4,0.3,4,KINETIC,1600,,0,1.5,,,0,0.1,0.01,0.1,,1900,,,,FIRE_WHEN_INEFFICIENT,"energy20, beam15, LR, goat_bp_w",,羊头航务局,,抹除护盾,,,,,当安装在 混合槽位 时，增加{%s}的基础射程。,200,,,,9196331,,
速射热能炮,all_goat_admonish,2,,7500,350,1000,500,,200,6,25,,,,ENERGY,600,,,0.5,,,2,10,2,5,,650,,,,FIRE_WHEN_INEFFICIENT,"energy20, hist1t, merc, goat_bp_w",,羊头航务局,,抹除结构,,,,,当安装在 混合槽位 时，增加{%s}的基础射程。,200,,,,9196332,,
毛刺儿-震爆长矛,all_goat_punish,2,,8000,900,3273,,,50,5,30,,,,HIGH_EXPLOSIVE,,1966,1.1,1.2,0.3,2.9,0,0.1,0.01,0.1,6200,,,,,"CONSERVE_FOR_ANTI_ARMOR,STRIKE, USE_VS_FRIGATES","energy20, beam15, LR, hist1t, merc, goat_bp_w",,羊头航务局,,抹除装甲,,,,,光束将产生连续的相位爆炸，每次相位爆炸造成{%s}破片伤害。,150,,,,,,
,all_goat_punish_minelayer,,,,,,150,,25,,,,,,FRAGMENTATION,0,,,,1,,,,,,,0,0,20,1000,SYSTEM,,SYSTEM,,,,,,,,,,,,,,,38.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#中能量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
速射极体枪,all_goat_implement,1,,1800,600,85,40,700,,25,14,,,,ENERGY,65,,0.2,0.7,4,0.1,3,6,0.5,5.5,,750,,,,ANTI_FTR,"energy2, goat_bp_w",,羊头航务局,,瘫痪,,,,,当角度合适时命中非导弹目标，有{%s}的概率产生打击武器与引擎的电弧，并造成该武器命中目标时等值的额外伤害。同时不稳定的弹丸会在射程后半程随机爆炸，并当安装在 混合槽位 时，增加{%s}的基础射程。,40%|300,,,,,,
三合光束,all_goat_rhythm,0,,1800,800,250,,5,300,55,10,,,,FRAGMENTATION,,150,0.3,0.1,0.3,0.1,5,0,0,0,10500,,,,,PD,"energy10, goat_bp_w",,羊头航务局,,点防御,,,,,会影响目标并强效将其推离原来的运功轨道。并且在击中船体时产生猛烈的电弧。,,,,,,,
侵压镜组,all_goat_invasion,2,,1800,700,950,,,2,45,15,,,,KINETIC,,2000,,3,0.5,1,5,0,0,0,2100,,,,,,"energy20, goat_bp_w",,羊头航务局,,反护盾,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#大实弹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘶嚎碎甲炮,all_goat_howl,2,,5400,1200,,550,,50,8,24,,,,HIGH_EXPLOSIVE,900,,0.4,2.3,,,1,10,1,2,,1500,,,,,"he18,goat_bp_w",,羊头航务局,,持续压制,,,,,当命中装甲时将造成 {%s} 的额外伤害，且该伤害不受装甲减伤影响,150,,,,,,
标准舰炮,all_goat_bombard,1,,3800,800,,550,,120,4,28,,,,HIGH_EXPLOSIVE,450,,,3,2,0.3,1,12,1,1,,850,,,,,"he18,goat_bp_w",,羊头航务局,,反装甲,,,,,,,,,,,,
云毡机炮,all_goat_zeal,0,,5000,1000,1000,166,,10,13,26,,,,FRAGMENTATION,35,,,0.101,,,0.5,10,0.05,1,,1100,,,,ANTI_FTR,goat_bp_w,,羊头航务局,,反舰体,,,,,,,,,,,,
提命重臼炮,all_goat_raise,1,,3800,1000,,850,,920,4,20,,,,KINETIC,1150,,,4.5,,,1,25,5,2,,550,,,,,goat_bp_w,,羊头航务局,,反护盾,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#中实弹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
撕咬霰炮,all_goat_gnaw,2,,2000,600,,100,,10,20,13,6,1.5,6,KINETIC,115,,0.3,0.5,2,0.05,1,8,2,6,,650,,,,,"kinetic15, remnant,goat_bp_w",,羊头航务局,,反护盾,,,,,当安装在 混合槽位 时，增加{%s}的基础射程。,300,,,,,,
,all_goat_gnaw1,,,,800,,100,,10,,,,,,KINETIC,,,,,,,,,,,,1200,,,,SYSTEM,,,,,,,,,,,,,,,,,
重型燃油炮,all_goat_lash,0,,2300,650,,120,,100,15,10,,,,HIGH_EXPLOSIVE,100,,0.2,1.2,,,4,20,4,5,,560,,,,ANTI_FTR,goat_bp_w,,羊头航务局,,反装甲,,,,,每一枚炮弹均内置了不稳定引信，而导致其可能在射程过半后提前爆炸，因此距离越近威力越大。,,,,,,,
盒装舰炮,all_goat_dash,1,,1200,800,,450,,,11,12,,,,HIGH_EXPLOSIVE,400,,,4,,,2,12,0.5,6,,888,,,,,goat_bp_w,,羊头航务局,,反装甲,,,,,,,,,,,,
重拳航炮,all_goat_heavyfist,1,,2000,1000,,130,,50000000,6,11,,,,KINETIC,120,,,1,,,0,15,0.5,3.5,,1100,,,,,"kinetic10,goat_bp_w",,羊头航务局,,反护盾,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#小实弹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
快拳航炮,all_goat_punch,1,,350,800,80,80,,,24,6,,,,KINETIC,100,40,,4.2,6,0.06,0,4,1,2,,1600,,,,,"kinetic8, LR, remnant,goat_bp_w",,羊头航务局,,反护盾,,,,,,,,,,,,
拿捏-打字机,all_goat_grasp,0,,200,200,250,45,,10,40,4,,,,FRAGMENTATION,1.5,25,,0.1,,,0,5,1,1,,1200,,,,PD,"pd7, SR, goat_bp_w",,羊头航务局,,点防御,,,,,,,,,,,,
轻型燃油炮,all_goat_lash_s,0,,230,650,,120,,,15,5,,,,HIGH_EXPLOSIVE,150,,0.1,1.1,,,4,20,4,5,,560,,,,ANTI_FTR,goat_bp_w,,羊头航务局,,反装甲,,,,,每一枚炮弹均内置了不稳定引信，而导致其可能在射程过半后提前爆炸，因此距离越近威力越大。,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#小能量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
引力光束,goat_pdlr,3,,100,200,10,,,6,50,1,,,,ENERGY,,10,0,1.25,,,,,,,2400,,,,,PD,goat_bp_w,,萨克斯顿,,点防御,,,,,产生引力，会将微小目标推离运行轨道。,,,,,,,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#战机武器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轻型定轴偏向高聚能稳压热辐射约束管系统,goat_pdlaser,1,,20000,500,50,,,3,50,4,,,,ENERGY,,40,0,0.25,,,,,,,2400,,,,,"PD,SYSTEM",,,羊头航务局,,点防御,,,,,,,,,,,,17
折射镜组,goat_pdlaser_plus,1,,200,400,60,,,1,500,4,,,,FRAGMENTATION,,40,0,0.25,0.55,0.05,,,,,2400,,,,,"PD,SYSTEM",,,羊头航务局,,点防御,,,,,对导弹与战机造成武器伤害{%s}的熔毁效应，并且对战机的推进系统产生强干扰。,2000%,,,,,,17
快拳(战机型),all_goat_punch_fighter,1,,350,350,80,90,,,22,6,,,,KINETIC,50,40,,1,3,0.1,0,2,1,2,,2500,,,,SYSTEM,,,羊头航务局,,反护盾,,,,,,,,,,,,
阴沉 SRM(战机型),all_goat_gloomy_s_fighter,0,0.8,550,900,,200,,,30,3,12,,,FRAGMENTATION,,,,2,4,0.1,2,15,5,1,,800,100,2.8,80,"PD,SYSTEM",,,羊头航务局,,反小型舰艇,极快,优秀,,,,,,,TRUE,,,
炙火 挂载架,all_goat_fire_fire_fighter,0,,1300,2000,,1100,,,0,0,1,,,HIGH_EXPLOSIVE,,,,2,,,0,0,0,0,,450,20,4,350,SYSTEM,,,羊头航务局,,反装甲,普通,较差,,,,,,,TRUE,,,
闪耀 发射架,all_goat_bomb,1,,200,2000,,600,,11000,15,4,5,,,KINETIC,0,,0,0.8,1,,0,0,0,0,,170,80,25,750,SYSTEM,,,羊头航务局,,反装甲,,打击,,,,,,,TRUE,,,3.5
热诱弹阵列,all_goat_induced,0,,500,400,,15,,0,40,0,44,,,HIGH_EXPLOSIVE,0,0,0,1.9,2,0.1,60,60,0,0,,180,300,3,1,"PD,SYSTEM",,,羊头航务局,,反导弹,,,,,,,,,TRUE,,,
引力,all_goat_gravitation,1,,666,400,15,,,400,50,666,,,,KINETIC,,20,0,0.25,,,,,,,2400,,,,,"PD,SYSTEM",,,羊头航务局,,目标控制,,,,,巨大的引力会影响任何目标并缓缓将其推离原来的运功轨道。,,,,,,,17
引力爆发,all_goat_aka,2,,2500,2000,,250,500,100,5,,,,,KINETIC,,,,0,,,0,0,0,0,,500,,10,10000,SYSTEM,,,羊头航务局,,反护盾,极快,良好,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#内置武器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
引信霰炮阵列,goat_pd,,,,650,,100,0,0,20,0,,,,FRAGMENTATION,20,,0.1,0.6,2,0.05,5,20,5,5,,750,,,,"SYSTEM,PD,PD_ALSO",,,羊头航务局,,区域防空,,,,,每一枚炮弹均内置了不稳定引信，而导致其可能在超过射程{%s}后提前爆炸，因此距离越近威力越大。,60%,,,,919601,,22.79
Goat PD 盖板,goat_pd_cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
猛击模式阵列,goat_pd_bashmode,,,,650,,200,200,100,0,0,,,,HIGH_EXPLOSIVE,300,,,1,,,,,,,,1000,,,,SYSTEM,,,羊头航务局,,,,,,,,,,,,919602,,22.791
热熔炮,all_goat_mjolnir,,,,1500,,1000,,9000,2,0,8,0.1,2,HIGH_EXPLOSIVE,1000,,0.3,34.7,,,0,5,1,10,,800,,,75,SYSTEM,,,羊头航务局,,反装甲,,,,,,,,,,,,7.5
地狱呵斥-连发火箭,all_goat_purgatory_reprimand,1,,0,2000,,6660,,,2,0,6,,,FRAGMENTATION,,,0,34,2,0.3,50,50,0,0,,333,500,6,66,SYSTEM,,,羊头航务局,,反结构,普通,较差,,,,,,,TRUE,,,
重型引力束,all_goat_boostinvasion,,,,1200,200,,,900,260,0,,,,KINETIC,,600,,,,,5,0,0,0,3000,,,,,SYSTEM,,,羊头航务局,,压制,,,,,巨大的引力会影响任何目标并缓缓将其推离原来的运功轨道。,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
洋蓟-LRM 发射筒,all_goat_artichoke_h,,,,5500,,900,,900,10,0,16,,,HIGH_EXPLOSIVE,,,1,10,4,0.5,10,10,0,0,,550,250,5,200,"SYSTEM,DO_NOT_AIM",,,羊头航务局,,反装甲,较快,普通,,,,,,,TRUE,,,
洋蓟-MRM 火箭仓,all_goat_artichoke_k_R,,,,2800,,100,,900,10,0,144,,,KINETIC,,,1,11.1,18,0.05,10,10,0,0,,950,550,3,300,"SYSTEM,DO_NOT_AIM",,,羊头航务局,,反护盾,极快,良好,,,当命中船体或装甲时，有{%s}的概率产生打击武器与引擎的电弧，并造成该武器命中目标时等值的额外伤害。,25%,,,TRUE,,,
洋蓟-MRM 火箭仓,all_goat_artichoke_k_L,,,,2800,,100,,900,10,0,144,,,KINETIC,,,1,11.1,18,0.05,10,10,0,0,,950,550,3,300,"SYSTEM,DO_NOT_AIM",,,羊头航务局,,反护盾,极快,良好,,,当命中船体或装甲时，有{%s}的概率产生打击武器与引擎的电弧，并造成该武器命中目标时等值的额外伤害。,25%,,,TRUE,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
堡垒热诱弹,goat_flarelauncher1,,,,600,,50,200,,,,,0,,HIGH_EXPLOSIVE,0,0,0,0.1,10,0.1,60,60,0,0,,150,300,3,10,SYSTEM,,,,,,,,,,,,,,,,,36
高能热诱弹,goat_flarelauncher2,,,,600,,500,800,500,,,,0,,HIGH_EXPLOSIVE,0,0,0,0.1,10,0.1,60,60,0,0,,150,100,1.2,1,SYSTEM,,,,,,,,,,,,,,,,,36
追踪热诱弹,goat_flarelauncher3,,,,600,,50,400,300,,,,,,KINETIC,0,0,0,0.1,10,0.1,60,60,0,0,,150,100,1.2,1,SYSTEM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#可动装饰武器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
引擎转轮无色版,goat_runner_black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
引擎转轮,goat_runner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呼吸引擎,goat_breathing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
紫舌-系统R,goat_gentiles_system_R,,,,,,,,,,,,,,,,,,1,,,,,,,,,-400,1,,SYSTEM,,,,,,,,,,,,,,,,,
紫舌-系统L,goat_gentiles_system_L,,,,,,,,,,,,,,,,,,1,,,,,,,,,-400,1,,SYSTEM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
铁阁侧板5,goat_ironpavilion_side_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
铁阁散热,goat_ironpavilion_glow1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
铁阁侧板4,goat_ironpavilion_side_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
铁阁侧板11,goat_ironpavilion_side_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
铁阁侧板12,goat_ironpavilion_side_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
铁阁侧板22,goat_ironpavilion_side_22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
铁阁侧板21,goat_ironpavilion_side_21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
铁阁侧板31,goat_ironpavilion_side_31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
铁阁侧板32,goat_ironpavilion_side_32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
子谷鸟盖板,goat_arson_bird_x1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
铁阁正板1,goat_ironpavilion_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
铁阁正板2,goat_ironpavilion_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
铁阁正板3,goat_ironpavilion_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
护盾引擎-小-下,goat_engine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
护盾引擎-小-上,goat_engine1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
护盾引擎-大-下,goat_engine_longer1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
护盾引擎-大-上,goat_engine_longer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
系统烟雾,goat_fire_smoke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
系统烟雾-小,goat_fire_smoke_smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
系统烟雾-大,goat_fire_smoke_bigger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
系统烟雾-熔炉,goat_fire_smoke_ironpavilion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
超压漂移-装饰武器,goat_Overpressuredrift_D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
永生-毁灭号角-装饰武器,goat_immortality_glow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
熔炉模块,goat_ironpavilion1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
绿色灯光,blinker_goat_green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
双闪航道灯,blinker_goat_white_fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
航道灯,blinker_goat_white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
月核,goat_mooncore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
盖板,goat_moonh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
击剑甲板灯,evil_gaze_bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#盖板,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
游击锤帆索,goat_Guerrilla_hammer01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
游击锤盖板1,goat_Guerrilla_hammer001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
游击锤盖板2,goat_Guerrilla_hammer002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
游击锤盖板3,goat_Guerrilla_hammer003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拳击士盖板1,goat_Boxer001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
拳击士盖板2,goat_Boxer002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
拳击士盖板3,goat_Boxer003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
拳击士盖板4,goat_Boxer004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
半夜书线缆1,goat_midnight_book_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
紫舌线缆,goat_gentiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
斜风线缆,goat_Pathogenic_Wind_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
花潮线缆,goat_flowertide01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
矛盖板,goat_spear_thrower01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
砍刀盖板,goat_machete001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evil_gaze_01,evil_gaze_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
evil_gaze_0,evil_gaze_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evil_gaze_02,evil_gaze_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,,,
