id,type,size,intensity,fadeout,color,offset,hit size,hit intensity,hit fadeout,hit color,flash size,flash intensity,flash fadeout,flash color,flash offset,chance,fighter dim
xhan_agmad_shot,projectile,100,0.40,0.5,"[153,255,51]",,50,0.8,1,"[153,255,51]",80,0.2,0.6,"[153,255,51]",,1,TRUE
,,,,,,,,,,,,,,,,,
Xhan_Hezek_shot,projectile,90,0.3,0.2,"[255,90,50]",,50,0.2,1.5,"[255,90,50]",50,0.2,0.15,"[255,90,50]",,1,TRUE
,,,,,,,,,,,,,,,,,
Xhan_Yazer,beam,90,1.05,,"[153,255,51]",,280,0.5,,"[153,255,51]",105,0.5,,"[153,255,51]",,1,TRUE
,,,,,,,,,,,,,,,,,
Xhan_Gromm_Shot,projectile,175,0.75,0.5,"[255,41,20]",,200,0.8,1,"[255,41,20]",190,0.4,0.6,"[255,41,20]",,1,TRUE
,,,,,,,,,,,,,,,,,
Xhan_Syr_stage2,projectile,50,0.40,0.5,"[153,255,51]",,50,0.8,1,"[153,255,51]",65,0.2,0.6,"[153,255,51]",,1,TRUE
,,,,,,,,,,,,,,,,,
Xhan_bloz_missile,projectile,100,0.25,0.3,"[255,90,50]",12,225,0.3,1,"[255,90,50]",,,,,,1,FALSE
,,,,,,,,,,,,,,,,,
Xhan_Ertshan_missile,projectile,50,0.40,0.5,"[152,255,51]",,50,0.8,1,"[153,255,51]",65,0.2,0.6,"[153,255,51]",,1,TRUE
,,,,,,,,,,,,,,,,,
Xhan_Zhuk_Torpedo,projectile,150,0.75,0.5,"[152,255,51]",11,800,1,1.75,"[152,255,51]",,,,,,1,FALSE
,,,,,,,,,,,,,,,,,
Xhan_Luza_stage2,projectile,50,0.40,0.5,"[70,255,224]",,50,0.8,1,"[153,255,51]",65,0.2,0.6,"[70,255,224]",,1,TRUE
,,,,,,,,,,,,,,,,,
Xhan_Luzna_Missile,projectile,50,0.40,0.5,"[70,255,224]",,50,0.8,1,"[153,255,51]",65,0.2,0.6,"[70,255,224]",,1,TRUE
,,,,,,,,,,,,,,,,,
Xhan_Pharrek_pulse,projectile,100,0.5,0.3,"[153,255,51]",,700,1.25,1.5,"[153,255,51]",,,,,,1,FALSE
,,,,,,,,,,,,,,,,,
xhan_empflare_missile,projectile,150,0.3,0.5,"[70,120,225]",,,,,,,,,,,0.75,TRUE
,,,,,,,,,,,,,,,,,
PAMED_hologram,projectile,180,0.4,0.5,"[133,30,235]",,,,,,,,,,,1,TRUE
,,,,,,,,,,,,,,,,,
Xhan_Blast_flare,projectile,150,0.3,0.5,"[255,120,50]",,,,,,,,,,,0.75,TRUE
,,,,,,,,,,,,,,,,,
Xhan_Chem_Flare,projectile,150,0.3,0.5,"[133,255,204]",,,,,,,,,,,0.75,TRUE
,,,,,,,,,,,,,,,,,
Xhan_Svech_shot,projectile,30,0.15,0.15,"[98,255,0]",,,,,,30,0.15,0.2,"[98,255,0]",,0.65,TRUE
,,,,,,,,,,,,,,,,,
Xhan_Grokan_Shot,projectile,175,0.75,0.5,"[81,255,69]",,200,0.8,1,"[81,255,69]",190,0.4,0.6,"[81,255,69]",,1,TRUE
,,,,,,,,,,,,,,,,,
Xhan_Kobraz_shot,projectile,50,0.40,0.5,"[81,255,69]",,50,0.8,1,"[81,255,69]",30,0.2,0.6,"[81,255,69]",,1,TRUE
,,,,,,,,,,,,,,,,,
Xhan_bogul_shot,projectile,100,0.70,0.5,"[255,20,118]",,120,0.8,1,"[255,20,118]",110,0.4,0.6,"[255,20,118]",,1,TRUE
,,,,,,,,,,,,,,,,,
Xhan_Shpizak_shot,projectile,50,0.40,0.5,"[74,140,255]",,50,0.8,1,"[74,140,255]",30,0.2,0.6,"[74,140,255]",,1,TRUE
,,,,,,,,,,,,,,,,,
Xhan_Erlekhkeyt_Shot,projectile,175,0.75,0.5,"[90,36,255]",,200,0.8,1,"[90,36,255]",190,0.4,0.6,"[90,36,255]",,1,TRUE
,,,,,,,,,,,,,,,,,
Xhan_PsyBlast,projectile,100,0.5,0.3,"[240,23,100]",,2000,1.25,1.5,"[240,23,100]",,,,,,1,FALSE
