name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Plasma Surge,filgap_psurge,2,,2000,450,,250,,8,35,10,,,,FRAGMENTATION,100,,0,1.8,1,,0,10,5,10,,600,,,,"PD,ANTI_FTR","pd15, remnant, filgap_archeohigh_bp, HIDE_IN_CODEX",,,,Point Defense,,,,,,,,,,
Heavy Mining Beam,filgap_miningbeam,0,,800,700,600,,,15,10,8,,,,ENERGY,,800,0.5,0.5,1,3,,,,,1200,,,,,,"energy10, beam10, base_bp",,,,Support,,,,,,,,,,,,
Aton Burst Laser,filgap_aton,1,,6500,850,1400,,,0,7,22,,,,ENERGY,,1000,0.25,1,2,2,,,,,5000,,,,,,"beam15,energy18, rare_bp, filgap_archeomid_bp",,,,General,,,,,,,,,,

Short Range Laser,filgap_SRL,1,,200,600,150,,,0,100,0,,,,ENERGY,,75,0,0.5,,,,,,,3600,,,,,"ANTI_FTR, SYSTEM",beam4,,,,Anti Small Craft,,,,,,,,,,
Wielding Beam,filgap_wieldingbeam,1,,200,600,50,,,30,100,0,,,,ENERGY,,30,0,0.25,,,,,,,3600,,,,,"ANTI_FTR, SYSTEM","pd5, beam4",,,,Anti Small Craft,,,,,,,,,,
Salvaged Thermal Pulse Cannon,filgap_stpc,0,,100000,800,,250,,0,0,,20,1,,ENERGY,150,,0,0.2,1,,0,15,2,5,,1000,,,,,,"SYSTEM,SHOW_IN_CODEX",,,,,General,,,,,,,,,,40


MB-3 PDS Array,filgap_miningarray,1,,800,700,120,,,0,20,8,,,,FRAGMENTATION,,150,0.2,0.2,,,,,,,3600,,,,,PD,"pd8, beam2, base_bp",,,,Point Defense,,,,,,,,,,,,
Ice Bomb,filgap_icebomb,3,0.5,7000,900,,1200,,0,10,25,,,,KINETIC,2000,,1,9,,,,,,,,650,,,300,,"energy20, kinetic19,remnant, filgap_archeohigh_bp, HIDE_IN_CODEX",,,,Anti Shield,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,


