id,type,text1,text2,text3,text4
ssp_LargeMissile,WEAPON,一次发射两发的大槽位版本。结构简单的火箭运载着大量惯性炸弹。运载火箭为这些炸弹配置了弹射装置，在离开运载火箭时获得了更高的速度和更广的散布。,,,
ssp_ChaosArmory,WEAPON,该发射器可以发射多种导弹。设计师们将 混乱武装 设计为可根据目标弱点自动切换导弹种类的多功能发射器，但事与愿违，算法出现了巨大问题导致武器会随机地切换导弹。楼兰海军似乎很喜欢这种抽奖一样的武器，因此该武器依然被大范围列装。,,,
ssp_GPD,WEAPON,一次性发射六枚炮弹的磁轨炮，可以在短时间内对护盾施加强大的压制力。,,,
ssp_BigFackingGPD,WEAPON,强力的大槽位版本。需要定制的粒子加速器生产作为炮弹发射的混合粒子团，因此使用和维护过程中还需要粒子加速器专家参与。也正因为维护上的复杂使这款武器难以推广。,,,
ssp_blaster,WEAPON,标准的中槽位版本。需要定制的粒子加速器生产作为炮弹发射的混合粒子团，因此使用和维护过程中还需要粒子加速器专家参与。也正因为维护上的复杂使这款武器难以推广。,,,
ssp_LargeShredder,WEAPON,先射出一束充满金属离子的导电介质，随后激发电弧，这种光束与电弧的复合打击使该武器具备类似动能武器的杀伤效果。,,,
ssp_FlareMine,WEAPON,一次发射六枚追踪诱饵弹。,,,
ssp_DeliverPDLaser,WEAPON,对一个落后的幅能传输装置稍加改动，就得到了这样一门光束。,,,
ssp_TriFlak,WEAPON,大口径高射炮，只需一击就能摧毁绝大多数来袭的导弹与战机。,,,
ssp_nuke,WEAPON,罗布泊恐怕是整个英仙座星区中最极端的导弹了：一个护盾发生器，极端抗打击的结构，大当量聚变弹头，以及小型舰船都能将其远远甩开的弱小推进器。,,,
ssp_nukeM,WEAPON,罗布泊恐怕是整个英仙座星区中最极端的导弹了：一个护盾发生器，极端抗打击的结构，大当量聚变弹头，以及小型舰船都能将其远远甩开的弱小推进器。,,,
ssp_nuke_MIRV,WEAPON,为极端的导弹准备的极端的运载措施，此MIRV可以保护其内部搭载的3枚罗布泊可以顺利抵达目标周围。,,,
###################,,,,,
ssp_hivedrone,SHIP_SYSTEM,部署 4 台 薄雾 光束无人机，无人机不可再生,,,
ssp_hivedrone2,SHIP_SYSTEM,部署若干个拥有整合点防御AI的无人机,,,
ssp_hivedrone3,SHIP_SYSTEM,部署若干个拥有整合点防御AI的无人机,,,
ssp_ammofeedjet,SHIP_SYSTEM,增加非导弹武器伤害和幅能产生，增加机动性和最高航速，战术系统关闭时 爆发耗散,,,爆发耗散
ssp_lanina_system,SHIP_SYSTEM,解除推进器的安全限制，极大的增加机动性和最高航速,,,
ssp_missleswarm,SHIP_SYSTEM,切换内置武器的弹药种类,,,
ssp_ThunderCharge,SHIP_SYSTEM,增加少量的机动性和航速，产生 40 次电弧打击 1000 距离内目标， 雷铸电场 的伤害和射程 x2,,,40|1000|雷铸电场|x2
ssp_microburn,SHIP_SYSTEM,短时间内将推进器功率提升至极限，在极短的时间内推进舰船向前移动一段距离，拥有多次充能,,,
ssp_PhaseTransferField,SHIP_SYSTEM,禁用护盾，获得等于舰船基础结构值 一半 的伤害吸收，战术系统关闭时产生电磁爆炸，对 600 距离内所有敌人造成 400 能量伤害和 2000 EMP，且伤害可根据幅能水平最多提升 1.0 倍。伤害吸收耗尽时会过载舰船。,,,一半|600|500|2000|1.0
ssp_AdvanceVenting,SHIP_SYSTEM,在短时间内获得 8 倍基础耗散，硬幅能水平越低冷却时间越短，冷却至少 6 秒,,,8|6
ssp_HitMeYouWeekMissile,SHIP_SYSTEM,使目标舰船吸引 800 距离内的所有我方导弹类型弹丸，目标受到伤害增加 10% ,,,800|10%
ssp_AmmoFeed,SHIP_SYSTEM,根据舰船可搭载实弹武器的槽位获得 加速时间 ，消耗 加速时间 快速装填非点防御武器，并禁用点防御武器。加速时间 耗尽时进入火力受限状态，解禁点防御武器，并禁用非点防御武器。仅影响实弹非光束武器,,,加速时间|加速时间|加速时间
ssp_HighEnergyFocus,SHIP_SYSTEM,短时间内记录能量武器发射的弹丸，并增加光束武器伤害50%，在战术系统结束时发射被记录的弹丸组成的弹幕。拥有多次充能,,,
ssp_ManeuveringJets,SHIP_SYSTEM,逐渐增加舰船机动性和最高航速,,,
ssp_zhurong_system,SHIP_SYSTEM,向位移方向闪现一段距离，并在原位置周围产生多次爆炸，产生硬幅能,,,
ssp_TDS_system,SHIP_SYSTEM,向位移方向施加强大的力量推动舰船，短时间内免疫能量伤害，产生硬幅能,,,
ssp_gonggong_system,SHIP_SYSTEM,对 800 距离内目标舰船释放电弧冲击，造成能量伤害并将双方击退，产生硬幅能,,,800
##################,,,,,
LLI,FACTION,"楼兰军工综合体是在""大崩塌""后成立的组织，曾经是英仙座联盟一员。

大崩塌后的127年，掌控着 Adenium obesum 的 SouthWind金属公司 的首席执行官Mirage.SouthWind发现留在英仙座联盟中只会被那些腐败的军阀和独裁者榨干最后一丝价值，脱离英仙座联盟才可能在大崩塌后的混乱中存活，甚至加入势力争斗中重新恢复星区的秩序。于是他联合了几乎整个星系成立了楼兰军工综合体并宣布脱离英仙座联盟。尽管英仙座联盟官方声明不会强迫任何成员留在联盟中，但楼兰还是遭到了部分英仙座联盟成员和其盟友速子科技的制裁。

自大崩塌到现在，其最高领导人已经数次更替。205年的大选中，激进党-Dust II之子-取得了大选胜利，该党派内部存在大量卢德左径激进分子。在不久后Dust II之子便宣布加入""银河救赎协会""并与速子科技公司发生了小规模的冲突。一台为末日决战量身打造的机器已经缓缓启动。",,,
MirageCity,CUSTOM,"这个空间站最初是一处研究站，但其建设随着""大崩塌""的到来被迫中断。这个已经中断建设并废弃的空间站在""大崩塌""发生大约134年后重新开始建设，在那之后这个空间站经历了不断的扩建改造，其规模也不断扩大。",,,
AdeniumObesum,CUSTOM,若不是大崩塌的到来，这里肯定已经成为了一个生机盎然的星球，不过现在这里是一个专门进行金属生产的工业基地，这里的冶炼厂和采矿业生产了大量优质的材料，是楼兰军工综合体重要的经济来源之一，据传言这里的仓库存有足以制造整整两个Jangala空间站的金属储量。,,,
Dust_I,CUSTOM,看似荒凉的冰原，其地下却隐藏着极其丰富的资源。由于环境过于恶劣，当地居民纷纷向环境更好的Dust II移民。由于人口大量流失，当地不得不出台一系列补助政策来维持这里的矿场正常运作。,,,
Dust_II,CUSTOM,和Dust I 相比，Dust II简直就是天堂-温和的气候，富庶的土地，相对温暖的环境。这个世界的人口主要由卢德激进派别的信徒组成，其影响力遍布整个Mirage星系。但鉴于当地没有任何工业基础，楼兰并未对这些激进信徒有所防备。,,,
