id,type,text1,text2,text3,text4
ssp_nuke,WEAPON,"The Lop Nur is quite possibly the most extreme missile in the entire Sector: possessing a high-yield fusion warhead, an incredibly impact-resistant structure, and even a miniature shield generator; but also weak thrusters, allowing small ships to easily avoid it.",,,
ssp_nukeM,WEAPON,"The Lop Nur is quite possibly the most extreme missile in the entire Sector: possessing a high-yield fusion warhead, an incredibly impact-resistant structure, and even a miniature shield generator; but also weak thrusters, allowing small ships to easily avoid it.",,,
ssp_nuke_MIRV,WEAPON,"An extreme delivery system for a just as extreme missile, this MIRV is equipped with heavy armor to protect the trio of Lop Nur missiles it carries.",,,
###################,,,,,
ssp_hivedrone,SHIP_SYSTEM,Deploys several drones with integrated point-defense AIs.,,,
ssp_hivedrone2,SHIP_SYSTEM,Deploys several drones with integrated point-defense AIs.,,,
ssp_hivedrone3,SHIP_SYSTEM,Deploys several drones with integrated point-defense AIs.,,,
ssp_ammofeedjet,SHIP_SYSTEM,"Increases weapon damage, top speed, and maneuverability; ends with a brief increase to flux dissipation. Generates hard flux on activation. ",,,
ssp_lanina_system,SHIP_SYSTEM,Provides an extreme boost to top speed and maneuverability.,,,
ssp_missleswarm,SHIP_SYSTEM,Swaps the ammunition used by the ship's built-in weapon(s).,,,
ssp_ThunderCharge,SHIP_SYSTEM,Provides a slight boost to the ship's top speed and maneuverability. Spawns 40 arcs at enemy targets within 1000 range. The arcs generated by the Arc Field hullmod have their range/damage doubled.,,,40|1000|Arc Field|doubled
ssp_microburn,SHIP_SYSTEM,"Provides a brief boost to the engines, propelling the ship forward at extreme velocity.",,,
ssp_PhaseTransferField,SHIP_SYSTEM,"Disables shields, gaining the ability to absorb damage equal to half of the ship's base hull value. When the system is deactivated, it emits an EMP burst, dealing 500 energy and 1000 EMP damage to all enemies within 600 range, with damage increased by up to 100% depending on the ship's flux level. The ship will overload if the damage absorption amount is depleted.",,,half|600|500|1000|1.0
ssp_AdvanceVenting,SHIP_SYSTEM,"For a short period of time, the ship's base flux dissipation will become 8x; the lower the ship's hard flux level, the shorter the cooldown(minimum 6 seconds).",,,8|6
ssp_HitMeYouWeekMissile,SHIP_SYSTEM,Target ship will attract all of the missiles belonging to this ship's fleet within 800 range; the target will also take 10% increased damage.,,,800|10%
ssp_AmmoFeed,SHIP_SYSTEM,"Generates acceleration time based on the ship's available ballistic-capable slots: non-beam non-PD ballistic weapons can fire extremely rapidly while consuming the acceleration and disabling PD weapons. Once the acceleration has expired, non-PD weapons are disabled and PD weapons are re-enabled.",,,acceleration time|acceleration|acceleration
ssp_HighEnergyFocus,SHIP_SYSTEM,"Records the projectiles fired by energy weapons over a short period of time, and increases beam damage by 50%; firing a barrage of the recorded projectiles on system expiration. Stores multiple charges.",,,
ssp_ManeuveringJets,SHIP_SYSTEM,Gradually improves the ship's top speed and maneuverability.,,,
ssp_zhurong_system,SHIP_SYSTEM,"Teleports a short distance in the current direction of travel, spawning multiple explosions at its previous location once the teleport is complete.",,,
ssp_TDS_system,SHIP_SYSTEM,"Applies a powerful force to displace the ship in its current direction of travel, becoming immune to energy damage for a short period of time. Generates hard flux.",,,
ssp_gonggong_system,SHIP_SYSTEM,"Fires an arc at target enemy ship within 800 range, dealing energy & EMP damage and pushing both ships away from each other. Generates hard flux.",,,800
##################,,,,,
LLI,FACTION,"LouLan Industries is an organization established after the Collapse: they were once part of the Persean League.

127 years after the collapse, Mirage SouthWind, CEO of SouthWind Metals Corporation, which controls Adenium Obesum SouthWind found that staying in the Persean League would only allow corrupt warlords and dictators to drain them of value till there was nothing left, and only leaving the Persean League could allow them a chance to survive in the chaotic post-Collapse Sector. So he united a great deal of arms dealers, factory owners, smugglers, and even pirates to establish LouLan Industries and announced their secession from the Persean League. Although the official law within the Persean League states that no Persean League members may force any other member to stay in the League, LouLan has been sanctioned by more than a few of their former partners as well as the League's ally, the Tri-Tachyon Corporation.

Since the Collapse, LouLan’s top leaders have been replaced several times. They attempt to keep a low profile to avoid an all out war with the other powerful factions in the sector but it remains to be seen when the time for peace ends.",,,
MirageCity,CUSTOM,"The political center of LouLan Industries. Under Domain rule, the station was a research station, but its construction was interrupted by the Collapse: construction was only resumed about 134 cycles after its abandonment. Since then, the station has undergone continuous renovation and reconstruction, and its scale has rapidly expanded.",,,
AdeniumObesum,CUSTOM,"It was once LouLan Industries' capital, but is now an industrial base specializing in metal production. Smelters and mining industry here produce a large number of high-quality materials, which is one of the most important sources of capital for LouLan Industries. It is said that the warehouse here has enough metal reserves to manufacture two full-scale reproductions of the orbital station at Jangala.",,,
Dust_I,CUSTOM,"This seemingly inhospitable glacier has extremely rich resources hidden beneath the ice. Due to the harsh environment, its residents have begun migrating to Dust II, where the standard of living is considerably improved. Because of the massive number of emigrations, the planetary government has resorted to introducing a number of subsidies in order to ensure that the mines remained in operation.",,,
Dust_II,CUSTOM,"Unlike Dust I, Dust II is all but a paradise - mild climate, fertile lands, and a tropical environment. The population primarily consists of radical followers of Ludd, whose influence extends throughout the Scarborough system: but due to the complete lack of a local industrial base, LouLan see no need to defend against the Luddics.",,,
