name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Kobraz Smart Needler,Xhan_Kobraz,2,0.75,4000,850,,90,,0,20,15,,,,ENERGY,90,,,2,6,0.1,18,18,10,10,,800,,,,,energy13,,Alvarium Doctrine,,General,,,,,,,,,,8.008
Grokan Chem-Fusion Blaster,Xhan_Grokan,0,,1600,500,,500,,0,7,12,,,,ENERGY,1450,,0,2.5,,,,,,,,900,,,600,,energy12,,Alvarium Doctrine,,General,,,,,Blaster bolts deal an additional %s damage on impact,1000 Fragmentation,,,TRUE,22.125
Erlekhkeyt Gravitic Null Blaster,Xhan_Erlekhkeyt,0,0.2,8000,800,,500,150,0,14,18,,,,ENERGY,700,,0.5,1,,,,,,,,800,,,600,,"energy12, restricted",,Transcendent Divination,,General,,,,,Blaster bolts deal an additional %s damage on impact and kill enemy ship momentum,500 Fragmentation,,,TRUE,22.125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chok Point Defense,Chok_point_def,1,1,220,400,,60,,1,80,4,,,,FRAGMENTATION,20,,0,0.4,1,,0,8,2,15,,700,,,60,PD,"pd7, kinetic4, SR, XhanDemolitions_bp",,Xhan Tech,,Point Defense,,,,,,,,,,8.010
Shtir Autocannon,Shtir_Autocannon,2,0.75,600,1000,,45,,6,35,7,,,,KINETIC,48,,0,1,4,0.3,0,7,4,8,,850,,,50,,"kinetic8, LR, XhanWartech_bp",,Xhan Tech,,Anti Shield,,,,,,,,,,8.011
Palik Light Autolaser,Xhan_Palik,1,0.75,230,700,,20,,0,50,5,,,,ENERGY,20,,0.1,0.05,1,,5,15,5,6,,700,,,,,"energy8, XhanWartech_bp",,Xhan Tech,,General,,,,,Plastoid shards deal an additional %s damage on impact,5 HE,,,,8.013
Drob Decimator,Xhan_Drob,2,0.5,700,600,,250,,40,25,7,,,,HIGH_EXPLOSIVE,300,,0,2.5,1,,30,30,4,10,,650,,,100,,"he6, XhanDemolitions_bp",,Xhan Tech,,Anti Armor,,,,,,,,,,3
Bloz Missile Loader,Xhan_Bloz_small,2,0.5,300,1400,,1000,,40,10,4,6,,,FRAGMENTATION,0,,0,1.5,1,,0,0,0,0,,320,150,7,350,DO_NOT_AIM,"strike7, missile0, XhanDemolitions_bp",,Xhan Tech,,Anti Hull Missile,Fast,Good,,,,,,,TRUE,9.75
Zhuk Plasma Torpedo,Xhan_Zhuk,1,,200,1300,,3250,,75,10,2,1,,,ENERGY,0,,0,5,1,,0,0,0,0,,450,150,4,600,STRIKE,"strike8, rocket3, XhanWartech_bp",,Xhan Tech,,Torpedo,Fast,None,,,,,,,TRUE,9
Bogul Blaster,Xhan_bogul,2,0.5,700,550,,350,,15,35,7,,,,FRAGMENTATION,225,,0.1,0.9,1,,2,7,4,12,,700,,,100,,energy8,,Alvarium Doctrine,,General,,,,,Blaster bolts deal an additional %s damage on impact,100 Energy,,,TRUE,3
Svech Gamma Saturator,Xhan_svech,1,,200,340,,15,55,1,130,2,,,,FRAGMENTATION,1,,0,0.08,1,,30,30,1,15,,3000,,,10,PD,"pd7, SR",,Alvarium Doctrine,,Point Defense,,,,,,,,,,1
Zhun Supercharged Gamma Saturator,Xhan_Zhun,1,0.5,2000,650,,50,70,1,130,5,,,,FRAGMENTATION,10,,0,0.06,1,,18,18,1,15,,3000,,,10,PD,"pd7, SR, restricted",,Transcendent Divination,,Point Defense,,,,,,,,,,1
Shpizak Particle Spear,Xhan_Shpizak,2,0.5,3000,900,,90,50,10,30,11,,,,KINETIC,90,,0.6,0.4,3,0.2,0,5,3,8,,1150,,,50,,restricted,,Transcendent Divination,,Anti Shield,,,,,Particle Spears deal an additional %s damage on impact,25 Energy,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#fighterweapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igol Saturation Point Defense(F),XHAN_igol_fighter,0,,1800,400,,45,,1,70,12,,,,FRAGMENTATION,6,,0,0.08,1,,2,15,4,10,,1100,,,8,"PD, SYSTEM","pd15, SR",,Xhan Tech,,Point Defense (Area),,,,,,,,,,8.007
Gorel Plasma Projector(F),XHAN_gorel_fighter,0,,7500,700,,2400,200,,20,30,1,,,ENERGY,1250,,0.5,3,1,,,,,,,500,,0,4000,"STRIKE, USE_VS_FRIGATES, SYSTEM",energy20,,Xhan Tech,,General,,,,,,,,,,8.004
Steizok Autogun(F),XHAN_Steizok_fighter,0,,2000,600,,75,,5,35,12,,,,HIGH_EXPLOSIVE,75,,0,0.6,2,0.15,0,10,2,5,,1300,,,30,SYSTEM,he16,,Xhan Tech,,Anti Armor,,,,,,,,,,8.006
Vil Plasma Cutter,XHAN_VilCutter,0,,600,300,95,,,0,110,4,,,,ENERGY,,80,0,0.25,,,,,,,3000,,,,,"PD, ANTI_FTR, SYSTEM","pd9, beam6",,Alvarium Doctrine,,Point Defense,,,,,,,,,,15.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
